Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1682960626,2023-05-01T17:03:46Z,AAL27,"33.94154,-118.409592",0,0,250
1682962408,2023-05-01T17:33:28Z,AAL27,"33.941563,-118.40937",0,0,255
1682962420,2023-05-01T17:33:40Z,AAL27,"33.941586,-118.409157",0,0,264
1682962435,2023-05-01T17:33:55Z,AAL27,"33.941597,-118.408936",0,0,286
1682962457,2023-05-01T17:34:17Z,AAL27,"33.94146,-118.408684",0,0,320
1682962491,2023-05-01T17:34:51Z,AAL27,"33.941048,-118.408432",0,0,331
1682962508,2023-05-01T17:35:08Z,AAL27,"33.940842,-118.408348",0,0,334
1682962527,2023-05-01T17:35:27Z,AAL27,"33.940601,-118.408287",0,0,340
1682962543,2023-05-01T17:35:43Z,AAL27,"33.940388,-118.408272",0,0,337
1682962561,2023-05-01T17:36:01Z,AAL27,"33.940132,-118.408203",0,3,337
1682962578,2023-05-01T17:36:18Z,AAL27,"33.939922,-118.408173",0,3,340
1682962606,2023-05-01T17:36:46Z,AAL27,"33.93956,-118.408096",0,0,343
1682962623,2023-05-01T17:37:03Z,AAL27,"33.939331,-118.408066",0,0,354
1682962639,2023-05-01T17:37:19Z,AAL27,"33.939114,-118.408081",0,0,11
1682962660,2023-05-01T17:37:40Z,AAL27,"33.938873,-118.408188",0,3,42
1682962680,2023-05-01T17:38:00Z,AAL27,"33.938747,-118.408401",0,3,75
1682962694,2023-05-01T17:38:14Z,AAL27,"33.938747,-118.408646",0,2,67
1682962908,2023-05-01T17:41:48Z,AAL27,"33.93877,-118.408371",0,5,70
1682962914,2023-05-01T17:41:54Z,AAL27,"33.938793,-118.408165",0,6,70
1682962921,2023-05-01T17:42:01Z,AAL27,"33.938816,-118.407913",0,6,70
1682962928,2023-05-01T17:42:08Z,AAL27,"33.938816,-118.4077",0,6,81
1682962936,2023-05-01T17:42:16Z,AAL27,"33.938633,-118.407463",0,6,118
1682962945,2023-05-01T17:42:25Z,AAL27,"33.938427,-118.40731",0,6,135
1682962953,2023-05-01T17:42:33Z,AAL27,"33.938221,-118.407127",0,8,126
1682962958,2023-05-01T17:42:38Z,AAL27,"33.938118,-118.406906",0,10,109
1682962962,2023-05-01T17:42:42Z,AAL27,"33.938107,-118.406662",0,11,87
1682962966,2023-05-01T17:42:46Z,AAL27,"33.938129,-118.40641",0,11,73
1682962970,2023-05-01T17:42:50Z,AAL27,"33.938164,-118.406158",0,12,70
1682962974,2023-05-01T17:42:54Z,AAL27,"33.938187,-118.405907",0,12,70
1682962978,2023-05-01T17:42:58Z,AAL27,"33.93821,-118.405655",0,12,70
1682962983,2023-05-01T17:43:03Z,AAL27,"33.938244,-118.405334",0,12,70
1682962989,2023-05-01T17:43:09Z,AAL27,"33.93829,-118.404953",0,0,70
1682962994,2023-05-01T17:43:14Z,AAL27,"33.938324,-118.404564",0,12,70
1682963001,2023-05-01T17:43:21Z,AAL27,"33.93837,-118.404167",0,11,70
1682963007,2023-05-01T17:43:27Z,AAL27,"33.938404,-118.403793",0,12,70
1682963012,2023-05-01T17:43:32Z,AAL27,"33.938438,-118.403427",0,13,70
1682963018,2023-05-01T17:43:38Z,AAL27,"33.938477,-118.40303",0,13,70
1682963024,2023-05-01T17:43:44Z,AAL27,"33.938526,-118.402588",0,13,70
1682963030,2023-05-01T17:43:50Z,AAL27,"33.938572,-118.402176",0,14,70
1682963036,2023-05-01T17:43:56Z,AAL27,"33.938618,-118.401672",0,14,70
1682963042,2023-05-01T17:44:02Z,AAL27,"33.938675,-118.401176",0,14,70
1682963049,2023-05-01T17:44:09Z,AAL27,"33.938725,-118.400665",0,14,70
1682963055,2023-05-01T17:44:15Z,AAL27,"33.93877,-118.400215",0,15,70
1682963061,2023-05-01T17:44:21Z,AAL27,"33.938828,-118.399727",0,15,70
1682963066,2023-05-01T17:44:26Z,AAL27,"33.938873,-118.399269",0,15,70
1682963073,2023-05-01T17:44:33Z,AAL27,"33.938931,-118.398689",0,15,70
1682963079,2023-05-01T17:44:39Z,AAL27,"33.938976,-118.398216",0,14,70
1682963092,2023-05-01T17:44:52Z,AAL27,"33.939083,-118.397209",0,0,70
1682963136,2023-05-01T17:45:36Z,AAL27,"33.939423,-118.393913",0,0,70
1682963142,2023-05-01T17:45:42Z,AAL27,"33.939468,-118.393478",0,0,70
1682963152,2023-05-01T17:45:52Z,AAL27,"33.939548,-118.392677",0,14,70
1682963164,2023-05-01T17:46:04Z,AAL27,"33.939644,-118.391747",0,15,70
1682963170,2023-05-01T17:46:10Z,AAL27,"33.939686,-118.391235",0,15,70
1682963183,2023-05-01T17:46:23Z,AAL27,"33.939793,-118.390228",0,0,70
1682963188,2023-05-01T17:46:28Z,AAL27,"33.939835,-118.389778",0,14,70
1682963209,2023-05-01T17:46:49Z,AAL27,"33.940002,-118.388245",0,0,70
