Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1682582137,2023-04-27T07:55:37Z,ICE14T,"63.99258,-22.612473",0,0,90
1682582169,2023-04-27T07:56:09Z,ICE14T,"63.99258,-22.612692",0,1,90
1682582182,2023-04-27T07:56:22Z,ICE14T,"63.99258,-22.6129",0,1,90
1682582193,2023-04-27T07:56:33Z,ICE14T,"63.99258,-22.613104",0,1,90
1682582207,2023-04-27T07:56:47Z,ICE14T,"63.992569,-22.613352",0,1,95
1682582217,2023-04-27T07:56:57Z,ICE14T,"63.99258,-22.61356",0,2,104
1682582227,2023-04-27T07:57:07Z,ICE14T,"63.992592,-22.613764",0,1,115
1682582241,2023-04-27T07:57:21Z,ICE14T,"63.992615,-22.613983",0,1,129
1682582259,2023-04-27T07:57:39Z,ICE14T,"63.992672,-22.614202",0,1,146
1682582289,2023-04-27T07:58:09Z,ICE14T,"63.992809,-22.614407",0,1,171
1682582468,2023-04-27T08:01:08Z,ICE14T,"63.992603,-22.61434",0,5,174
1682582476,2023-04-27T08:01:16Z,ICE14T,"63.992393,-22.61434",0,7,180
1682582482,2023-04-27T08:01:22Z,ICE14T,"63.992138,-22.61434",0,9,180
1682582489,2023-04-27T08:01:29Z,ICE14T,"63.991894,-22.614559",0,10,210
1682582491,2023-04-27T08:01:31Z,ICE14T,"63.991798,-22.61478",0,10,227
1682582494,2023-04-27T08:01:34Z,ICE14T,"63.991753,-22.615",0,11,241
1682582496,2023-04-27T08:01:36Z,ICE14T,"63.991734,-22.615225",0,11,253
1682582498,2023-04-27T08:01:38Z,ICE14T,"63.99173,-22.615467",0,12,264
1682582500,2023-04-27T08:01:40Z,ICE14T,"63.991722,-22.615753",0,13,270
1682582502,2023-04-27T08:01:42Z,ICE14T,"63.991722,-22.616043",0,13,270
1682582504,2023-04-27T08:01:44Z,ICE14T,"63.99173,-22.616373",0,14,272
1682582506,2023-04-27T08:01:46Z,ICE14T,"63.99173,-22.616674",0,15,270
1682582508,2023-04-27T08:01:48Z,ICE14T,"63.991722,-22.61702",0,15,270
1682582510,2023-04-27T08:01:50Z,ICE14T,"63.99173,-22.617334",0,16,270
1682582512,2023-04-27T08:01:52Z,ICE14T,"63.99173,-22.617691",0,16,270
1682582518,2023-04-27T08:01:58Z,ICE14T,"63.991734,-22.618736",0,15,270
1682582524,2023-04-27T08:02:04Z,ICE14T,"63.99173,-22.619558",0,11,270
1682582529,2023-04-27T08:02:09Z,ICE14T,"63.991734,-22.620031",0,8,270
1682582535,2023-04-27T08:02:15Z,ICE14T,"63.99173,-22.620548",0,7,270
1682582541,2023-04-27T08:02:21Z,ICE14T,"63.99173,-22.621014",0,9,270
1682582547,2023-04-27T08:02:27Z,ICE14T,"63.99173,-22.621592",0,8,270
1682582553,2023-04-27T08:02:33Z,ICE14T,"63.99173,-22.622086",0,8,270
1682582559,2023-04-27T08:02:39Z,ICE14T,"63.99173,-22.622608",0,9,270
1682582565,2023-04-27T08:02:45Z,ICE14T,"63.991722,-22.623253",0,10,270
1682582572,2023-04-27T08:02:52Z,ICE14T,"63.99173,-22.623953",0,9,270
1682582578,2023-04-27T08:02:58Z,ICE14T,"63.991722,-22.624468",0,10,270
1682582584,2023-04-27T08:03:04Z,ICE14T,"63.991722,-22.625154",0,8,270
1682582591,2023-04-27T08:03:11Z,ICE14T,"63.991734,-22.62571",0,8,270
1682582596,2023-04-27T08:03:16Z,ICE14T,"63.991734,-22.626184",0,9,270
1682582600,2023-04-27T08:03:20Z,ICE14T,"63.991711,-22.626554",0,9,261
1682582603,2023-04-27T08:03:23Z,ICE14T,"63.991653,-22.626791",0,8,241
1682582607,2023-04-27T08:03:27Z,ICE14T,"63.991508,-22.627003",0,9,213
1682582613,2023-04-27T08:03:33Z,ICE14T,"63.991287,-22.62714",0,10,194
1682582617,2023-04-27T08:03:37Z,ICE14T,"63.991081,-22.627268",0,11,196
1682582621,2023-04-27T08:03:41Z,ICE14T,"63.990841,-22.627426",0,12,196
1682582626,2023-04-27T08:03:46Z,ICE14T,"63.990623,-22.627584",0,12,196
1682582632,2023-04-27T08:03:52Z,ICE14T,"63.990288,-22.627827",0,12,196
1682582638,2023-04-27T08:03:58Z,ICE14T,"63.989937,-22.628059",0,13,196
1682582644,2023-04-27T08:04:04Z,ICE14T,"63.989594,-22.628298",0,13,196
1682582650,2023-04-27T08:04:10Z,ICE14T,"63.989227,-22.628567",0,13,196
1682582656,2023-04-27T08:04:16Z,ICE14T,"63.988926,-22.628759",0,11,196
1682582661,2023-04-27T08:04:21Z,ICE14T,"63.988701,-22.628958",0,9,202
1682582664,2023-04-27T08:04:24Z,ICE14T,"63.988598,-22.629169",0,9,222
1682582667,2023-04-27T08:04:27Z,ICE14T,"63.988541,-22.629459",0,10,244
1682582670,2023-04-27T08:04:30Z,ICE14T,"63.988541,-22.629803",0,11,264
1682582673,2023-04-27T08:04:33Z,ICE14T,"63.988541,-22.630066",0,12,270
1682582674,2023-04-27T08:04:34Z,ICE14T,"63.988541,-22.630304",0,12,272
1682582677,2023-04-27T08:04:37Z,ICE14T,"63.988541,-22.630568",0,13,272
1682582679,2023-04-27T08:04:39Z,ICE14T,"63.988541,-22.630886",0,13,270
1682582681,2023-04-27T08:04:41Z,ICE14T,"63.988541,-22.631149",0,13,270
