Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1682754100,2023-04-29T07:41:40Z,ICE14T,"63.992775,-22.624546",0,0,0
1682754110,2023-04-29T07:41:50Z,ICE14T,"63.992558,-22.624557",0,5,357
1682754118,2023-04-29T07:41:58Z,ICE14T,"63.992329,-22.624546",0,7,357
1682754125,2023-04-29T07:42:05Z,ICE14T,"63.992115,-22.624531",0,6,354
1682754133,2023-04-29T07:42:13Z,ICE14T,"63.991894,-22.624502",0,5,323
1682754140,2023-04-29T07:42:20Z,ICE14T,"63.991768,-22.624283",0,4,281
1682754147,2023-04-29T07:42:27Z,ICE14T,"63.991745,-22.624071",0,2,264
1682754456,2023-04-29T07:47:36Z,ICE14T,"63.991734,-22.62431",0,3,264
1682754462,2023-04-29T07:47:42Z,ICE14T,"63.991734,-22.624599",0,5,267
1682754467,2023-04-29T07:47:47Z,ICE14T,"63.991734,-22.624865",0,6,270
1682754470,2023-04-29T07:47:50Z,ICE14T,"63.99173,-22.625134",0,7,270
1682754473,2023-04-29T07:47:53Z,ICE14T,"63.991734,-22.625366",0,8,270
1682754479,2023-04-29T07:47:59Z,ICE14T,"63.991734,-22.625895",0,9,270
1682754486,2023-04-29T07:48:06Z,ICE14T,"63.991699,-22.626554",0,10,255
1682754489,2023-04-29T07:48:09Z,ICE14T,"63.991604,-22.62681",0,11,230
1682754493,2023-04-29T07:48:13Z,ICE14T,"63.991413,-22.627029",0,11,202
1682754497,2023-04-29T07:48:17Z,ICE14T,"63.991196,-22.627188",0,12,196
1682754501,2023-04-29T07:48:21Z,ICE14T,"63.990986,-22.627331",0,12,196
1682754506,2023-04-29T07:48:26Z,ICE14T,"63.990707,-22.627523",0,14,196
1682754512,2023-04-29T07:48:32Z,ICE14T,"63.990314,-22.627796",0,15,196
1682754519,2023-04-29T07:48:39Z,ICE14T,"63.989891,-22.628101",0,15,196
1682754525,2023-04-29T07:48:45Z,ICE14T,"63.98946,-22.628403",0,13,196
1682754534,2023-04-29T07:48:54Z,ICE14T,"63.988987,-22.628693",0,12,194
1682754542,2023-04-29T07:49:02Z,ICE14T,"63.988613,-22.629145",0,11,225
1682754544,2023-04-29T07:49:04Z,ICE14T,"63.988564,-22.629364",0,12,239
1682754546,2023-04-29T07:49:06Z,ICE14T,"63.988541,-22.629591",0,12,253
1682754548,2023-04-29T07:49:08Z,ICE14T,"63.988529,-22.629858",0,13,264
1682754550,2023-04-29T07:49:10Z,ICE14T,"63.988529,-22.630133",0,13,270
1682754552,2023-04-29T07:49:12Z,ICE14T,"63.988529,-22.630436",0,14,272
1682754554,2023-04-29T07:49:14Z,ICE14T,"63.988541,-22.630737",0,14,272
1682754556,2023-04-29T07:49:16Z,ICE14T,"63.988541,-22.631069",0,14,272
1682754558,2023-04-29T07:49:18Z,ICE14T,"63.988541,-22.631388",0,14,270
1682754560,2023-04-29T07:49:20Z,ICE14T,"63.988541,-22.631699",0,15,270
1682754564,2023-04-29T07:49:24Z,ICE14T,"63.988552,-22.632193",0,15,270
1682754566,2023-04-29T07:49:26Z,ICE14T,"63.988552,-22.632633",0,15,270
1682754572,2023-04-29T07:49:32Z,ICE14T,"63.988552,-22.633732",0,17,270
1682754578,2023-04-29T07:49:38Z,ICE14T,"63.988552,-22.634968",0,19,270
1682754585,2023-04-29T07:49:45Z,ICE14T,"63.988552,-22.63645",0,21,270
1682754590,2023-04-29T07:49:50Z,ICE14T,"63.988552,-22.637577",0,23,270
1682754596,2023-04-29T07:49:56Z,ICE14T,"63.988552,-22.639177",0,22,270
1682754602,2023-04-29T07:50:02Z,ICE14T,"63.988552,-22.640577",0,21,270
1682754608,2023-04-29T07:50:08Z,ICE14T,"63.988552,-22.641951",0,21,270
1682754616,2023-04-29T07:50:16Z,ICE14T,"63.988552,-22.643702",0,21,270
1682754623,2023-04-29T07:50:23Z,ICE14T,"63.988541,-22.645252",0,21,270
1682754628,2023-04-29T07:50:28Z,ICE14T,"63.988541,-22.646366",0,20,270
1682754634,2023-04-29T07:50:34Z,ICE14T,"63.988541,-22.64784",0,21,270
1682754640,2023-04-29T07:50:40Z,ICE14T,"63.988541,-22.649139",0,21,270
1682754646,2023-04-29T07:50:46Z,ICE14T,"63.988541,-22.650513",0,19,270
1682754653,2023-04-29T07:50:53Z,ICE14T,"63.988552,-22.651722",0,17,270
1682754658,2023-04-29T07:50:58Z,ICE14T,"63.988552,-22.652699",0,15,270
1682754665,2023-04-29T07:51:05Z,ICE14T,"63.988541,-22.65357",0,12,270
1682754666,2023-04-29T07:51:06Z,ICE14T,"63.988541,-22.653782",0,12,264
1682754668,2023-04-29T07:51:08Z,ICE14T,"63.988506,-22.654001",0,11,258
1682754671,2023-04-29T07:51:11Z,ICE14T,"63.988449,-22.654257",0,11,244
1682754674,2023-04-29T07:51:14Z,ICE14T,"63.988342,-22.654495",0,11,225
1682754678,2023-04-29T07:51:18Z,ICE14T,"63.988129,-22.654654",0,11,194
1682754683,2023-04-29T07:51:23Z,ICE14T,"63.987911,-22.654707",0,11,182
1682754687,2023-04-29T07:51:27Z,ICE14T,"63.987682,-22.654707",0,11,180
1682754691,2023-04-29T07:51:31Z,ICE14T,"63.987476,-22.654707",0,12,177
