Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1682840001,2023-04-30T07:33:21Z,ICE14T,"63.993221,-22.612391",0,0,90
1682840024,2023-04-30T07:33:44Z,ICE14T,"63.993221,-22.61261",0,2,90
1682840034,2023-04-30T07:33:54Z,ICE14T,"63.993233,-22.612829",0,2,87
1682840042,2023-04-30T07:34:02Z,ICE14T,"63.993221,-22.613033",0,2,90
1682840050,2023-04-30T07:34:10Z,ICE14T,"63.993221,-22.613241",0,2,92
1682840059,2023-04-30T07:34:19Z,ICE14T,"63.993221,-22.613482",0,3,95
1682840067,2023-04-30T07:34:27Z,ICE14T,"63.993221,-22.613682",0,2,104
1682840077,2023-04-30T07:34:37Z,ICE14T,"63.993244,-22.613928",0,2,118
1682840087,2023-04-30T07:34:47Z,ICE14T,"63.993267,-22.614141",0,2,143
1682840105,2023-04-30T07:35:05Z,ICE14T,"63.993393,-22.614353",0,2,174
1682840253,2023-04-30T07:37:33Z,ICE14T,"63.99316,-22.614368",0,6,177
1682840261,2023-04-30T07:37:41Z,ICE14T,"63.992924,-22.614353",0,8,177
1682840267,2023-04-30T07:37:47Z,ICE14T,"63.992706,-22.614353",0,9,180
1682840273,2023-04-30T07:37:53Z,ICE14T,"63.992416,-22.61434",0,10,180
1682840278,2023-04-30T07:37:58Z,ICE14T,"63.992157,-22.614353",0,10,180
1682840284,2023-04-30T07:38:04Z,ICE14T,"63.991928,-22.614477",0,10,196
1682840287,2023-04-30T07:38:07Z,ICE14T,"63.991791,-22.614775",0,11,227
1682840289,2023-04-30T07:38:09Z,ICE14T,"63.991756,-22.614986",0,11,241
1682840291,2023-04-30T07:38:11Z,ICE14T,"63.991741,-22.615219",0,11,258
1682840293,2023-04-30T07:38:13Z,ICE14T,"63.991734,-22.615461",0,12,267
1682840296,2023-04-30T07:38:16Z,ICE14T,"63.99173,-22.615742",0,12,270
1682840297,2023-04-30T07:38:17Z,ICE14T,"63.991734,-22.61599",0,13,270
1682840300,2023-04-30T07:38:20Z,ICE14T,"63.991734,-22.616282",0,13,270
1682840302,2023-04-30T07:38:22Z,ICE14T,"63.991734,-22.616598",0,14,270
1682840303,2023-04-30T07:38:23Z,ICE14T,"63.99173,-22.616867",0,15,270
1682840306,2023-04-30T07:38:26Z,ICE14T,"63.991734,-22.617205",0,15,270
1682840308,2023-04-30T07:38:28Z,ICE14T,"63.99173,-22.61758",0,15,270
1682840314,2023-04-30T07:38:34Z,ICE14T,"63.991734,-22.618631",0,17,270
1682840319,2023-04-30T07:38:39Z,ICE14T,"63.991734,-22.619661",0,17,270
1682840325,2023-04-30T07:38:45Z,ICE14T,"63.991734,-22.620745",0,18,270
1682840331,2023-04-30T07:38:51Z,ICE14T,"63.99173,-22.621948",0,19,270
1682840337,2023-04-30T07:38:57Z,ICE14T,"63.99173,-22.623266",0,20,270
1682840343,2023-04-30T07:39:03Z,ICE14T,"63.991734,-22.624653",0,21,270
1682840349,2023-04-30T07:39:09Z,ICE14T,"63.991734,-22.625841",0,16,270
1682840353,2023-04-30T07:39:13Z,ICE14T,"63.99173,-22.626398",0,13,264
1682840355,2023-04-30T07:39:15Z,ICE14T,"63.991688,-22.626633",0,12,250
1682840359,2023-04-30T07:39:19Z,ICE14T,"63.99152,-22.626947",0,12,216
1682840364,2023-04-30T07:39:24Z,ICE14T,"63.991276,-22.62714",0,13,196
1682840370,2023-04-30T07:39:30Z,ICE14T,"63.990929,-22.627386",0,14,196
1682840374,2023-04-30T07:39:34Z,ICE14T,"63.990685,-22.627552",0,14,196
1682840377,2023-04-30T07:39:37Z,ICE14T,"63.990475,-22.627689",0,15,196
1682840380,2023-04-30T07:39:40Z,ICE14T,"63.990265,-22.627853",0,15,196
1682840385,2023-04-30T07:39:45Z,ICE14T,"63.989925,-22.628073",0,16,196
1682840391,2023-04-30T07:39:51Z,ICE14T,"63.989437,-22.628403",0,17,196
1682840397,2023-04-30T07:39:57Z,ICE14T,"63.98901,-22.628693",0,15,196
1682840402,2023-04-30T07:40:02Z,ICE14T,"63.988747,-22.628931",0,11,202
1682840405,2023-04-30T07:40:05Z,ICE14T,"63.988625,-22.6292",0,11,225
1682840407,2023-04-30T07:40:07Z,ICE14T,"63.988575,-22.629406",0,12,239
1682840410,2023-04-30T07:40:10Z,ICE14T,"63.988552,-22.629671",0,12,255
1682840411,2023-04-30T07:40:11Z,ICE14T,"63.988552,-22.62994",0,13,264
1682840414,2023-04-30T07:40:14Z,ICE14T,"63.988541,-22.630299",0,13,270
1682840416,2023-04-30T07:40:16Z,ICE14T,"63.988552,-22.630545",0,14,272
1682840418,2023-04-30T07:40:18Z,ICE14T,"63.988552,-22.630833",0,14,272
1682840420,2023-04-30T07:40:20Z,ICE14T,"63.988552,-22.631094",0,14,270
1682840421,2023-04-30T07:40:21Z,ICE14T,"63.988552,-22.631313",0,14,270
1682840423,2023-04-30T07:40:23Z,ICE14T,"63.988552,-22.631561",0,14,270
1682840424,2023-04-30T07:40:24Z,ICE14T,"63.988552,-22.631809",0,15,270
1682840426,2023-04-30T07:40:26Z,ICE14T,"63.988552,-22.632111",0,15,270
1682840432,2023-04-30T07:40:32Z,ICE14T,"63.988552,-22.633078",0,16,270
1682840438,2023-04-30T07:40:38Z,ICE14T,"63.988552,-22.634239",0,18,270
1682840444,2023-04-30T07:40:44Z,ICE14T,"63.988552,-22.635508",0,20,270
1682840450,2023-04-30T07:40:50Z,ICE14T,"63.988552,-22.63689",0,22,270
1682840457,2023-04-30T07:40:57Z,ICE14T,"63.988552,-22.638412",0,23,270
1682840462,2023-04-30T07:41:02Z,ICE14T,"63.988552,-22.639759",0,23,270
1682840469,2023-04-30T07:41:09Z,ICE14T,"63.988552,-22.641422",0,23,270
1682840475,2023-04-30T07:41:15Z,ICE14T,"63.988552,-22.643034",0,25,270
1682840481,2023-04-30T07:41:21Z,ICE14T,"63.988552,-22.644634",0,26,270
1682840487,2023-04-30T07:41:27Z,ICE14T,"63.988552,-22.646414",0,27,270
1682840493,2023-04-30T07:41:33Z,ICE14T,"63.988552,-22.648342",0,29,270
1682840499,2023-04-30T07:41:39Z,ICE14T,"63.988552,-22.65019",0,28,270
1682840505,2023-04-30T07:41:45Z,ICE14T,"63.988541,-22.651775",0,22,270
1682840512,2023-04-30T07:41:52Z,ICE14T,"63.988541,-22.652874",0,15,270
1682840518,2023-04-30T07:41:58Z,ICE14T,"63.988541,-22.653727",0,11,270
1682840522,2023-04-30T07:42:02Z,ICE14T,"63.988506,-22.654099",0,10,255
1682840525,2023-04-30T07:42:05Z,ICE14T,"63.988438,-22.654337",0,9,239
1682840529,2023-04-30T07:42:09Z,ICE14T,"63.988297,-22.654577",0,9,216
1682840535,2023-04-30T07:42:15Z,ICE14T,"63.988052,-22.654688",0,9,185
1682840540,2023-04-30T07:42:20Z,ICE14T,"63.987843,-22.654688",0,9,180
1682840546,2023-04-30T07:42:26Z,ICE14T,"63.987602,-22.654707",0,9,180
1682840551,2023-04-30T07:42:31Z,ICE14T,"63.987373,-22.654707",0,9,180
1682840559,2023-04-30T07:42:39Z,ICE14T,"63.987144,-22.654707",0,5,180
