Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1682926852,2023-05-01T07:40:52Z,ICE14T,"63.993874,-22.612478",0,0,90
1682926868,2023-05-01T07:41:08Z,ICE14T,"63.993874,-22.612768",0,0,90
1682926874,2023-05-01T07:41:14Z,ICE14T,"63.99387,-22.613104",0,6,90
1682926882,2023-05-01T07:41:22Z,ICE14T,"63.99387,-22.613544",0,5,95
1682926886,2023-05-01T07:41:26Z,ICE14T,"63.993862,-22.613745",0,4,112
1682926893,2023-05-01T07:41:33Z,ICE14T,"63.993896,-22.61401",0,4,129
1682926901,2023-05-01T07:41:41Z,ICE14T,"63.993942,-22.614222",0,2,163
1682926935,2023-05-01T07:42:15Z,ICE14T,"63.993736,-22.614326",0,6,182
1682927125,2023-05-01T07:45:25Z,ICE14T,"63.993473,-22.614353",0,0,180
1682927137,2023-05-01T07:45:37Z,ICE14T,"63.993256,-22.614353",0,6,180
1682927144,2023-05-01T07:45:44Z,ICE14T,"63.993038,-22.614353",0,7,180
1682927150,2023-05-01T07:45:50Z,ICE14T,"63.99279,-22.61434",0,9,180
1682927156,2023-05-01T07:45:56Z,ICE14T,"63.992535,-22.61434",0,10,177
1682927160,2023-05-01T07:46:00Z,ICE14T,"63.992317,-22.614326",0,10,177
1682927166,2023-05-01T07:46:06Z,ICE14T,"63.992046,-22.61434",0,11,185
1682927170,2023-05-01T07:46:10Z,ICE14T,"63.991871,-22.614559",0,11,210
1682927172,2023-05-01T07:46:12Z,ICE14T,"63.991787,-22.61478",0,12,230
1682927179,2023-05-01T07:46:19Z,ICE14T,"63.991718,-22.615631",0,0,267
1682927188,2023-05-01T07:46:28Z,ICE14T,"63.991718,-22.61706",0,16,272
1682927193,2023-05-01T07:46:33Z,ICE14T,"63.991722,-22.618103",0,19,270
1682927194,2023-05-01T07:46:34Z,ICE14T,"63.99173,-22.618378",0,19,270
1682927196,2023-05-01T07:46:36Z,ICE14T,"63.99173,-22.618708",0,20,270
1682927198,2023-05-01T07:46:38Z,ICE14T,"63.99173,-22.619091",0,20,270
1682927199,2023-05-01T07:46:39Z,ICE14T,"63.991722,-22.619291",0,20,270
1682927200,2023-05-01T07:46:40Z,ICE14T,"63.991722,-22.619556",0,21,270
1682927202,2023-05-01T07:46:42Z,ICE14T,"63.991734,-22.620005",0,21,270
1682927205,2023-05-01T07:46:45Z,ICE14T,"63.99173,-22.620823",0,22,272
1682927211,2023-05-01T07:46:51Z,ICE14T,"63.991734,-22.622169",0,22,270
1682927219,2023-05-01T07:46:59Z,ICE14T,"63.991734,-22.624125",0,22,270
1682927225,2023-05-01T07:47:05Z,ICE14T,"63.99173,-22.625408",0,17,270
1682927234,2023-05-01T07:47:14Z,ICE14T,"63.991642,-22.62674",0,12,241
1682927237,2023-05-01T07:47:17Z,ICE14T,"63.991505,-22.626976",0,12,216
1682927241,2023-05-01T07:47:21Z,ICE14T,"63.991299,-22.62714",0,13,199
1682927245,2023-05-01T07:47:25Z,ICE14T,"63.991077,-22.627277",0,14,194
1682927250,2023-05-01T07:47:30Z,ICE14T,"63.990749,-22.627504",0,15,196
1682927254,2023-05-01T07:47:34Z,ICE14T,"63.99052,-22.627661",0,15,196
1682927257,2023-05-01T07:47:37Z,ICE14T,"63.990269,-22.627821",0,16,196
1682927263,2023-05-01T07:47:43Z,ICE14T,"63.989799,-22.628128",0,17,194
1682927269,2023-05-01T07:47:49Z,ICE14T,"63.989311,-22.628458",0,18,196
1682927275,2023-05-01T07:47:55Z,ICE14T,"63.988903,-22.628733",0,15,196
1682927280,2023-05-01T07:48:00Z,ICE14T,"63.988647,-22.629145",0,14,225
1682927287,2023-05-01T07:48:07Z,ICE14T,"63.988529,-22.630243",0,16,270
1682927290,2023-05-01T07:48:10Z,ICE14T,"63.988541,-22.630764",0,17,272
1682927292,2023-05-01T07:48:12Z,ICE14T,"63.988541,-22.631069",0,18,272
