Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1683187276,2023-05-04T08:01:16Z,ICE14T,"63.992844,-22.623095",0,0,334
1683187331,2023-05-04T08:02:11Z,ICE14T,"63.992638,-22.623102",0,3,2
1683187346,2023-05-04T08:02:26Z,ICE14T,"63.992432,-22.623121",0,3,180
1683187359,2023-05-04T08:02:39Z,ICE14T,"63.992229,-22.623129",0,3,357
1683187374,2023-05-04T08:02:54Z,ICE14T,"63.99202,-22.623095",0,3,323
1683187385,2023-05-04T08:03:05Z,ICE14T,"63.991894,-22.622883",0,3,306
1683187394,2023-05-04T08:03:14Z,ICE14T,"63.991825,-22.622646",0,3,295
1683187402,2023-05-04T08:03:22Z,ICE14T,"63.991764,-22.622442",0,3,284
1683187708,2023-05-04T08:08:28Z,ICE14T,"63.99173,-22.622662",0,4,270
1683187714,2023-05-04T08:08:34Z,ICE14T,"63.99173,-22.623047",0,7,270
1683187720,2023-05-04T08:08:40Z,ICE14T,"63.99173,-22.623514",0,8,270
1683187726,2023-05-04T08:08:46Z,ICE14T,"63.991722,-22.624151",0,10,270
1683187732,2023-05-04T08:08:52Z,ICE14T,"63.99173,-22.624859",0,11,270
1683187738,2023-05-04T08:08:58Z,ICE14T,"63.991722,-22.625629",0,12,270
1683187744,2023-05-04T08:09:04Z,ICE14T,"63.991734,-22.626263",0,9,270
1683187746,2023-05-04T08:09:06Z,ICE14T,"63.991711,-22.626501",0,9,261
1683187750,2023-05-04T08:09:10Z,ICE14T,"63.991653,-22.626766",0,10,241
1683187753,2023-05-04T08:09:13Z,ICE14T,"63.99152,-22.626974",0,10,213
1683187758,2023-05-04T08:09:18Z,ICE14T,"63.991287,-22.62714",0,11,196
1683187762,2023-05-04T08:09:22Z,ICE14T,"63.991066,-22.627277",0,12,196
1683187766,2023-05-04T08:09:26Z,ICE14T,"63.990807,-22.627453",0,13,196
1683187770,2023-05-04T08:09:30Z,ICE14T,"63.990566,-22.627636",0,14,196
1683187776,2023-05-04T08:09:36Z,ICE14T,"63.990154,-22.627928",0,15,196
1683187783,2023-05-04T08:09:43Z,ICE14T,"63.989681,-22.628239",0,16,196
1683187791,2023-05-04T08:09:51Z,ICE14T,"63.989193,-22.628595",0,15,196
1683187796,2023-05-04T08:09:56Z,ICE14T,"63.988819,-22.628841",0,12,196
1683187800,2023-05-04T08:10:00Z,ICE14T,"63.988636,-22.629089",0,11,216
1683187802,2023-05-04T08:10:02Z,ICE14T,"63.988575,-22.629309",0,11,236
1683187804,2023-05-04T08:10:04Z,ICE14T,"63.988552,-22.629538",0,11,253
1683187806,2023-05-04T08:10:06Z,ICE14T,"63.988541,-22.629749",0,12,261
