Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1683272995,2023-05-05T07:49:55Z,ICE14T,"63.992859,-22.622059",0,0,315
1683273086,2023-05-05T07:51:26Z,ICE14T,"63.992752,-22.621853",0,2,312
1683273097,2023-05-05T07:51:37Z,ICE14T,"63.992672,-22.621647",0,2,309
1683273111,2023-05-05T07:51:51Z,ICE14T,"63.992569,-22.621399",0,2,303
1683273123,2023-05-05T07:52:03Z,ICE14T,"63.9925,-22.621193",0,2,286
1683273136,2023-05-05T07:52:16Z,ICE14T,"63.992462,-22.620987",0,2,272
1683273146,2023-05-05T07:52:26Z,ICE14T,"63.992451,-22.620739",0,2,267
1683273157,2023-05-05T07:52:37Z,ICE14T,"63.992439,-22.62052",0,2,258
1683273171,2023-05-05T07:52:51Z,ICE14T,"63.992443,-22.620295",0,1,233
1683273205,2023-05-05T07:53:25Z,ICE14T,"63.992512,-22.620081",0,1,205
1683273380,2023-05-05T07:56:20Z,ICE14T,"63.992306,-22.619925",0,2,177
1683273400,2023-05-05T07:56:40Z,ICE14T,"63.9921,-22.6199",0,2,177
1683273415,2023-05-05T07:56:55Z,ICE14T,"63.991894,-22.619978",0,3,194
1683273422,2023-05-05T07:57:02Z,ICE14T,"63.991798,-22.62019",0,4,216
1683273428,2023-05-05T07:57:08Z,ICE14T,"63.991753,-22.620411",0,4,236
1683273434,2023-05-05T07:57:14Z,ICE14T,"63.991741,-22.62063",0,4,253
1683273438,2023-05-05T07:57:18Z,ICE14T,"63.99173,-22.62085",0,6,261
1683273441,2023-05-05T07:57:21Z,ICE14T,"63.991734,-22.621061",0,7,267
1683273444,2023-05-05T07:57:24Z,ICE14T,"63.991734,-22.621298",0,8,267
1683273447,2023-05-05T07:57:27Z,ICE14T,"63.99173,-22.621563",0,9,267
1683273450,2023-05-05T07:57:30Z,ICE14T,"63.99173,-22.621838",0,10,267
1683273452,2023-05-05T07:57:32Z,ICE14T,"63.991722,-22.622091",0,10,270
1683273454,2023-05-05T07:57:34Z,ICE14T,"63.991722,-22.622303",0,11,270
1683273460,2023-05-05T07:57:40Z,ICE14T,"63.991734,-22.623095",0,12,270
1683273466,2023-05-05T07:57:46Z,ICE14T,"63.991734,-22.623781",0,12,270
1683273473,2023-05-05T07:57:53Z,ICE14T,"63.991734,-22.624706",0,13,267
1683273478,2023-05-05T07:57:58Z,ICE14T,"63.99173,-22.625519",0,13,270
1683273485,2023-05-05T07:58:05Z,ICE14T,"63.99173,-22.626316",0,9,267
1683273487,2023-05-05T07:58:07Z,ICE14T,"63.991711,-22.626528",0,9,258
1683273490,2023-05-05T07:58:10Z,ICE14T,"63.991661,-22.626728",0,9,244
1683273494,2023-05-05T07:58:14Z,ICE14T,"63.99152,-22.626974",0,9,213
1683273499,2023-05-05T07:58:19Z,ICE14T,"63.991287,-22.62714",0,10,194
1683273504,2023-05-05T07:58:24Z,ICE14T,"63.991047,-22.627293",0,11,194
1683273508,2023-05-05T07:58:28Z,ICE14T,"63.990822,-22.627441",0,13,196
1683273512,2023-05-05T07:58:32Z,ICE14T,"63.990612,-22.627605",0,13,196
1683273517,2023-05-05T07:58:37Z,ICE14T,"63.990234,-22.627874",0,15,196
1683273524,2023-05-05T07:58:44Z,ICE14T,"63.989777,-22.628183",0,16,194
1683273530,2023-05-05T07:58:50Z,ICE14T,"63.989334,-22.628485",0,15,196
1683273536,2023-05-05T07:58:56Z,ICE14T,"63.988998,-22.628719",0,11,194
1683273542,2023-05-05T07:59:02Z,ICE14T,"63.988762,-22.628925",0,9,202
1683273545,2023-05-05T07:59:05Z,ICE14T,"63.988647,-22.629171",0,10,225
1683273548,2023-05-05T07:59:08Z,ICE14T,"63.988598,-22.629406",0,11,241
1683273550,2023-05-05T07:59:10Z,ICE14T,"63.988564,-22.629639",0,12,250
1683273552,2023-05-05T07:59:12Z,ICE14T,"63.988541,-22.629913",0,12,261
1683273554,2023-05-05T07:59:14Z,ICE14T,"63.988541,-22.630161",0,13,267
1683273556,2023-05-05T07:59:16Z,ICE14T,"63.988541,-22.630489",0,14,270
1683273558,2023-05-05T07:59:18Z,ICE14T,"63.988541,-22.630764",0,14,270
1683273560,2023-05-05T07:59:20Z,ICE14T,"63.988541,-22.631094",0,15,270
1683273562,2023-05-05T07:59:22Z,ICE14T,"63.988552,-22.631439",0,15,270
1683273563,2023-05-05T07:59:23Z,ICE14T,"63.988541,-22.631672",0,15,270
1683273566,2023-05-05T07:59:26Z,ICE14T,"63.988552,-22.632084",0,16,270
1683273567,2023-05-05T07:59:27Z,ICE14T,"63.988552,-22.63233",0,17,270
1683273569,2023-05-05T07:59:29Z,ICE14T,"63.988552,-22.632654",0,18,270
1683273575,2023-05-05T07:59:35Z,ICE14T,"63.988541,-22.634027",0,20,270
1683273581,2023-05-05T07:59:41Z,ICE14T,"63.988552,-22.635296",0,23,270
1683273588,2023-05-05T07:59:48Z,ICE14T,"63.988552,-22.637224",0,26,270
1683273594,2023-05-05T07:59:54Z,ICE14T,"63.988541,-22.639046",0,27,270
1683273600,2023-05-05T08:00:00Z,ICE14T,"63.988541,-22.640789",0,27,270
1683273607,2023-05-05T08:00:07Z,ICE14T,"63.988541,-22.642611",0,29,270
1683273613,2023-05-05T08:00:13Z,ICE14T,"63.988552,-22.64447",0,30,270
1683273619,2023-05-05T08:00:19Z,ICE14T,"63.988552,-22.646599",0,30,270
1683273625,2023-05-05T08:00:25Z,ICE14T,"63.988552,-22.648315",0,26,270
1683273631,2023-05-05T08:00:31Z,ICE14T,"63.988552,-22.649937",0,24,270
1683273637,2023-05-05T08:00:37Z,ICE14T,"63.988552,-22.65159",0,23,270
1683273643,2023-05-05T08:00:43Z,ICE14T,"63.988552,-22.652805",0,17,270
1683273649,2023-05-05T08:00:49Z,ICE14T,"63.988541,-22.653727",0,11,267
1683273655,2023-05-05T08:00:55Z,ICE14T,"63.988438,-22.654303",0,10,239
1683273658,2023-05-05T08:00:58Z,ICE14T,"63.988323,-22.654522",0,11,219
1683273663,2023-05-05T08:01:03Z,ICE14T,"63.988087,-22.654688",0,11,191
1683273667,2023-05-05T08:01:07Z,ICE14T,"63.987865,-22.654688",0,11,180
1683273672,2023-05-05T08:01:12Z,ICE14T,"63.987591,-22.654707",0,13,177
1683273675,2023-05-05T08:01:15Z,ICE14T,"63.987389,-22.654688",0,14,177
1683273679,2023-05-05T08:01:19Z,ICE14T,"63.987179,-22.654707",0,15,177
1683273686,2023-05-05T08:01:26Z,ICE14T,"63.986633,-22.654688",0,17,180
1683273692,2023-05-05T08:01:32Z,ICE14T,"63.986126,-22.65468",0,18,177
1683273698,2023-05-05T08:01:38Z,ICE14T,"63.985619,-22.654688",0,17,177
1683273703,2023-05-05T08:01:43Z,ICE14T,"63.985279,-22.654627",0,13,171
