Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1683444732,2023-05-07T07:32:12Z,ICE14T,"63.995384,-22.626369",0,0,126
1683444820,2023-05-07T07:33:40Z,ICE14T,"63.995152,-22.626453",0,0,199
1683444830,2023-05-07T07:33:50Z,ICE14T,"63.994938,-22.626554",0,0,188
1683444841,2023-05-07T07:34:01Z,ICE14T,"63.994698,-22.626581",0,5,180
1683444850,2023-05-07T07:34:10Z,ICE14T,"63.994469,-22.626686",0,6,194
1683444861,2023-05-07T07:34:21Z,ICE14T,"63.994175,-22.626947",0,6,202
1683445073,2023-05-07T07:37:53Z,ICE14T,"63.993885,-22.627249",0,0,202
1683445086,2023-05-07T07:38:06Z,ICE14T,"63.993557,-22.627468",0,0,191
1683445091,2023-05-07T07:38:11Z,ICE14T,"63.993313,-22.627504",0,10,182
1683445096,2023-05-07T07:38:16Z,ICE14T,"63.993061,-22.627504",0,11,180
1683445120,2023-05-07T07:38:40Z,ICE14T,"63.992126,-22.626781",0,0,168
1683445126,2023-05-07T07:38:46Z,ICE14T,"63.991848,-22.626791",0,10,185
1683445131,2023-05-07T07:38:51Z,ICE14T,"63.991642,-22.626898",0,10,191
1683445135,2023-05-07T07:38:55Z,ICE14T,"63.991428,-22.627029",0,11,194
1683445146,2023-05-07T07:39:06Z,ICE14T,"63.990829,-22.627453",0,13,196
1683445151,2023-05-07T07:39:11Z,ICE14T,"63.990532,-22.627663",0,14,196
1683445157,2023-05-07T07:39:17Z,ICE14T,"63.990158,-22.627909",0,15,196
1683445160,2023-05-07T07:39:20Z,ICE14T,"63.989937,-22.628046",0,16,196
1683445166,2023-05-07T07:39:26Z,ICE14T,"63.989536,-22.628323",0,14,196
1683445172,2023-05-07T07:39:32Z,ICE14T,"63.989147,-22.628614",0,14,196
1683445178,2023-05-07T07:39:38Z,ICE14T,"63.988827,-22.628826",0,10,194
1683445187,2023-05-07T07:39:47Z,ICE14T,"63.988564,-22.629301",0,9,236
1683445196,2023-05-07T07:39:56Z,ICE14T,"63.988541,-22.630215",0,11,270
1683445199,2023-05-07T07:39:59Z,ICE14T,"63.988541,-22.630594",0,12,270
1683445209,2023-05-07T07:40:09Z,ICE14T,"63.988552,-22.632029",0,14,270
1683445211,2023-05-07T07:40:11Z,ICE14T,"63.988552,-22.632412",0,15,270
1683445219,2023-05-07T07:40:19Z,ICE14T,"63.988552,-22.633791",0,17,270
1683445225,2023-05-07T07:40:25Z,ICE14T,"63.988552,-22.634846",0,18,270
1683445232,2023-05-07T07:40:32Z,ICE14T,"63.988552,-22.636204",0,17,270
1683445238,2023-05-07T07:40:38Z,ICE14T,"63.988552,-22.637356",0,18,270
1683445245,2023-05-07T07:40:45Z,ICE14T,"63.988552,-22.638758",0,19,270
1683445251,2023-05-07T07:40:51Z,ICE14T,"63.988552,-22.639917",0,19,270
1683445257,2023-05-07T07:40:57Z,ICE14T,"63.988552,-22.64123",0,18,270
1683445263,2023-05-07T07:41:03Z,ICE14T,"63.988552,-22.642374",0,18,270
1683445270,2023-05-07T07:41:10Z,ICE14T,"63.988552,-22.643667",0,20,270
1683445276,2023-05-07T07:41:16Z,ICE14T,"63.988552,-22.645094",0,20,270
1683445281,2023-05-07T07:41:21Z,ICE14T,"63.988552,-22.646255",0,19,270
1683445289,2023-05-07T07:41:29Z,ICE14T,"63.988552,-22.647945",0,21,270
1683445295,2023-05-07T07:41:35Z,ICE14T,"63.988552,-22.649414",0,24,270
1683445301,2023-05-07T07:41:41Z,ICE14T,"63.988552,-22.651035",0,23,270
1683445310,2023-05-07T07:41:50Z,ICE14T,"63.988552,-22.65262",0,16,270
1683445315,2023-05-07T07:41:55Z,ICE14T,"63.988552,-22.653479",0,12,270
1683445320,2023-05-07T07:42:00Z,ICE14T,"63.988529,-22.653946",0,10,261
1683445322,2023-05-07T07:42:02Z,ICE14T,"63.988495,-22.654165",0,10,253
1683445325,2023-05-07T07:42:05Z,ICE14T,"63.988403,-22.654415",0,11,233
1683445332,2023-05-07T07:42:12Z,ICE14T,"63.988052,-22.654688",0,0,185
1683445338,2023-05-07T07:42:18Z,ICE14T,"63.987762,-22.654688",0,12,180
1683445343,2023-05-07T07:42:23Z,ICE14T,"63.987499,-22.654707",0,13,180
1683445348,2023-05-07T07:42:28Z,ICE14T,"63.987202,-22.654715",0,14,180
1683445354,2023-05-07T07:42:34Z,ICE14T,"63.986801,-22.654707",0,15,180
1683445359,2023-05-07T07:42:39Z,ICE14T,"63.986435,-22.654715",0,15,180
