Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1682510905,2023-04-26T12:08:25Z,ICE15M,"52.361034,13.512421",0,3,337
1682510924,2023-04-26T12:08:44Z,ICE15M,"52.360806,13.512575",0,3,340
1682510941,2023-04-26T12:09:01Z,ICE15M,"52.3606,13.512707",0,3,357
1682510957,2023-04-26T12:09:17Z,ICE15M,"52.360394,13.512726",0,3,28
1682510979,2023-04-26T12:09:39Z,ICE15M,"52.360188,13.512497",0,2,67
1682510991,2023-04-26T12:09:51Z,ICE15M,"52.36013,13.512281",0,1,70
1682511308,2023-04-26T12:15:08Z,ICE15M,"52.360199,13.512573",0,5,70
1682511316,2023-04-26T12:15:16Z,ICE15M,"52.360279,13.512897",0,7,70
1682511324,2023-04-26T12:15:24Z,ICE15M,"52.360386,13.51336",0,8,67
1682511333,2023-04-26T12:15:33Z,ICE15M,"52.360516,13.51389",0,10,70
1682511339,2023-04-26T12:15:39Z,ICE15M,"52.36063,13.514341",0,11,67
1682511345,2023-04-26T12:15:45Z,ICE15M,"52.360737,13.514805",0,11,70
1682511351,2023-04-26T12:15:51Z,ICE15M,"52.360863,13.51532",0,12,70
1682511356,2023-04-26T12:15:56Z,ICE15M,"52.360981,13.515813",0,13,67
1682511363,2023-04-26T12:16:03Z,ICE15M,"52.36113,13.51642",0,12,67
1682511369,2023-04-26T12:16:09Z,ICE15M,"52.361252,13.51696",0,12,70
1682511379,2023-04-26T12:16:19Z,ICE15M,"52.361389,13.51778",0,10,87
1682511382,2023-04-26T12:16:22Z,ICE15M,"52.361351,13.518029",0,9,104
1682511388,2023-04-26T12:16:28Z,ICE15M,"52.361202,13.518304",0,9,137
1682511393,2023-04-26T12:16:33Z,ICE15M,"52.361012,13.518505",0,11,146
1682511397,2023-04-26T12:16:37Z,ICE15M,"52.360886,13.518775",0,11,123
1682511400,2023-04-26T12:16:40Z,ICE15M,"52.36084,13.51903",0,11,104
1682511404,2023-04-26T12:16:44Z,ICE15M,"52.360863,13.519363",0,11,81
1682511410,2023-04-26T12:16:50Z,ICE15M,"52.360977,13.519878",0,11,70
1682511415,2023-04-26T12:16:55Z,ICE15M,"52.361061,13.520247",0,10,67
1682511419,2023-04-26T12:16:59Z,ICE15M,"52.361107,13.520482",0,8,73
1682511423,2023-04-26T12:17:03Z,ICE15M,"52.361115,13.520756",0,8,90
1682511429,2023-04-26T12:17:09Z,ICE15M,"52.361038,13.52107",0,9,115
1682511433,2023-04-26T12:17:13Z,ICE15M,"52.360886,13.521271",0,9,146
1682511439,2023-04-26T12:17:19Z,ICE15M,"52.360634,13.521442",0,10,157
1682511445,2023-04-26T12:17:25Z,ICE15M,"52.360432,13.521581",0,10,160
1682511449,2023-04-26T12:17:29Z,ICE15M,"52.36021,13.521698",0,9,160
1682511457,2023-04-26T12:17:37Z,ICE15M,"52.359982,13.521843",0,6,160
1682511470,2023-04-26T12:17:50Z,ICE15M,"52.359764,13.521976",0,3,160
1682511481,2023-04-26T12:18:01Z,ICE15M,"52.359547,13.522129",0,5,160
1682511492,2023-04-26T12:18:12Z,ICE15M,"52.359188,13.522346",0,9,160
1682511498,2023-04-26T12:18:18Z,ICE15M,"52.358894,13.522511",0,11,163
1682511503,2023-04-26T12:18:23Z,ICE15M,"52.358643,13.522568",0,12,177
1682511506,2023-04-26T12:18:26Z,ICE15M,"52.358414,13.522491",0,13,196
1682511511,2023-04-26T12:18:31Z,ICE15M,"52.358231,13.522243",0,13,225
1682511514,2023-04-26T12:18:34Z,ICE15M,"52.358128,13.521934",0,15,247
1682511516,2023-04-26T12:18:36Z,ICE15M,"52.358082,13.52169",0,17,250
1682511517,2023-04-26T12:18:37Z,ICE15M,"52.358025,13.521461",0,20,250
1682511520,2023-04-26T12:18:40Z,ICE15M,"52.357876,13.52087",0,32,250
1682511524,2023-04-26T12:18:44Z,ICE15M,"52.357578,13.519573",0,51,250
1682511526,2023-04-26T12:18:46Z,ICE15M,"52.357452,13.519058",0,55,250
1682511527,2023-04-26T12:18:47Z,ICE15M,"52.357235,13.518162",0,64,250
1682511528,2023-04-26T12:18:48Z,ICE15M,"52.357132,13.517704",0,68,250
1682511529,2023-04-26T12:18:49Z,ICE15M,"52.356998,13.517166",0,72,250
1682511531,2023-04-26T12:18:51Z,ICE15M,"52.356789,13.516273",0,80,250
1682511535,2023-04-26T12:18:55Z,ICE15M,"52.356354,13.514481",75,94,248
1682511540,2023-04-26T12:19:00Z,ICE15M,"52.355534,13.510908",75,112,248
1682511550,2023-04-26T12:19:10Z,ICE15M,"52.353344,13.501805",75,133,248
1682511558,2023-04-26T12:19:18Z,ICE15M,"52.351158,13.492388",225,157,249
1682511565,2023-04-26T12:19:25Z,ICE15M,"52.349396,13.484879",525,151,249
1682511571,2023-04-26T12:19:31Z,ICE15M,"52.347839,13.478165",750,155,248
1682511576,2023-04-26T12:19:36Z,ICE15M,"52.346222,13.471985",925,158,245
1682511580,2023-04-26T12:19:40Z,ICE15M,"52.345058,13.468532",1075,159,240
1682511583,2023-04-26T12:19:43Z,ICE15M,"52.343754,13.465001",1200,159,237
1682511584,2023-04-26T12:19:44Z,ICE15M,"52.343536,13.464508",1225,160,236
1682511585,2023-04-26T12:19:45Z,ICE15M,"52.342667,13.462524",1300,160,234
1682511588,2023-04-26T12:19:48Z,ICE15M,"52.341248,13.459549",1425,161,231
1682511591,2023-04-26T12:19:51Z,ICE15M,"52.340012,13.457108",1550,161,230
1682511593,2023-04-26T12:19:53Z,ICE15M,"52.339378,13.455819",1600,161,229
1682511596,2023-04-26T12:19:56Z,ICE15M,"52.337906,13.453064",1725,160,230
1682511598,2023-04-26T12:19:58Z,ICE15M,"52.337658,13.452601",1825,160,231
1682511601,2023-04-26T12:20:01Z,ICE15M,"52.335983,13.449173",1950,159,232
1682511604,2023-04-26T12:20:04Z,ICE15M,"52.334427,13.445663",2075,158,233
1682511607,2023-04-26T12:20:07Z,ICE15M,"52.332954,13.442322",2200,158,235
1682511610,2023-04-26T12:20:10Z,ICE15M,"52.331932,13.439889",2300,157,235
1682511616,2023-04-26T12:20:16Z,ICE15M,"52.329372,13.433611",2550,157,236
1682511619,2023-04-26T12:20:19Z,ICE15M,"52.32811,13.430557",2650,158,236
1682511622,2023-04-26T12:20:22Z,ICE15M,"52.326859,13.427412",2750,158,236
1682511630,2023-04-26T12:20:30Z,ICE15M,"52.323807,13.420715",3050,159,232
1682511636,2023-04-26T12:20:36Z,ICE15M,"52.320374,13.413849",3275,160,230
1682511639,2023-04-26T12:20:39Z,ICE15M,"52.319092,13.411407",3400,160,230
1682511642,2023-04-26T12:20:42Z,ICE15M,"52.318314,13.409882",3500,163,230
1682511646,2023-04-26T12:20:46Z,ICE15M,"52.315544,13.404497",3600,167,229
1682511649,2023-04-26T12:20:49Z,ICE15M,"52.314148,13.40183",3675,174,228
1682511652,2023-04-26T12:20:52Z,ICE15M,"52.312454,13.398666",3725,177,228
1682511655,2023-04-26T12:20:55Z,ICE15M,"52.310658,13.395473",3750,184,227
1682511661,2023-04-26T12:21:01Z,ICE15M,"52.307117,13.389038",3800,196,228
1682511667,2023-04-26T12:21:07Z,ICE15M,"52.303581,13.382604",3900,202,228
1682511673,2023-04-26T12:21:13Z,ICE15M,"52.299728,13.375473",4050,209,228
1682511679,2023-04-26T12:21:19Z,ICE15M,"52.295975,13.368378",4200,215,229
1682511685,2023-04-26T12:21:25Z,ICE15M,"52.291809,13.360748",4400,221,228
1682511691,2023-04-26T12:21:31Z,ICE15M,"52.287506,13.352814",4650,223,228
1682511699,2023-04-26T12:21:39Z,ICE15M,"52.282261,13.343131",5100,222,228
1682511712,2023-04-26T12:21:52Z,ICE15M,"52.273182,13.326338",5750,223,228
1682511725,2023-04-26T12:22:05Z,ICE15M,"52.264847,13.310394",6300,222,232
1682511728,2023-04-26T12:22:08Z,ICE15M,"52.263336,13.30658",6425,221,238
1682511729,2023-04-26T12:22:09Z,ICE15M,"52.262329,13.303528",6525,221,240
1682511733,2023-04-26T12:22:13Z,ICE15M,"52.261139,13.298798",6675,218,249
1682511736,2023-04-26T12:22:16Z,ICE15M,"52.260426,13.294242",6800,217,256
1682511738,2023-04-26T12:22:18Z,ICE15M,"52.260056,13.289376",6900,217,264
1682511742,2023-04-26T12:22:22Z,ICE15M,"52.260056,13.284511",7050,216,271
1682511744,2023-04-26T12:22:24Z,ICE15M,"52.260426,13.279802",7150,215,279
1682511747,2023-04-26T12:22:27Z,ICE15M,"52.261173,13.274938",7275,217,285
1682511751,2023-04-26T12:22:31Z,ICE15M,"52.262283,13.270264",7375,218,293
1682511754,2023-04-26T12:22:34Z,ICE15M,"52.263702,13.266068",7500,220,300
1682511757,2023-04-26T12:22:37Z,ICE15M,"52.265579,13.261871",7625,222,305
1682511760,2023-04-26T12:22:40Z,ICE15M,"52.267643,13.258301",7725,222,315
1682511763,2023-04-26T12:22:43Z,ICE15M,"52.27039,13.254613",7875,225,322
1682511766,2023-04-26T12:22:46Z,ICE15M,"52.272537,13.252106",7975,226,324
1682511769,2023-04-26T12:22:49Z,ICE15M,"52.275883,13.248413",8075,229,326
1682511772,2023-04-26T12:22:52Z,ICE15M,"52.277206,13.246994",8150,232,326
1682511775,2023-04-26T12:22:55Z,ICE15M,"52.280956,13.242998",8200,235,326
1682511779,2023-04-26T12:22:59Z,ICE15M,"52.284439,13.239288",8225,241,326
1682511782,2023-04-26T12:23:02Z,ICE15M,"52.287369,13.23616",8275,247,326
1682511785,2023-04-26T12:23:05Z,ICE15M,"52.290314,13.233032",8325,248,326
1682511788,2023-04-26T12:23:08Z,ICE15M,"52.293339,13.229815",8375,252,326
1682511800,2023-04-26T12:23:20Z,ICE15M,"52.30513,13.217163",8700,260,326
1682511812,2023-04-26T12:23:32Z,ICE15M,"52.317173,13.204076",9225,260,326
1682511824,2023-04-26T12:23:44Z,ICE15M,"52.329666,13.190384",9850,258,326
1682511836,2023-04-26T12:23:56Z,ICE15M,"52.34166,13.177414",10350,261,326
1682511848,2023-04-26T12:24:08Z,ICE15M,"52.354202,13.163757",10525,275,326
1682511860,2023-04-26T12:24:20Z,ICE15M,"52.366798,13.14985",10725,288,325
1682511871,2023-04-26T12:24:31Z,ICE15M,"52.379509,13.135803",10925,297,325
1682511884,2023-04-26T12:24:44Z,ICE15M,"52.39217,13.121757",11400,302,325
1682511897,2023-04-26T12:24:57Z,ICE15M,"52.409225,13.102722",11925,304,325
1682511909,2023-04-26T12:25:09Z,ICE15M,"52.422615,13.087621",12425,305,325
1682511942,2023-04-26T12:25:42Z,ICE15M,"52.461857,13.043204",13600,316,325
1682511975,2023-04-26T12:26:15Z,ICE15M,"52.503159,12.997208",14900,327,325
1682512007,2023-04-26T12:26:47Z,ICE15M,"52.541794,12.95372",16200,332,325
1682512039,2023-04-26T12:27:19Z,ICE15M,"52.584366,12.904129",17525,336,321
1682512073,2023-04-26T12:27:53Z,ICE15M,"52.624699,12.850159",18875,338,320
1682512136,2023-04-26T12:28:56Z,ICE15M,"52.70224,12.746887",21325,343,321
1682512197,2023-04-26T12:29:57Z,ICE15M,"52.776737,12.648873",23375,350,321
1682512258,2023-04-26T12:30:58Z,ICE15M,"52.856735,12.542419",25125,360,321
1682512322,2023-04-26T12:32:02Z,ICE15M,"52.939392,12.431893",26800,370,320
1682512385,2023-04-26T12:33:05Z,ICE15M,"53.024094,12.318268",28350,376,320
1682512448,2023-04-26T12:34:08Z,ICE15M,"53.109879,12.202436",29825,378,320
1682512509,2023-04-26T12:35:09Z,ICE15M,"53.192871,12.089827",31025,385,320
1682512572,2023-04-26T12:36:12Z,ICE15M,"53.279873,11.971301",32000,396,320
1682512635,2023-04-26T12:37:15Z,ICE15M,"53.370464,11.846977",33050,402,320
1682512698,2023-04-26T12:38:18Z,ICE15M,"53.461304,11.721627",33850,402,320
1682512760,2023-04-26T12:39:20Z,ICE15M,"53.554859,11.607702",34500,413,324
1682512823,2023-04-26T12:40:23Z,ICE15M,"53.654713,11.488306",35225,420,324
1682512885,2023-04-26T12:41:25Z,ICE15M,"53.754288,11.368345",35875,428,324
1682512945,2023-04-26T12:42:25Z,ICE15M,"53.849812,11.252666",36775,424,324
1682513007,2023-04-26T12:43:27Z,ICE15M,"53.947525,11.133189",37225,430,324
1682513115,2023-04-26T12:45:15Z,ICE15M,"54.123734,10.917428",38000,434,324
1682513178,2023-04-26T12:46:18Z,ICE15M,"54.224277,10.792855",38000,434,323
1682513244,2023-04-26T12:47:24Z,ICE15M,"54.331211,10.659152",38000,432,323
1682513306,2023-04-26T12:48:26Z,ICE15M,"54.430115,10.535404",38000,432,323
1682513368,2023-04-26T12:49:28Z,ICE15M,"54.530823,10.40793",38000,430,323
1682513429,2023-04-26T12:50:29Z,ICE15M,"54.625488,10.28797",38000,431,323
1682513493,2023-04-26T12:51:33Z,ICE15M,"54.730907,10.153281",38000,434,323
1682513553,2023-04-26T12:52:33Z,ICE15M,"54.828186,10.02769",38000,435,323
1682513616,2023-04-26T12:53:36Z,ICE15M,"54.927841,9.898924",38000,435,323
1682513680,2023-04-26T12:54:40Z,ICE15M,"55.031525,9.764584",38000,436,323
1682513743,2023-04-26T12:55:43Z,ICE15M,"55.132839,9.631847",38000,435,322
1682513806,2023-04-26T12:56:46Z,ICE15M,"55.232555,9.499345",38000,435,322
1682513868,2023-04-26T12:57:48Z,ICE15M,"55.332642,9.366593",38000,434,322
1682513929,2023-04-26T12:58:49Z,ICE15M,"55.430191,9.23619",38000,433,322
1682513992,2023-04-26T12:59:52Z,ICE15M,"55.527927,9.105005",38000,432,322
1682514053,2023-04-26T13:00:53Z,ICE15M,"55.626114,8.971918",38000,430,322
1682514113,2023-04-26T13:01:53Z,ICE15M,"55.720795,8.842793",38000,430,322
1682514177,2023-04-26T13:02:57Z,ICE15M,"55.820526,8.705916",38000,428,322
1682514238,2023-04-26T13:03:58Z,ICE15M,"55.915661,8.5744",38000,426,322
1682514298,2023-04-26T13:04:58Z,ICE15M,"56.009186,8.444366",38000,426,321
1682514362,2023-04-26T13:06:02Z,ICE15M,"56.107922,8.30678",38000,430,322
1682514425,2023-04-26T13:07:05Z,ICE15M,"56.206787,8.167669",38000,430,321
1682514488,2023-04-26T13:08:08Z,ICE15M,"56.305389,8.027511",38000,434,321
1682514548,2023-04-26T13:09:08Z,ICE15M,"56.399525,7.89299",38000,434,321
1682514612,2023-04-26T13:10:12Z,ICE15M,"56.499252,7.750105",38000,436,321
1682514675,2023-04-26T13:11:15Z,ICE15M,"56.598305,7.607058",38000,436,321
1682514736,2023-04-26T13:12:16Z,ICE15M,"56.693115,7.468987",38000,438,321
1682514799,2023-04-26T13:13:19Z,ICE15M,"56.793964,7.320881",38000,440,321
1682514862,2023-04-26T13:14:22Z,ICE15M,"56.893539,7.173895",38000,442,320
1682514924,2023-04-26T13:15:24Z,ICE15M,"56.989929,7.030563",38000,442,320
1682514987,2023-04-26T13:16:27Z,ICE15M,"57.092224,6.87753",38000,441,320
1682515051,2023-04-26T13:17:31Z,ICE15M,"57.192032,6.727531",38000,440,320
1682515112,2023-04-26T13:18:32Z,ICE15M,"57.287231,6.582317",38000,438,320
1682515174,2023-04-26T13:19:34Z,ICE15M,"57.383102,6.435328",38000,435,320
1682515237,2023-04-26T13:20:37Z,ICE15M,"57.480747,6.284888",38000,434,320
1682515298,2023-04-26T13:21:38Z,ICE15M,"57.574131,6.140826",38000,434,320
1682515359,2023-04-26T13:22:39Z,ICE15M,"57.667282,5.994673",38000,434,319
1682515422,2023-04-26T13:23:42Z,ICE15M,"57.764008,5.842334",38000,432,319
1682515483,2023-04-26T13:24:43Z,ICE15M,"57.856659,5.695968",38000,433,319
1682515546,2023-04-26T13:25:46Z,ICE15M,"57.953766,5.540771",38000,434,319
1682515610,2023-04-26T13:26:50Z,ICE15M,"58.050919,5.384583",38000,436,319
1682515671,2023-04-26T13:27:51Z,ICE15M,"58.143906,5.234188",38000,436,319
1682515732,2023-04-26T13:28:52Z,ICE15M,"58.236664,5.082367",38000,436,319
1682515793,2023-04-26T13:29:53Z,ICE15M,"58.328838,4.930573",38000,436,318
1682515854,2023-04-26T13:30:54Z,ICE15M,"58.421848,4.776764",38000,436,318
1682515915,2023-04-26T13:31:55Z,ICE15M,"58.514511,4.622941",38000,438,318
1682515976,2023-04-26T13:32:56Z,ICE15M,"58.606659,4.468048",38000,438,318
1682516037,2023-04-26T13:33:57Z,ICE15M,"58.698669,4.312134",38000,439,318
1682516098,2023-04-26T13:34:58Z,ICE15M,"58.79155,4.154072",38000,440,318
1682516159,2023-04-26T13:35:59Z,ICE15M,"58.882874,3.997009",38000,442,318
1682516220,2023-04-26T13:37:00Z,ICE15M,"58.977814,3.833038",38000,445,318
1682516281,2023-04-26T13:38:01Z,ICE15M,"59.069458,3.673553",38000,446,318
1682516342,2023-04-26T13:39:02Z,ICE15M,"59.164215,3.507291",38000,442,317
1682516403,2023-04-26T13:40:03Z,ICE15M,"59.255085,3.346",38000,441,317
1682516466,2023-04-26T13:41:06Z,ICE15M,"59.350517,3.175712",38000,441,317
1682516527,2023-04-26T13:42:07Z,ICE15M,"59.44194,3.012085",38000,442,317
1682516588,2023-04-26T13:43:08Z,ICE15M,"59.533173,2.846832",38000,440,317
1682516652,2023-04-26T13:44:12Z,ICE15M,"59.628662,2.671509",38000,441,317
1682516712,2023-04-26T13:45:12Z,ICE15M,"59.717911,2.507819",38000,440,317
1682516776,2023-04-26T13:46:16Z,ICE15M,"59.814194,2.329834",38000,441,316
1682516840,2023-04-26T13:47:20Z,ICE15M,"59.907562,2.154741",38000,440,316
1682516903,2023-04-26T13:48:23Z,ICE15M,"60.000687,1.978676",38000,441,316
1682516966,2023-04-26T13:49:26Z,ICE15M,"60.093864,1.80166",38000,443,316
1682517027,2023-04-26T13:50:27Z,ICE15M,"60.184113,1.628913",38000,444,316
1682517088,2023-04-26T13:51:28Z,ICE15M,"60.273697,1.456446",37725,442,316
1682517149,2023-04-26T13:52:29Z,ICE15M,"60.364014,1.280191",37175,442,315
1682517210,2023-04-26T13:53:30Z,ICE15M,"60.452545,1.106588",36625,439,315
1682517271,2023-04-26T13:54:31Z,ICE15M,"60.541901,0.930049",36150,443,315
1682517334,2023-04-26T13:55:34Z,ICE15M,"60.633686,0.746678",36000,446,315
1682517395,2023-04-26T13:56:35Z,ICE15M,"60.722351,0.567974",36000,444,315
1682517459,2023-04-26T13:57:39Z,ICE15M,"60.815376,0.379617",36000,441,315
1682517522,2023-04-26T13:58:42Z,ICE15M,"60.906155,0.193928",36000,439,315
1682517582,2023-04-26T13:59:42Z,ICE15M,"60.990692,0.012752",36000,437,308
1682517592,2023-04-26T13:59:52Z,ICE15M,"61.002144,-0.019913",36000,436,304
1682517595,2023-04-26T13:59:55Z,ICE15M,"61.005775,-0.031291",36000,437,303
1682517598,2023-04-26T13:59:58Z,ICE15M,"61.008545,-0.040252",36000,436,302
1682517601,2023-04-26T14:00:01Z,ICE15M,"61.012207,-0.052659",36000,436,300
1682517605,2023-04-26T14:00:05Z,ICE15M,"61.015366,-0.063956",36000,437,299
1682517608,2023-04-26T14:00:08Z,ICE15M,"61.018295,-0.075105",36000,437,298
1682517611,2023-04-26T14:00:11Z,ICE15M,"61.021137,-0.086321",36000,436,297
1682517614,2023-04-26T14:00:14Z,ICE15M,"61.023743,-0.096793",36000,436,296
1682517617,2023-04-26T14:00:17Z,ICE15M,"61.026031,-0.106075",36000,436,296
1682517678,2023-04-26T14:01:18Z,ICE15M,"61.082382,-0.332827",36000,435,297
1682517739,2023-04-26T14:02:19Z,ICE15M,"61.136959,-0.555115",36000,434,296
1682517800,2023-04-26T14:03:20Z,ICE15M,"61.192749,-0.785522",36000,436,296
1682517861,2023-04-26T14:04:21Z,ICE15M,"61.247196,-1.013489",36000,436,296
1682517922,2023-04-26T14:05:22Z,ICE15M,"61.301804,-1.242472",36000,437,296
1682517985,2023-04-26T14:06:25Z,ICE15M,"61.356968,-1.479594",36000,437,295
1682518047,2023-04-26T14:07:27Z,ICE15M,"61.411804,-1.715393",36000,439,295
1682518107,2023-04-26T14:08:27Z,ICE15M,"61.464981,-1.945561",36000,441,295
1682518171,2023-04-26T14:09:31Z,ICE15M,"61.52037,-2.191184",36000,441,295
1682518232,2023-04-26T14:10:32Z,ICE15M,"61.572281,-2.421701",36000,441,295
