Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1682597661,2023-04-27T12:14:21Z,ICE15M,"52.365799,13.504786",0,0,67
1682597714,2023-04-27T12:15:14Z,ICE15M,"52.365749,13.504581",0,3,70
1682597725,2023-04-27T12:15:25Z,ICE15M,"52.365704,13.504355",0,3,70
1682597737,2023-04-27T12:15:37Z,ICE15M,"52.365646,13.504124",0,3,67
1682597749,2023-04-27T12:15:49Z,ICE15M,"52.365589,13.503865",0,3,67
1682597760,2023-04-27T12:16:00Z,ICE15M,"52.365528,13.503649",0,3,67
1682597770,2023-04-27T12:16:10Z,ICE15M,"52.365482,13.503433",0,3,67
1682597779,2023-04-27T12:16:19Z,ICE15M,"52.36544,13.503227",0,3,67
1682597789,2023-04-27T12:16:29Z,ICE15M,"52.365391,13.503021",0,3,67
1682597802,2023-04-27T12:16:42Z,ICE15M,"52.365322,13.502747",0,3,67
1682597812,2023-04-27T12:16:52Z,ICE15M,"52.365269,13.502522",0,3,59
1682597825,2023-04-27T12:17:05Z,ICE15M,"52.3652,13.502312",0,2,36
1682597849,2023-04-27T12:17:29Z,ICE15M,"52.364994,13.502119",0,2,345
1682597870,2023-04-27T12:17:50Z,ICE15M,"52.364784,13.502217",0,2,337
1682598076,2023-04-27T12:21:16Z,ICE15M,"52.364994,13.502197",0,5,354
1682598086,2023-04-27T12:21:26Z,ICE15M,"52.365334,13.502236",0,9,2
1682598091,2023-04-27T12:21:31Z,ICE15M,"52.365555,13.502254",0,10,2
1682598099,2023-04-27T12:21:39Z,ICE15M,"52.365971,13.502217",0,13,351
1682598102,2023-04-27T12:21:42Z,ICE15M,"52.366196,13.502102",0,13,340
1682598106,2023-04-27T12:21:46Z,ICE15M,"52.366413,13.501962",0,13,337
1682598110,2023-04-27T12:21:50Z,ICE15M,"52.366676,13.501778",0,13,337
1682598118,2023-04-27T12:21:58Z,ICE15M,"52.367138,13.501668",0,14,356
1682598122,2023-04-27T12:22:02Z,ICE15M,"52.367393,13.501746",0,14,11
1682598126,2023-04-27T12:22:06Z,ICE15M,"52.367615,13.501805",0,14,8
1682598132,2023-04-27T12:22:12Z,ICE15M,"52.36797,13.501797",0,13,357
1682598137,2023-04-27T12:22:17Z,ICE15M,"52.368256,13.501873",0,12,19
1682598141,2023-04-27T12:22:21Z,ICE15M,"52.368427,13.502138",0,12,47
1682598145,2023-04-27T12:22:25Z,ICE15M,"52.36853,13.502522",0,12,67
1682598149,2023-04-27T12:22:29Z,ICE15M,"52.368614,13.502864",0,13,70
1682598153,2023-04-27T12:22:33Z,ICE15M,"52.368706,13.503276",0,15,70
