Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1682856424,2023-04-30T12:07:04Z,ICE15M,"52.361286,13.512955",0,0,337
1682856456,2023-04-30T12:07:36Z,ICE15M,"52.361084,13.513085",0,3,340
1682856482,2023-04-30T12:08:02Z,ICE15M,"52.360851,13.513222",0,2,343
1682856509,2023-04-30T12:08:29Z,ICE15M,"52.360641,13.513321",0,1,14
1682856533,2023-04-30T12:08:53Z,ICE15M,"52.360428,13.513222",0,2,47
1682856554,2023-04-30T12:09:14Z,ICE15M,"52.360329,13.512987",0,3,67
1682856779,2023-04-30T12:12:59Z,ICE15M,"52.360363,13.513223",0,4,70
1682856786,2023-04-30T12:13:06Z,ICE15M,"52.360409,13.513458",0,5,70
1682856792,2023-04-30T12:13:12Z,ICE15M,"52.360485,13.513756",0,7,70
1682856798,2023-04-30T12:13:18Z,ICE15M,"52.360554,13.514042",0,7,70
1682856805,2023-04-30T12:13:25Z,ICE15M,"52.360645,13.514423",0,9,70
1682856810,2023-04-30T12:13:30Z,ICE15M,"52.360722,13.514753",0,9,70
1682856816,2023-04-30T12:13:36Z,ICE15M,"52.360828,13.515186",0,10,70
1682856823,2023-04-30T12:13:43Z,ICE15M,"52.360931,13.515663",0,11,70
1682856829,2023-04-30T12:13:49Z,ICE15M,"52.361057,13.51614",0,12,70
1682856837,2023-04-30T12:13:57Z,ICE15M,"52.361214,13.516813",0,13,67
1682856844,2023-04-30T12:14:04Z,ICE15M,"52.361378,13.517551",0,13,73
1682856850,2023-04-30T12:14:10Z,ICE15M,"52.36134,13.518029",0,11,106
1682856853,2023-04-30T12:14:13Z,ICE15M,"52.361248,13.518245",0,11,123
1682856857,2023-04-30T12:14:17Z,ICE15M,"52.361115,13.518562",0,11,123
1682856861,2023-04-30T12:14:21Z,ICE15M,"52.361046,13.518829",0,12,112
1682856864,2023-04-30T12:14:24Z,ICE15M,"52.361012,13.519135",0,13,98
1682856867,2023-04-30T12:14:27Z,ICE15M,"52.361012,13.519421",0,14,87
1682856869,2023-04-30T12:14:29Z,ICE15M,"52.361046,13.519745",0,14,78
1682856874,2023-04-30T12:14:34Z,ICE15M,"52.361095,13.520167",0,15,81
1682856877,2023-04-30T12:14:37Z,ICE15M,"52.361107,13.520521",0,14,87
1682856880,2023-04-30T12:14:40Z,ICE15M,"52.361084,13.520776",0,13,101
1682856883,2023-04-30T12:14:43Z,ICE15M,"52.360954,13.521099",0,14,126
1682856886,2023-04-30T12:14:46Z,ICE15M,"52.360806,13.521306",0,15,143
1682856890,2023-04-30T12:14:50Z,ICE15M,"52.360542,13.5215",0,15,157
1682856894,2023-04-30T12:14:54Z,ICE15M,"52.360294,13.521659",0,14,160
1682856899,2023-04-30T12:14:59Z,ICE15M,"52.36005,13.521805",0,9,160
1682856909,2023-04-30T12:15:09Z,ICE15M,"52.35981,13.521957",0,5,157
1682856920,2023-04-30T12:15:20Z,ICE15M,"52.359558,13.52211",0,5,160
1682856929,2023-04-30T12:15:29Z,ICE15M,"52.359348,13.522227",0,6,160
1682856937,2023-04-30T12:15:37Z,ICE15M,"52.359112,13.522396",0,8,157
1682856943,2023-04-30T12:15:43Z,ICE15M,"52.358883,13.52253",0,8,160
1682856949,2023-04-30T12:15:49Z,ICE15M,"52.358654,13.522568",0,9,174
1682856954,2023-04-30T12:15:54Z,ICE15M,"52.358414,13.522511",0,9,194
1682856960,2023-04-30T12:16:00Z,ICE15M,"52.358242,13.522263",0,10,225
1682856963,2023-04-30T12:16:03Z,ICE15M,"52.358162,13.522012",0,12,241
1682856966,2023-04-30T12:16:06Z,ICE15M,"52.358082,13.521737",0,15,247
1682856968,2023-04-30T12:16:08Z,ICE15M,"52.358025,13.521462",0,18,250
1682856969,2023-04-30T12:16:09Z,ICE15M,"52.357967,13.521233",0,27,250
1682856970,2023-04-30T12:16:10Z,ICE15M,"52.357883,13.520854",0,32,250
1682856972,2023-04-30T12:16:12Z,ICE15M,"52.357815,13.52056",0,36,250
1682856974,2023-04-30T12:16:14Z,ICE15M,"52.357681,13.520012",0,45,250
1682856975,2023-04-30T12:16:15Z,ICE15M,"52.357544,13.51944",0,54,250
1682856976,2023-04-30T12:16:16Z,ICE15M,"52.357464,13.519109",0,54,250
1682856977,2023-04-30T12:16:17Z,ICE15M,"52.357292,13.518372",0,63,250
1682856984,2023-04-30T12:16:24Z,ICE15M,"52.356525,13.515129",0,86,250
1682856993,2023-04-30T12:16:33Z,ICE15M,"52.35479,13.507848",0,120,248
1682857003,2023-04-30T12:16:43Z,ICE15M,"52.3526,13.498535",0,155,248
1682857012,2023-04-30T12:16:52Z,ICE15M,"52.350086,13.487993",0,166,248
1682857019,2023-04-30T12:16:59Z,ICE15M,"52.348251,13.479919",250,167,249
1682857027,2023-04-30T12:17:07Z,ICE15M,"52.346035,13.470259",600,165,248
1682857034,2023-04-30T12:17:14Z,ICE15M,"52.343849,13.463353",875,167,237
1682857037,2023-04-30T12:17:17Z,ICE15M,"52.341797,13.458862",975,171,231
1682857040,2023-04-30T12:17:20Z,ICE15M,"52.341335,13.457938",1050,172,230
1682857042,2023-04-30T12:17:22Z,ICE15M,"52.339279,13.453903",1125,175,230
1682857045,2023-04-30T12:17:25Z,ICE15M,"52.337585,13.45047",1175,179,231
1682857049,2023-04-30T12:17:29Z,ICE15M,"52.335934,13.446952",1200,183,232
1682857052,2023-04-30T12:17:32Z,ICE15M,"52.334198,13.443298",1275,189,232
1682857054,2023-04-30T12:17:34Z,ICE15M,"52.332722,13.440203",1325,193,231
1682857057,2023-04-30T12:17:37Z,ICE15M,"52.331093,13.43675",1400,197,232
1682857060,2023-04-30T12:17:40Z,ICE15M,"52.329418,13.433297",1450,201,232
1682857067,2023-04-30T12:17:47Z,ICE15M,"52.325592,13.425064",1650,205,232
1682857073,2023-04-30T12:17:53Z,ICE15M,"52.321747,13.417282",1875,208,230
1682857081,2023-04-30T12:18:01Z,ICE15M,"52.317535,13.409195",2000,217,229
1682857087,2023-04-30T12:18:07Z,ICE15M,"52.312939,13.400338",2100,226,229
1682857093,2023-04-30T12:18:13Z,ICE15M,"52.309021,13.392792",2300,231,229
1682857100,2023-04-30T12:18:20Z,ICE15M,"52.304398,13.383942",2650,229,229
1682857107,2023-04-30T12:18:27Z,ICE15M,"52.299179,13.374252",3025,227,228
1682857112,2023-04-30T12:18:32Z,ICE15M,"52.296646,13.369498",3250,226,229
1682857119,2023-04-30T12:18:39Z,ICE15M,"52.291199,13.359375",3500,226,228
1682857125,2023-04-30T12:18:45Z,ICE15M,"52.286774,13.351212",3625,230,228
1682857131,2023-04-30T12:18:51Z,ICE15M,"52.283749,13.345642",3725,231,228
1682857137,2023-04-30T12:18:57Z,ICE15M,"52.279049,13.336853",3825,231,228
1682857143,2023-04-30T12:19:03Z,ICE15M,"52.275421,13.330231",3900,231,227
1682857149,2023-04-30T12:19:09Z,ICE15M,"52.270111,13.320618",3975,232,227
1682857156,2023-04-30T12:19:16Z,ICE15M,"52.265129,13.311506",4075,235,228
1682857162,2023-04-30T12:19:22Z,ICE15M,"52.259995,13.302078",4250,235,228
