Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1683029210,2023-05-02T12:06:50Z,ICE15M,"52.361004,13.511751",0,0,337
1683029250,2023-05-02T12:07:30Z,ICE15M,"52.360794,13.511887",0,3,337
1683029266,2023-05-02T12:07:46Z,ICE15M,"52.360577,13.51202",0,3,337
1683029286,2023-05-02T12:08:06Z,ICE15M,"52.360363,13.512183",0,2,354
1683029309,2023-05-02T12:08:29Z,ICE15M,"52.360142,13.512192",0,2,61
1683029322,2023-05-02T12:08:42Z,ICE15M,"52.360085,13.511987",0,2,67
1683029336,2023-05-02T12:08:56Z,ICE15M,"52.360016,13.511772",0,2,70
1683029601,2023-05-02T12:13:21Z,ICE15M,"52.360062,13.511982",0,4,70
1683029615,2023-05-02T12:13:35Z,ICE15M,"52.360176,13.512459",0,6,67
1683029621,2023-05-02T12:13:41Z,ICE15M,"52.360245,13.512745",0,7,70
1683029627,2023-05-02T12:13:47Z,ICE15M,"52.360325,13.513088",0,8,70
1683029633,2023-05-02T12:13:53Z,ICE15M,"52.360397,13.51338",0,8,67
1683029639,2023-05-02T12:13:59Z,ICE15M,"52.360508,13.513832",0,9,70
1683029645,2023-05-02T12:14:05Z,ICE15M,"52.3606,13.514233",0,10,70
1683029651,2023-05-02T12:14:11Z,ICE15M,"52.360714,13.51469",0,11,67
1683029658,2023-05-02T12:14:18Z,ICE15M,"52.360828,13.515205",0,11,70
1683029663,2023-05-02T12:14:23Z,ICE15M,"52.360931,13.515663",0,12,70
1683029670,2023-05-02T12:14:30Z,ICE15M,"52.361046,13.51614",0,13,67
1683029676,2023-05-02T12:14:36Z,ICE15M,"52.361202,13.516793",0,13,67
1683029684,2023-05-02T12:14:44Z,ICE15M,"52.361355,13.517456",0,11,70
1683029690,2023-05-02T12:14:50Z,ICE15M,"52.361355,13.517952",0,10,101
1683029694,2023-05-02T12:14:54Z,ICE15M,"52.361259,13.518226",0,10,123
1683029698,2023-05-02T12:14:58Z,ICE15M,"52.361118,13.518461",0,11,135
1683029702,2023-05-02T12:15:02Z,ICE15M,"52.360989,13.518696",0,11,132
1683029707,2023-05-02T12:15:07Z,ICE15M,"52.360886,13.519096",0,11,109
1683029710,2023-05-02T12:15:10Z,ICE15M,"52.360863,13.519324",0,11,92
1683029713,2023-05-02T12:15:13Z,ICE15M,"52.360897,13.51956",0,10,78
1683029718,2023-05-02T12:15:18Z,ICE15M,"52.360981,13.519893",0,11,67
1683029722,2023-05-02T12:15:22Z,ICE15M,"52.361069,13.52026",0,11,67
1683029725,2023-05-02T12:15:25Z,ICE15M,"52.361118,13.520482",0,12,73
1683029731,2023-05-02T12:15:31Z,ICE15M,"52.361092,13.520985",0,11,104
1683029735,2023-05-02T12:15:35Z,ICE15M,"52.36097,13.521227",0,12,132
1683029740,2023-05-02T12:15:40Z,ICE15M,"52.36068,13.521423",0,12,160
1683029745,2023-05-02T12:15:45Z,ICE15M,"52.360443,13.521561",0,10,160
1683029751,2023-05-02T12:15:51Z,ICE15M,"52.360199,13.521709",0,9,160
1683029757,2023-05-02T12:15:57Z,ICE15M,"52.35997,13.521862",0,8,160
1683029766,2023-05-02T12:16:06Z,ICE15M,"52.359711,13.522012",0,6,160
1683029776,2023-05-02T12:16:16Z,ICE15M,"52.359478,13.522167",0,4,157
1683029789,2023-05-02T12:16:29Z,ICE15M,"52.359257,13.522306",0,5,160
1683029800,2023-05-02T12:16:40Z,ICE15M,"52.359001,13.522463",0,6,160
1683029807,2023-05-02T12:16:47Z,ICE15M,"52.358791,13.522549",0,7,168
1683029814,2023-05-02T12:16:54Z,ICE15M,"52.358562,13.52253",0,8,185
1683029820,2023-05-02T12:17:00Z,ICE15M,"52.358345,13.522396",0,9,205
1683029824,2023-05-02T12:17:04Z,ICE15M,"52.358212,13.522188",0,9,225
1683029828,2023-05-02T12:17:08Z,ICE15M,"52.358139,13.521973",0,10,241
1683029831,2023-05-02T12:17:11Z,ICE15M,"52.358082,13.521729",0,11,247
1683029834,2023-05-02T12:17:14Z,ICE15M,"52.358025,13.521482",0,12,250
1683029836,2023-05-02T12:17:16Z,ICE15M,"52.357979,13.521271",0,14,250
1683029838,2023-05-02T12:17:18Z,ICE15M,"52.357929,13.52105",0,16,250
1683029840,2023-05-02T12:17:20Z,ICE15M,"52.357861,13.520737",0,22,250
1683029841,2023-05-02T12:17:21Z,ICE15M,"52.357796,13.520489",0,30,250
1683029842,2023-05-02T12:17:22Z,ICE15M,"52.357738,13.520241",0,35,250
1683029843,2023-05-02T12:17:23Z,ICE15M,"52.357674,13.519972",0,39,250
1683029844,2023-05-02T12:17:24Z,ICE15M,"52.357571,13.51954",0,44,250
1683029850,2023-05-02T12:17:30Z,ICE15M,"52.35696,13.516941",0,70,250
1683029860,2023-05-02T12:17:40Z,ICE15M,"52.355534,13.510908",0,106,249
1683029870,2023-05-02T12:17:50Z,ICE15M,"52.353344,13.501648",0,134,248
1683029875,2023-05-02T12:17:55Z,ICE15M,"52.352135,13.496704",0,155,248
1683029884,2023-05-02T12:18:04Z,ICE15M,"52.349388,13.485247",50,171,248
1683029891,2023-05-02T12:18:11Z,ICE15M,"52.347572,13.478106",400,162,247
1683029897,2023-05-02T12:18:17Z,ICE15M,"52.345642,13.47084",675,161,245
1683029903,2023-05-02T12:18:23Z,ICE15M,"52.343754,13.464294",850,166,242
1683029906,2023-05-02T12:18:26Z,ICE15M,"52.34259,13.461077",925,169,239
1683029908,2023-05-02T12:18:28Z,ICE15M,"52.341705,13.458939",975,172,235
1683029911,2023-05-02T12:18:31Z,ICE15M,"52.34024,13.455582",1025,176,233
1683029914,2023-05-02T12:18:34Z,ICE15M,"52.338821,13.452445",1050,179,233
1683029917,2023-05-02T12:18:37Z,ICE15M,"52.337265,13.449173",1100,183,232
1683029919,2023-05-02T12:18:39Z,ICE15M,"52.335983,13.44635",1150,187,233
1683029921,2023-05-02T12:18:41Z,ICE15M,"52.335251,13.444748",1175,190,233
1683029924,2023-05-02T12:18:44Z,ICE15M,"52.333557,13.441162",1225,193,232
1683029927,2023-05-02T12:18:47Z,ICE15M,"52.331882,13.437613",1275,196,232
1683029930,2023-05-02T12:18:50Z,ICE15M,"52.330254,13.43416",1300,201,232
1683029931,2023-05-02T12:18:51Z,ICE15M,"52.329987,13.433533",1325,202,232
1683029933,2023-05-02T12:18:53Z,ICE15M,"52.329464,13.432434",1325,207,232
1683029940,2023-05-02T12:19:00Z,ICE15M,"52.324436,13.421762",1475,214,231
1683029945,2023-05-02T12:19:05Z,ICE15M,"52.320602,13.414383",1700,216,228
1683029948,2023-05-02T12:19:08Z,ICE15M,"52.318954,13.411331",1825,216,228
1683029954,2023-05-02T12:19:14Z,ICE15M,"52.315201,13.404541",2125,212,228
1683029961,2023-05-02T12:19:21Z,ICE15M,"52.310806,13.396454",2525,209,228
1683029966,2023-05-02T12:19:26Z,ICE15M,"52.3074,13.390215",2750,208,228
1683029972,2023-05-02T12:19:32Z,ICE15M,"52.303574,13.383102",3100,205,228
1683029979,2023-05-02T12:19:39Z,ICE15M,"52.299225,13.374939",3400,204,228
1683029985,2023-05-02T12:19:45Z,ICE15M,"52.295387,13.36785",3625,206,228
1683029994,2023-05-02T12:19:54Z,ICE15M,"52.289886,13.357773",3950,208,228
1683030000,2023-05-02T12:20:00Z,ICE15M,"52.285843,13.35035",4175,209,228
1683030005,2023-05-02T12:20:05Z,ICE15M,"52.282539,13.344308",4375,213,228
1683030012,2023-05-02T12:20:12Z,ICE15M,"52.278118,13.336068",4575,215,228
1683030018,2023-05-02T12:20:18Z,ICE15M,"52.274277,13.328934",4825,216,228
1683030024,2023-05-02T12:20:24Z,ICE15M,"52.270248,13.321472",5050,217,228
1683030036,2023-05-02T12:20:36Z,ICE15M,"52.262421,13.306656",5550,217,228
1683030047,2023-05-02T12:20:47Z,ICE15M,"52.256096,13.294869",6075,217,229
1683030060,2023-05-02T12:21:00Z,ICE15M,"52.247021,13.276506",6525,219,235
1683030066,2023-05-02T12:21:06Z,ICE15M,"52.243992,13.267797",6650,224,243
1683030069,2023-05-02T12:21:09Z,ICE15M,"52.242783,13.262853",6675,228,249
1683030072,2023-05-02T12:21:12Z,ICE15M,"52.241913,13.257446",6725,231,255
1683030075,2023-05-02T12:21:15Z,ICE15M,"52.241409,13.252335",6775,236,263
