Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1683116743,2023-05-03T12:25:43Z,ICE15M,"52.363911,13.506003",0,0,70
1683116802,2023-05-03T12:26:42Z,ICE15M,"52.363819,13.50563",0,6,67
1683116807,2023-05-03T12:26:47Z,ICE15M,"52.363758,13.505402",0,5,75
1683116813,2023-05-03T12:26:53Z,ICE15M,"52.363712,13.505135",0,6,87
1683116818,2023-05-03T12:26:58Z,ICE15M,"52.363689,13.504905",0,6,106
1683116825,2023-05-03T12:27:05Z,ICE15M,"52.363735,13.504639",0,5,129
1683116832,2023-05-03T12:27:12Z,ICE15M,"52.363827,13.504429",0,5,151
1683116842,2023-05-03T12:27:22Z,ICE15M,"52.364029,13.504257",0,4,157
1683116855,2023-05-03T12:27:35Z,ICE15M,"52.364262,13.5041",0,4,160
1683117144,2023-05-03T12:32:24Z,ICE15M,"52.36404,13.504257",0,5,160
1683117153,2023-05-03T12:32:33Z,ICE15M,"52.363808,13.504395",0,6,160
1683117161,2023-05-03T12:32:41Z,ICE15M,"52.363575,13.504562",0,8,157
1683117167,2023-05-03T12:32:47Z,ICE15M,"52.363365,13.504689",0,8,160
1683117172,2023-05-03T12:32:52Z,ICE15M,"52.363155,13.504827",0,9,157
1683117180,2023-05-03T12:33:00Z,ICE15M,"52.362843,13.50502",0,10,157
1683117187,2023-05-03T12:33:07Z,ICE15M,"52.362499,13.505249",0,11,157
1683117192,2023-05-03T12:33:12Z,ICE15M,"52.362282,13.505376",0,12,157
1683117198,2023-05-03T12:33:18Z,ICE15M,"52.361916,13.505611",0,13,157
1683117205,2023-05-03T12:33:25Z,ICE15M,"52.361504,13.505878",0,13,157
1683117211,2023-05-03T12:33:31Z,ICE15M,"52.361141,13.506102",0,14,157
1683117217,2023-05-03T12:33:37Z,ICE15M,"52.360806,13.506317",0,15,157
1683117223,2023-05-03T12:33:43Z,ICE15M,"52.360382,13.506584",0,15,157
1683117229,2023-05-03T12:33:49Z,ICE15M,"52.359989,13.506827",0,15,157
1683117235,2023-05-03T12:33:55Z,ICE15M,"52.359592,13.50708",0,14,157
1683117241,2023-05-03T12:34:01Z,ICE15M,"52.359222,13.507318",0,14,157
1683117247,2023-05-03T12:34:07Z,ICE15M,"52.358883,13.507519",0,14,157
1683117253,2023-05-03T12:34:13Z,ICE15M,"52.358551,13.507767",0,12,151
1683117256,2023-05-03T12:34:16Z,ICE15M,"52.358395,13.508004",0,13,132
1683117259,2023-05-03T12:34:19Z,ICE15M,"52.358334,13.508282",0,13,109
1683117264,2023-05-03T12:34:24Z,ICE15M,"52.358349,13.50873",0,14,78
1683117266,2023-05-03T12:34:26Z,ICE15M,"52.358402,13.508987",0,14,70
1683117269,2023-05-03T12:34:29Z,ICE15M,"52.358459,13.509254",0,14,70
1683117271,2023-05-03T12:34:31Z,ICE15M,"52.358513,13.509456",0,15,67
1683117273,2023-05-03T12:34:33Z,ICE15M,"52.358562,13.509693",0,15,67
1683117275,2023-05-03T12:34:35Z,ICE15M,"52.358616,13.509927",0,15,67
1683117279,2023-05-03T12:34:39Z,ICE15M,"52.358734,13.51038",0,15,67
1683117281,2023-05-03T12:34:41Z,ICE15M,"52.35878,13.510609",0,16,67
1683117284,2023-05-03T12:34:44Z,ICE15M,"52.358871,13.510966",0,16,67
1683117288,2023-05-03T12:34:48Z,ICE15M,"52.358952,13.511333",0,16,67
1683117293,2023-05-03T12:34:53Z,ICE15M,"52.359112,13.512001",0,17,67
1683117299,2023-05-03T12:34:59Z,ICE15M,"52.359291,13.512772",0,18,67
1683117305,2023-05-03T12:35:05Z,ICE15M,"52.359478,13.513565",0,19,67
1683117312,2023-05-03T12:35:12Z,ICE15M,"52.359707,13.5145",0,19,67
1683117319,2023-05-03T12:35:19Z,ICE15M,"52.359943,13.515518",0,20,67
1683117326,2023-05-03T12:35:26Z,ICE15M,"52.360199,13.516579",0,21,67
1683117331,2023-05-03T12:35:31Z,ICE15M,"52.360382,13.517342",0,22,67
1683117337,2023-05-03T12:35:37Z,ICE15M,"52.360619,13.518382",0,22,67
1683117343,2023-05-03T12:35:43Z,ICE15M,"52.360806,13.519135",0,17,67
1683117350,2023-05-03T12:35:50Z,ICE15M,"52.36097,13.519814",0,11,67
1683117357,2023-05-03T12:35:57Z,ICE15M,"52.361069,13.520241",0,9,67
1683117361,2023-05-03T12:36:01Z,ICE15M,"52.361118,13.520501",0,8,73
1683117365,2023-05-03T12:36:05Z,ICE15M,"52.361115,13.520737",0,7,87
1683117370,2023-05-03T12:36:10Z,ICE15M,"52.361073,13.520952",0,6,104
1683117377,2023-05-03T12:36:17Z,ICE15M,"52.360958,13.521169",0,5,129
1683117391,2023-05-03T12:36:31Z,ICE15M,"52.360737,13.521347",0,4,151
1683117401,2023-05-03T12:36:41Z,ICE15M,"52.360527,13.521502",0,5,157
1683117410,2023-05-03T12:36:50Z,ICE15M,"52.360317,13.521639",0,5,157
1683117420,2023-05-03T12:37:00Z,ICE15M,"52.360096,13.521776",0,5,157
1683117433,2023-05-03T12:37:13Z,ICE15M,"52.359802,13.521953",0,5,157
1683117441,2023-05-03T12:37:21Z,ICE15M,"52.359592,13.522091",0,6,157
1683117450,2023-05-03T12:37:30Z,ICE15M,"52.359337,13.522247",0,7,157
1683117457,2023-05-03T12:37:37Z,ICE15M,"52.359135,13.522377",0,7,157
1683117463,2023-05-03T12:37:43Z,ICE15M,"52.358932,13.522483",0,7,163
1683117472,2023-05-03T12:37:52Z,ICE15M,"52.358677,13.522568",0,6,168
1683117480,2023-05-03T12:38:00Z,ICE15M,"52.358467,13.5226",0,5,171
1683117492,2023-05-03T12:38:12Z,ICE15M,"52.358253,13.522453",0,4,213
1683117500,2023-05-03T12:38:20Z,ICE15M,"52.358212,13.522227",0,3,241
1683117542,2023-05-03T12:39:02Z,ICE15M,"52.35815,13.521976",0,7,247
1683117548,2023-05-03T12:39:08Z,ICE15M,"52.357918,13.521031",0,33,247
1683117554,2023-05-03T12:39:14Z,ICE15M,"52.35743,13.518971",0,59,247
1683117560,2023-05-03T12:39:20Z,ICE15M,"52.356674,13.515797",0,84,247
1683117570,2023-05-03T12:39:30Z,ICE15M,"52.355068,13.509025",0,118,248
1683117579,2023-05-03T12:39:39Z,ICE15M,"52.352879,13.499922",0,128,249
1683117588,2023-05-03T12:39:48Z,ICE15M,"52.350739,13.490897",0,164,248
1683117596,2023-05-03T12:39:56Z,ICE15M,"52.348083,13.480067",0,174,247
