Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1683202940,2023-05-04T12:22:20Z,ICE15M,"52.364704,13.505473",0,0,70
1683202992,2023-05-04T12:23:12Z,ICE15M,"52.364651,13.505249",0,2,67
1683203003,2023-05-04T12:23:23Z,ICE15M,"52.364597,13.505042",0,2,70
1683203016,2023-05-04T12:23:36Z,ICE15M,"52.364552,13.504827",0,3,70
1683203030,2023-05-04T12:23:50Z,ICE15M,"52.364494,13.504591",0,2,87
1683203043,2023-05-04T12:24:03Z,ICE15M,"52.364479,13.504353",0,3,106
1683203056,2023-05-04T12:24:16Z,ICE15M,"52.364513,13.504124",0,2,137
1683203075,2023-05-04T12:24:35Z,ICE15M,"52.364662,13.503914",0,2,157
1683203355,2023-05-04T12:29:15Z,ICE15M,"52.364449,13.504042",0,4,160
1683203367,2023-05-04T12:29:27Z,ICE15M,"52.36417,13.504219",0,6,160
1683203376,2023-05-04T12:29:36Z,ICE15M,"52.36385,13.50441",0,8,157
1683203383,2023-05-04T12:29:43Z,ICE15M,"52.363586,13.504581",0,10,160
1683203391,2023-05-04T12:29:51Z,ICE15M,"52.36322,13.50481",0,11,160
1683203397,2023-05-04T12:29:57Z,ICE15M,"52.362923,13.505001",0,11,160
1683203403,2023-05-04T12:30:03Z,ICE15M,"52.362621,13.505198",0,11,160
1683203409,2023-05-04T12:30:09Z,ICE15M,"52.362316,13.505383",0,11,160
1683203415,2023-05-04T12:30:15Z,ICE15M,"52.362026,13.505571",0,12,157
1683203422,2023-05-04T12:30:22Z,ICE15M,"52.361713,13.505768",0,10,157
1683203429,2023-05-04T12:30:29Z,ICE15M,"52.361446,13.505944",0,9,160
1683203434,2023-05-04T12:30:34Z,ICE15M,"52.361229,13.506088",0,9,160
1683203443,2023-05-04T12:30:43Z,ICE15M,"52.360863,13.506317",0,10,160
1683203449,2023-05-04T12:30:49Z,ICE15M,"52.360611,13.50647",0,9,160
1683203456,2023-05-04T12:30:56Z,ICE15M,"52.360363,13.506631",0,9,157
1683203462,2023-05-04T12:31:02Z,ICE15M,"52.36013,13.506768",0,9,160
1683203467,2023-05-04T12:31:07Z,ICE15M,"52.359921,13.506906",0,9,160
1683203473,2023-05-04T12:31:13Z,ICE15M,"52.359665,13.507063",0,10,160
1683203479,2023-05-04T12:31:19Z,ICE15M,"52.359432,13.507219",0,8,157
1683203486,2023-05-04T12:31:26Z,ICE15M,"52.3592,13.507357",0,8,160
1683203493,2023-05-04T12:31:33Z,ICE15M,"52.358929,13.507538",0,9,160
1683203499,2023-05-04T12:31:39Z,ICE15M,"52.3587,13.50767",0,9,160
1683203505,2023-05-04T12:31:45Z,ICE15M,"52.358456,13.507828",0,9,160
1683203511,2023-05-04T12:31:51Z,ICE15M,"52.358208,13.507996",0,10,157
1683203519,2023-05-04T12:31:59Z,ICE15M,"52.357864,13.508205",0,12,157
1683203524,2023-05-04T12:32:04Z,ICE15M,"52.357658,13.508339",0,9,160
1683203532,2023-05-04T12:32:12Z,ICE15M,"52.357338,13.508263",0,8,202
1683203537,2023-05-04T12:32:17Z,ICE15M,"52.357197,13.507985",0,9,236
1683203540,2023-05-04T12:32:20Z,ICE15M,"52.357151,13.507769",0,10,247
1683203543,2023-05-04T12:32:23Z,ICE15M,"52.357094,13.507533",0,11,250
1683203546,2023-05-04T12:32:26Z,ICE15M,"52.357029,13.50729",0,11,250
1683203550,2023-05-04T12:32:30Z,ICE15M,"52.356953,13.506945",0,12,247
1683203553,2023-05-04T12:32:33Z,ICE15M,"52.356892,13.506699",0,12,250
1683203559,2023-05-04T12:32:39Z,ICE15M,"52.356777,13.506222",0,12,250
1683203565,2023-05-04T12:32:45Z,ICE15M,"52.356651,13.505707",0,12,247
1683203571,2023-05-04T12:32:51Z,ICE15M,"52.35651,13.505101",0,13,250
1683203576,2023-05-04T12:32:56Z,ICE15M,"52.3564,13.504639",0,13,247
1683203583,2023-05-04T12:33:03Z,ICE15M,"52.356255,13.504022",0,13,247
1683203590,2023-05-04T12:33:10Z,ICE15M,"52.356102,13.503394",0,14,247
1683203595,2023-05-04T12:33:15Z,ICE15M,"52.355988,13.502884",0,14,247
1683203601,2023-05-04T12:33:21Z,ICE15M,"52.355839,13.502254",0,14,247
1683203608,2023-05-04T12:33:28Z,ICE15M,"52.355667,13.501587",0,14,247
1683203612,2023-05-04T12:33:32Z,ICE15M,"52.355556,13.501099",0,15,247
1683203619,2023-05-04T12:33:39Z,ICE15M,"52.355404,13.500471",0,15,247
1683203626,2023-05-04T12:33:46Z,ICE15M,"52.355209,13.499603",0,15,247
1683203633,2023-05-04T12:33:53Z,ICE15M,"52.355038,13.498898",0,15,247
1683203639,2023-05-04T12:33:59Z,ICE15M,"52.354866,13.498173",0,15,247
1683203646,2023-05-04T12:34:06Z,ICE15M,"52.354694,13.497448",0,16,247
