Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1683346779,2023-05-06T04:19:39Z,KLM28Q,"47.434101,19.261356",0,0,132
1683346815,2023-05-06T04:20:15Z,KLM28Q,"47.434216,19.261145",0,1,137
1683346842,2023-05-06T04:20:42Z,KLM28Q,"47.434376,19.260939",0,1,137
1683346868,2023-05-06T04:21:08Z,KLM28Q,"47.434536,19.260733",0,2,132
1683346894,2023-05-06T04:21:34Z,KLM28Q,"47.434692,19.26053",0,1,70
1683346919,2023-05-06T04:21:59Z,KLM28Q,"47.434402,19.260918",0,1,42
1683347038,2023-05-06T04:23:58Z,KLM28Q,"47.434647,19.260336",0,0,45
1683347056,2023-05-06T04:24:16Z,KLM28Q,"47.434799,19.260561",0,5,42
1683347062,2023-05-06T04:24:22Z,KLM28Q,"47.434948,19.260767",0,8,45
1683347069,2023-05-06T04:24:29Z,KLM28Q,"47.435123,19.261023",0,9,45
1683347075,2023-05-06T04:24:35Z,KLM28Q,"47.435322,19.261269",0,8,42
1683347085,2023-05-06T04:24:45Z,KLM28Q,"47.435612,19.261656",0,9,42
1683347093,2023-05-06T04:24:53Z,KLM28Q,"47.435883,19.262026",0,11,42
1683347099,2023-05-06T04:24:59Z,KLM28Q,"47.436138,19.262362",0,12,42
1683347105,2023-05-06T04:25:05Z,KLM28Q,"47.436367,19.262672",0,13,45
1683347111,2023-05-06T04:25:11Z,KLM28Q,"47.436687,19.263119",0,14,42
1683347117,2023-05-06T04:25:17Z,KLM28Q,"47.436974,19.263506",0,14,42
1683347123,2023-05-06T04:25:23Z,KLM28Q,"47.437241,19.263874",0,13,42
1683347128,2023-05-06T04:25:28Z,KLM28Q,"47.437489,19.264086",0,12,28
1683347132,2023-05-06T04:25:32Z,KLM28Q,"47.437695,19.264132",0,12,8
1683347137,2023-05-06T04:25:37Z,KLM28Q,"47.437923,19.264046",0,12,343
1683347141,2023-05-06T04:25:41Z,KLM28Q,"47.438126,19.263805",0,12,317
1683347145,2023-05-06T04:25:45Z,KLM28Q,"47.438267,19.263557",0,12,309
1683347150,2023-05-06T04:25:50Z,KLM28Q,"47.438393,19.263342",0,0,309
1683347154,2023-05-06T04:25:54Z,KLM28Q,"47.438587,19.263016",0,11,312
1683347160,2023-05-06T04:26:00Z,KLM28Q,"47.438759,19.262741",0,10,312
1683347165,2023-05-06T04:26:05Z,KLM28Q,"47.438942,19.262449",0,10,315
1683347171,2023-05-06T04:26:11Z,KLM28Q,"47.439117,19.26222",0,9,320
1683347176,2023-05-06T04:26:16Z,KLM28Q,"47.439339,19.262079",0,9,340
1683347182,2023-05-06T04:26:22Z,KLM28Q,"47.439548,19.262114",0,9,8
1683347188,2023-05-06T04:26:28Z,KLM28Q,"47.439732,19.262325",0,9,36
1683347194,2023-05-06T04:26:34Z,KLM28Q,"47.439903,19.262569",0,9,45
1683347201,2023-05-06T04:26:41Z,KLM28Q,"47.440098,19.262844",0,0,45
1683347205,2023-05-06T04:26:45Z,KLM28Q,"47.440235,19.26305",0,9,45
1683347212,2023-05-06T04:26:52Z,KLM28Q,"47.440418,19.263382",0,9,53
1683347219,2023-05-06T04:26:59Z,KLM28Q,"47.440559,19.263769",0,10,64
1683347223,2023-05-06T04:27:03Z,KLM28Q,"47.440617,19.264015",0,10,70
1683347227,2023-05-06T04:27:07Z,KLM28Q,"47.440659,19.264286",0,9,78
1683347230,2023-05-06T04:27:10Z,KLM28Q,"47.440681,19.264492",0,9,81
1683347235,2023-05-06T04:27:15Z,KLM28Q,"47.440701,19.264772",0,9,84
1683347239,2023-05-06T04:27:19Z,KLM28Q,"47.440704,19.265007",0,7,87
1683347247,2023-05-06T04:27:27Z,KLM28Q,"47.44067,19.265282",0,5,106
