Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1683355771,2023-05-06T06:49:31Z,KLM21E,"52.305756,4.764888",0,0,56
1683356035,2023-05-06T06:53:55Z,KLM21E,"52.304382,4.765084",0,0,146
1683356049,2023-05-06T06:54:09Z,KLM21E,"52.303654,4.765911",0,13,135
1683356059,2023-05-06T06:54:19Z,KLM21E,"52.30344,4.766811",0,12,106
1683356067,2023-05-06T06:54:27Z,KLM21E,"52.303219,4.767418",0,0,120
1683356070,2023-05-06T06:54:30Z,KLM21E,"52.303162,4.767635",0,13,112
1683356080,2023-05-06T06:54:40Z,KLM21E,"52.303299,4.7686",0,12,61
1683356096,2023-05-06T06:54:56Z,KLM21E,"52.30378,4.76984",0,0,59
1683356099,2023-05-06T06:54:59Z,KLM21E,"52.303871,4.770088",0,12,56
1683356102,2023-05-06T06:55:02Z,KLM21E,"52.303963,4.770317",0,12,56
1683356106,2023-05-06T06:55:06Z,KLM21E,"52.304066,4.770584",0,12,56
1683356108,2023-05-06T06:55:08Z,KLM21E,"52.304138,4.770793",0,12,56
1683356114,2023-05-06T06:55:14Z,KLM21E,"52.304306,4.771233",0,12,56
1683356122,2023-05-06T06:55:22Z,KLM21E,"52.304569,4.7719",0,12,59
1683356141,2023-05-06T06:55:41Z,KLM21E,"52.305153,4.773426",0,0,56
1683356147,2023-05-06T06:55:47Z,KLM21E,"52.305351,4.773932",0,12,56
1683356154,2023-05-06T06:55:54Z,KLM21E,"52.305546,4.774442",0,13,56
1683356161,2023-05-06T06:56:01Z,KLM21E,"52.30571,4.774894",0,7,59
1683356166,2023-05-06T06:56:06Z,KLM21E,"52.305744,4.775129",0,6,78
1683356172,2023-05-06T06:56:12Z,KLM21E,"52.305702,4.775352",0,6,104
1683356179,2023-05-06T06:56:19Z,KLM21E,"52.305557,4.775561",0,6,137
1683356202,2023-05-06T06:56:42Z,KLM21E,"52.305233,4.775836",0,0,151
1683356286,2023-05-06T06:58:06Z,KLM21E,"52.304871,4.776149",0,6,151
1683356294,2023-05-06T06:58:14Z,KLM21E,"52.304649,4.776325",0,8,154
1683356301,2023-05-06T06:58:21Z,KLM21E,"52.304405,4.776463",0,8,165
1683356307,2023-05-06T06:58:27Z,KLM21E,"52.304184,4.776385",0,7,199
1683356315,2023-05-06T06:58:35Z,KLM21E,"52.304066,4.776096",0,5,236
1683356344,2023-05-06T06:59:04Z,KLM21E,"52.304592,4.776363",0,0,239
1683356377,2023-05-06T06:59:37Z,KLM21E,"52.304031,4.776001",0,0,239
1683356402,2023-05-06T07:00:02Z,KLM21E,"52.30394,4.775772",0,0,239
1683356413,2023-05-06T07:00:13Z,KLM21E,"52.302811,4.772834",0,0,239
1683356444,2023-05-06T07:00:44Z,KLM21E,"52.293274,4.747925",100,161,238
1683356450,2023-05-06T07:00:50Z,KLM21E,"52.290779,4.741307",325,162,238
1683356456,2023-05-06T07:00:56Z,KLM21E,"52.288467,4.73526",600,162,238
1683356462,2023-05-06T07:01:02Z,KLM21E,"52.28595,4.728546",800,166,238
1683356468,2023-05-06T07:01:08Z,KLM21E,"52.283524,4.722061",1025,168,239
1683356475,2023-05-06T07:01:15Z,KLM21E,"52.281372,4.716187",1175,176,238
1683356483,2023-05-06T07:01:23Z,KLM21E,"52.277206,4.705505",1350,191,237
1683356491,2023-05-06T07:01:31Z,KLM21E,"52.272766,4.696884",1550,204,221
1683356494,2023-05-06T07:01:34Z,KLM21E,"52.270157,4.693595",1625,207,216
1683356495,2023-05-06T07:01:35Z,KLM21E,"52.268875,4.692307",1675,208,214
1683356497,2023-05-06T07:01:37Z,KLM21E,"52.267776,4.691238",1725,213,208
1683356499,2023-05-06T07:01:39Z,KLM21E,"52.266899,4.690534",1800,213,208
1683356503,2023-05-06T07:01:43Z,KLM21E,"52.262512,4.687881",1950,218,196
1683356504,2023-05-06T07:01:44Z,KLM21E,"52.260544,4.687195",2025,217,194
1683356506,2023-05-06T07:01:46Z,KLM21E,"52.258984,4.686768",2125,217,187
1683356507,2023-05-06T07:01:47Z,KLM21E,"52.258472,4.686689",2125,218,187
1683356509,2023-05-06T07:01:49Z,KLM21E,"52.257019,4.686508",2275,219,181
1683356510,2023-05-06T07:01:50Z,KLM21E,"52.256561,4.686432",2325,219,180
1683356512,2023-05-06T07:01:52Z,KLM21E,"52.252792,4.686532",2425,219,176
1683356515,2023-05-06T07:01:55Z,KLM21E,"52.249969,4.687042",2575,221,171
1683356518,2023-05-06T07:01:58Z,KLM21E,"52.246582,4.688263",2750,221,165
1683356521,2023-05-06T07:02:01Z,KLM21E,"52.243992,4.689593",2925,222,160
1683356524,2023-05-06T07:02:04Z,KLM21E,"52.240688,4.691947",3100,222,155
1683356527,2023-05-06T07:02:07Z,KLM21E,"52.237885,4.694443",3250,224,150
1683356530,2023-05-06T07:02:10Z,KLM21E,"52.236008,4.696503",3400,227,144
1683356533,2023-05-06T07:02:13Z,KLM21E,"52.23296,4.700657",3525,230,137
1683356536,2023-05-06T07:02:16Z,KLM21E,"52.230698,4.704666",3675,232,130
1683356539,2023-05-06T07:02:19Z,KLM21E,"52.229324,4.707642",3800,233,125
1683356542,2023-05-06T07:02:22Z,KLM21E,"52.227173,4.713516",3975,234,121
1683356545,2023-05-06T07:02:25Z,KLM21E,"52.225746,4.718314",4125,239,114
1683356548,2023-05-06T07:02:28Z,KLM21E,"52.224533,4.723493",4200,244,110
1683356551,2023-05-06T07:02:31Z,KLM21E,"52.223602,4.728775",4275,250,105
1683356554,2023-05-06T07:02:34Z,KLM21E,"52.223137,4.732596",4350,258,99
1683356557,2023-05-06T07:02:37Z,KLM21E,"52.222626,4.739502",4425,263,94
1683356560,2023-05-06T07:02:40Z,KLM21E,"52.222488,4.745388",4525,268,91
1683356563,2023-05-06T07:02:43Z,KLM21E,"52.222458,4.752502",4650,271,89
1683356566,2023-05-06T07:02:46Z,KLM21E,"52.222488,4.758649",4825,272,89
1683356569,2023-05-06T07:02:49Z,KLM21E,"52.222504,4.764862",5000,273,89
1683356572,2023-05-06T07:02:52Z,KLM21E,"52.222488,4.770734",5125,276,89
1683356575,2023-05-06T07:02:55Z,KLM21E,"52.222504,4.775543",5250,279,89
