Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1683481523,2023-05-07T17:45:23Z,KLM58G,"47.434509,19.262484",0,0,222
1683481565,2023-05-07T17:46:05Z,KLM58G,"47.43465,19.26269",0,1,222
1683481587,2023-05-07T17:46:27Z,KLM58G,"47.434799,19.26289",0,2,225
1683481610,2023-05-07T17:46:50Z,KLM58G,"47.434891,19.2631",0,1,267
1683481634,2023-05-07T17:47:14Z,KLM58G,"47.434856,19.263308",0,1,315
1683481694,2023-05-07T17:48:14Z,KLM58G,"47.434982,19.263102",0,1,312
1683481721,2023-05-07T17:48:41Z,KLM58G,"47.435112,19.26289",0,1,312
1683481887,2023-05-07T17:51:27Z,KLM58G,"47.435291,19.262604",0,4,312
1683481895,2023-05-07T17:51:35Z,KLM58G,"47.43544,19.262362",0,7,312
1683481901,2023-05-07T17:51:41Z,KLM58G,"47.435589,19.262133",0,9,315
1683481906,2023-05-07T17:51:46Z,KLM58G,"47.435806,19.2619",0,11,331
1683481911,2023-05-07T17:51:51Z,KLM58G,"47.436069,19.261677",0,13,329
1683481915,2023-05-07T17:51:55Z,KLM58G,"47.436275,19.261419",0,15,317
1683481921,2023-05-07T17:52:01Z,KLM58G,"47.436596,19.260939",0,17,312
1683481925,2023-05-07T17:52:05Z,KLM58G,"47.43679,19.260612",0,17,312
1683481933,2023-05-07T17:52:13Z,KLM58G,"47.437229,19.259895",0,16,309
1683481936,2023-05-07T17:52:16Z,KLM58G,"47.437317,19.259634",0,15,292
1683481938,2023-05-07T17:52:18Z,KLM58G,"47.437328,19.259394",0,15,272
1683481941,2023-05-07T17:52:21Z,KLM58G,"47.437267,19.259087",0,15,247
1683481944,2023-05-07T17:52:24Z,KLM58G,"47.437122,19.258827",0,17,225
1683481950,2023-05-07T17:52:30Z,KLM58G,"47.436707,19.258276",0,20,225
1683481954,2023-05-07T17:52:34Z,KLM58G,"47.436459,19.257952",0,22,222
1683481958,2023-05-07T17:52:38Z,KLM58G,"47.436104,19.257471",0,23,222
1683481961,2023-05-07T17:52:41Z,KLM58G,"47.435909,19.257214",0,24,222
1683481965,2023-05-07T17:52:45Z,KLM58G,"47.435566,19.256733",0,25,222
1683481968,2023-05-07T17:52:48Z,KLM58G,"47.435211,19.256269",0,25,222
1683481972,2023-05-07T17:52:52Z,KLM58G,"47.434963,19.255934",0,24,222
1683481979,2023-05-07T17:52:59Z,KLM58G,"47.434345,19.255125",0,25,222
1683481985,2023-05-07T17:53:05Z,KLM58G,"47.433861,19.254467",0,22,222
1683481990,2023-05-07T17:53:10Z,KLM58G,"47.433437,19.253893",0,20,222
1683481997,2023-05-07T17:53:17Z,KLM58G,"47.432983,19.253294",0,19,222
1683482003,2023-05-07T17:53:23Z,KLM58G,"47.432598,19.252766",0,19,222
1683482009,2023-05-07T17:53:29Z,KLM58G,"47.432201,19.252218",0,19,222
1683482015,2023-05-07T17:53:35Z,KLM58G,"47.43182,19.251709",0,15,222
1683482021,2023-05-07T17:53:41Z,KLM58G,"47.431553,19.251339",0,12,222
1683482028,2023-05-07T17:53:48Z,KLM58G,"47.431293,19.251005",0,11,222
1683482035,2023-05-07T17:53:55Z,KLM58G,"47.430992,19.250599",0,12,222
1683482043,2023-05-07T17:54:03Z,KLM58G,"47.430714,19.250231",0,7,222
1683482053,2023-05-07T17:54:13Z,KLM58G,"47.430634,19.250004",0,3,261
1683482086,2023-05-07T17:54:46Z,KLM58G,"47.430828,19.24966",0,13,312
1683482091,2023-05-07T17:54:51Z,KLM58G,"47.431377,19.248787",0,44,315
1683482104,2023-05-07T17:55:04Z,KLM58G,"47.433331,19.245653",325,90,312
1683482112,2023-05-07T17:55:12Z,KLM58G,"47.436996,19.23967",325,130,311
1683482118,2023-05-07T17:55:18Z,KLM58G,"47.439835,19.235069",325,147,312
1683482124,2023-05-07T17:55:24Z,KLM58G,"47.442673,19.230537",500,147,312
1683482131,2023-05-07T17:55:31Z,KLM58G,"47.445511,19.225937",850,141,311
1683482135,2023-05-07T17:55:35Z,KLM58G,"47.447624,19.222342",1075,141,310
1683482143,2023-05-07T17:55:43Z,KLM58G,"47.450912,19.216805",1300,146,311
1683482149,2023-05-07T17:55:49Z,KLM58G,"47.454002,19.211779",1475,153,312
