Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1683564708,2023-05-08T16:51:48Z,KLM58G,"47.434113,19.261339",0,0,132
1683564769,2023-05-08T16:52:49Z,KLM58G,"47.434238,19.261127",0,2,126
1683564784,2023-05-08T16:53:04Z,KLM58G,"47.434334,19.260918",0,2,118
1683564798,2023-05-08T16:53:18Z,KLM58G,"47.434402,19.260706",0,2,112
1683564813,2023-05-08T16:53:33Z,KLM58G,"47.434483,19.260494",0,2,140
1683564841,2023-05-08T16:54:01Z,KLM58G,"47.434696,19.260441",0,1,216
1683564897,2023-05-08T16:54:57Z,KLM58G,"47.434555,19.260231",0,1,222
1683565070,2023-05-08T16:57:50Z,KLM58G,"47.434299,19.259861",0,0,225
1683565076,2023-05-08T16:57:56Z,KLM58G,"47.434193,19.259634",0,7,244
1683565080,2023-05-08T16:58:00Z,KLM58G,"47.434181,19.259428",0,8,278
1683565087,2023-05-08T16:58:07Z,KLM58G,"47.434368,19.25905",0,11,315
1683565092,2023-05-08T16:58:12Z,KLM58G,"47.434566,19.25877",0,12,317
1683565096,2023-05-08T16:58:16Z,KLM58G,"47.434708,19.258535",0,13,309
1683565099,2023-05-08T16:58:19Z,KLM58G,"47.434822,19.258276",0,13,298
1683565102,2023-05-08T16:58:22Z,KLM58G,"47.434902,19.25802",0,14,295
1683565109,2023-05-08T16:58:29Z,KLM58G,"47.435169,19.257519",0,12,315
1683565112,2023-05-08T16:58:32Z,KLM58G,"47.435291,19.257317",0,11,315
1683565119,2023-05-08T16:58:39Z,KLM58G,"47.43544,19.256868",0,0,278
1683565123,2023-05-08T16:58:43Z,KLM58G,"47.435383,19.256561",0,12,244
1683565126,2023-05-08T16:58:46Z,KLM58G,"47.435276,19.256357",0,13,227
1683565130,2023-05-08T16:58:50Z,KLM58G,"47.435097,19.256115",0,14,222
1683565133,2023-05-08T16:58:53Z,KLM58G,"47.434948,19.255899",0,15,225
1683565137,2023-05-08T16:58:57Z,KLM58G,"47.434742,19.255617",0,16,222
1683565140,2023-05-08T16:59:00Z,KLM58G,"47.434544,19.255354",0,17,222
1683565146,2023-05-08T16:59:06Z,KLM58G,"47.434158,19.254826",0,19,222
