Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1683486689,2023-05-07T19:11:29Z,KLM1981,"52.310146,4.771813",0,0,182
1683486701,2023-05-07T19:11:41Z,KLM1981,"52.310379,4.771833",0,5,185
1683486714,2023-05-07T19:11:54Z,KLM1981,"52.310635,4.771873",0,4,219
1683486727,2023-05-07T19:12:07Z,KLM1981,"52.31076,4.772091",0,3,258
1683486774,2023-05-07T19:12:54Z,KLM1981,"52.310226,4.771813",0,0,261
1683486860,2023-05-07T19:14:20Z,KLM1981,"52.310772,4.772147",0,0,261
1683486899,2023-05-07T19:14:59Z,KLM1981,"52.310783,4.7719",0,5,272
1683486906,2023-05-07T19:15:06Z,KLM1981,"52.310795,4.771519",0,9,272
1683486914,2023-05-07T19:15:14Z,KLM1981,"52.310806,4.770931",0,11,272
1683486920,2023-05-07T19:15:20Z,KLM1981,"52.310818,4.770374",0,11,272
1683486925,2023-05-07T19:15:25Z,KLM1981,"52.310841,4.770031",0,11,278
1683486927,2023-05-07T19:15:27Z,KLM1981,"52.31089,4.769813",0,11,289
1683486932,2023-05-07T19:15:32Z,KLM1981,"52.311069,4.769497",0,12,317
1683486937,2023-05-07T19:15:37Z,KLM1981,"52.311283,4.769361",0,12,345
1683486940,2023-05-07T19:15:40Z,KLM1981,"52.311504,4.769401",0,12,11
1683486945,2023-05-07T19:15:45Z,KLM1981,"52.31171,4.769611",0,11,30
1683486956,2023-05-07T19:15:56Z,KLM1981,"52.31218,4.770126",0,11,33
1683486961,2023-05-07T19:16:01Z,KLM1981,"52.312408,4.770374",0,11,33
1683486966,2023-05-07T19:16:06Z,KLM1981,"52.312645,4.770617",0,11,33
1683486976,2023-05-07T19:16:16Z,KLM1981,"52.313049,4.771061",0,11,33
1683486982,2023-05-07T19:16:22Z,KLM1981,"52.313347,4.771385",0,11,33
1683486988,2023-05-07T19:16:28Z,KLM1981,"52.313587,4.771652",0,11,36
1683486994,2023-05-07T19:16:34Z,KLM1981,"52.313835,4.771951",0,11,39
1683486999,2023-05-07T19:16:39Z,KLM1981,"52.313999,4.772224",0,11,47
