Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1683573302,2023-05-08T19:15:02Z,KLM1981,"52.304291,4.770872",0,0,106
1683573305,2023-05-08T19:15:05Z,KLM1981,"52.304317,4.771118",0,12,84
1683573328,2023-05-08T19:15:28Z,KLM1981,"52.305073,4.773254",0,0,59
1683573331,2023-05-08T19:15:31Z,KLM1981,"52.305187,4.77354",0,16,59
1683573333,2023-05-08T19:15:33Z,KLM1981,"52.305267,4.773756",0,16,59
1683573335,2023-05-08T19:15:35Z,KLM1981,"52.305347,4.773979",0,16,59
1683573341,2023-05-08T19:15:41Z,KLM1981,"52.305573,4.77454",0,16,56
1683573346,2023-05-08T19:15:46Z,KLM1981,"52.305805,4.775105",0,16,53
1683573349,2023-05-08T19:15:49Z,KLM1981,"52.305977,4.775372",0,16,45
1683573352,2023-05-08T19:15:52Z,KLM1981,"52.306152,4.7756",0,16,33
1683573356,2023-05-08T19:15:56Z,KLM1981,"52.306431,4.775796",0,17,19
1683573359,2023-05-08T19:15:59Z,KLM1981,"52.306675,4.775867",0,17,8
1683573362,2023-05-08T19:16:02Z,KLM1981,"52.306896,4.775894",0,18,5
1683573364,2023-05-08T19:16:04Z,KLM1981,"52.307106,4.775914",0,19,2
1683573368,2023-05-08T19:16:08Z,KLM1981,"52.307476,4.775963",0,20,2
1683573370,2023-05-08T19:16:10Z,KLM1981,"52.30769,4.775973",0,21,2
1683573372,2023-05-08T19:16:12Z,KLM1981,"52.307899,4.776001",0,22,2
1683573375,2023-05-08T19:16:15Z,KLM1981,"52.308224,4.776031",0,22,2
1683573381,2023-05-08T19:16:21Z,KLM1981,"52.308838,4.776077",0,22,2
1683573388,2023-05-08T19:16:28Z,KLM1981,"52.30949,4.776154",0,22,2
1683573394,2023-05-08T19:16:34Z,KLM1981,"52.31012,4.776208",0,22,2
1683573399,2023-05-08T19:16:39Z,KLM1981,"52.310703,4.776267",0,22,2
1683573409,2023-05-08T19:16:49Z,KLM1981,"52.311699,4.776344",0,21,2
1683573415,2023-05-08T19:16:55Z,KLM1981,"52.312321,4.776404",0,21,2
1683573422,2023-05-08T19:17:02Z,KLM1981,"52.31295,4.776463",0,21,2
1683573427,2023-05-08T19:17:07Z,KLM1981,"52.31353,4.776522",0,21,2
1683573433,2023-05-08T19:17:13Z,KLM1981,"52.314125,4.776522",0,21,354
1683573437,2023-05-08T19:17:17Z,KLM1981,"52.314423,4.776382",0,21,343
1683573439,2023-05-08T19:17:19Z,KLM1981,"52.314671,4.776188",0,0,329
1683573443,2023-05-08T19:17:23Z,KLM1981,"52.314926,4.775875",0,21,320
1683573445,2023-05-08T19:17:25Z,KLM1981,"52.315079,4.775659",0,20,317
1683573447,2023-05-08T19:17:27Z,KLM1981,"52.315247,4.77541",0,18,317
1683573453,2023-05-08T19:17:33Z,KLM1981,"52.315613,4.77509",0,17,340
1683573456,2023-05-08T19:17:36Z,KLM1981,"52.315887,4.775028",0,17,354
1683573468,2023-05-08T19:17:48Z,KLM1981,"52.31673,4.775561",0,17,39
