Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1682140357,2023-04-22T05:12:37Z,DLH7N,"48.357662,11.794017",0,0,351
1682140363,2023-04-22T05:12:43Z,DLH7N,"48.358063,11.793946",0,15,354
1682140369,2023-04-22T05:12:49Z,DLH7N,"48.358486,11.793876",0,15,354
1682140375,2023-04-22T05:12:55Z,DLH7N,"48.35894,11.793787",0,16,351
1682140379,2023-04-22T05:12:59Z,DLH7N,"48.359173,11.793607",0,16,331
1682140392,2023-04-22T05:13:12Z,DLH7N,"48.36013,11.793317",0,15,354
1682140399,2023-04-22T05:13:19Z,DLH7N,"48.36058,11.793242",0,13,351
1682140406,2023-04-22T05:13:26Z,DLH7N,"48.360889,11.792837",0,14,303
1682140415,2023-04-22T05:13:35Z,DLH7N,"48.360851,11.791926",0,0,264
1682140417,2023-04-22T05:13:37Z,DLH7N,"48.360832,11.791657",0,16,264
1682140422,2023-04-22T05:13:42Z,DLH7N,"48.360775,11.791006",0,17,261
1682140424,2023-04-22T05:13:44Z,DLH7N,"48.360752,11.790725",0,18,261
1682140432,2023-04-22T05:13:52Z,DLH7N,"48.360676,11.789613",0,20,264
1682140440,2023-04-22T05:14:00Z,DLH7N,"48.36058,11.788453",0,21,264
1682140447,2023-04-22T05:14:07Z,DLH7N,"48.360512,11.787589",0,22,264
1682140453,2023-04-22T05:14:13Z,DLH7N,"48.360409,11.786288",0,24,264
1682140470,2023-04-22T05:14:30Z,DLH7N,"48.360168,11.783172",0,27,264
1682140482,2023-04-22T05:14:42Z,DLH7N,"48.360001,11.780922",0,29,264
1682140489,2023-04-22T05:14:49Z,DLH7N,"48.359875,11.779349",0,30,264
1682140496,2023-04-22T05:14:56Z,DLH7N,"48.359779,11.777994",0,29,264
1682140514,2023-04-22T05:15:14Z,DLH7N,"48.359489,11.774272",0,0,264
1682140524,2023-04-22T05:15:24Z,DLH7N,"48.35936,11.772573",0,22,264
1682140530,2023-04-22T05:15:30Z,DLH7N,"48.35928,11.771525",0,22,264
1682140533,2023-04-22T05:15:33Z,DLH7N,"48.359264,11.771181",0,21,270
1682140534,2023-04-22T05:15:34Z,DLH7N,"48.359287,11.770952",0,19,278
1682140537,2023-04-22T05:15:37Z,DLH7N,"48.35936,11.77073",0,17,292
1682140540,2023-04-22T05:15:40Z,DLH7N,"48.359524,11.770441",0,14,306
1682140544,2023-04-22T05:15:44Z,DLH7N,"48.359676,11.770152",0,14,309
1682140547,2023-04-22T05:15:47Z,DLH7N,"48.359814,11.769936",0,14,317
1682140552,2023-04-22T05:15:52Z,DLH7N,"48.360077,11.769773",0,14,343
1682140555,2023-04-22T05:15:55Z,DLH7N,"48.360291,11.769754",0,11,351
1682140562,2023-04-22T05:16:02Z,DLH7N,"48.360535,11.76972",0,8,354
1682140569,2023-04-22T05:16:09Z,DLH7N,"48.360809,11.769668",0,10,354
1682140573,2023-04-22T05:16:13Z,DLH7N,"48.361038,11.769632",0,11,354
1682140579,2023-04-22T05:16:19Z,DLH7N,"48.361374,11.769574",0,12,354
1682140584,2023-04-22T05:16:24Z,DLH7N,"48.361687,11.76952",0,12,354
1682140591,2023-04-22T05:16:31Z,DLH7N,"48.362061,11.769447",0,13,351
1682140596,2023-04-22T05:16:36Z,DLH7N,"48.362385,11.769393",0,13,354
1682140602,2023-04-22T05:16:42Z,DLH7N,"48.362713,11.769375",0,12,357
1682140608,2023-04-22T05:16:48Z,DLH7N,"48.362938,11.769545",0,8,30
1682140614,2023-04-22T05:16:54Z,DLH7N,"48.36298,11.769773",0,6,64
1682140628,2023-04-22T05:17:08Z,DLH7N,"48.362984,11.770002",0,1,84
1682140633,2023-04-22T05:17:13Z,DLH7N,"48.362991,11.770206",0,6,84
1682140637,2023-04-22T05:17:17Z,DLH7N,"48.363037,11.770929",0,26,84
1682140640,2023-04-22T05:17:20Z,DLH7N,"48.363132,11.772079",0,48,84
1682140643,2023-04-22T05:17:23Z,DLH7N,"48.363247,11.773629",0,64,84
1682140653,2023-04-22T05:17:33Z,DLH7N,"48.363586,11.778211",1525,64,84
1682140659,2023-04-22T05:17:39Z,DLH7N,"48.364098,11.785077",1500,165,83
1682140665,2023-04-22T05:17:45Z,DLH7N,"48.364609,11.791366",1525,135,83
1682140671,2023-04-22T05:17:51Z,DLH7N,"48.365067,11.79826",1775,156,83
1682140677,2023-04-22T05:17:57Z,DLH7N,"48.365524,11.804175",2100,150,83
1682140683,2023-04-22T05:18:03Z,DLH7N,"48.365959,11.810448",2400,148,83
1682140691,2023-04-22T05:18:11Z,DLH7N,"48.366394,11.8165",2750,148,83
1682140696,2023-04-22T05:18:16Z,DLH7N,"48.366943,11.824106",2925,153,83
1682140703,2023-04-22T05:18:23Z,DLH7N,"48.367401,11.830515",3100,163,83
1682140709,2023-04-22T05:18:29Z,DLH7N,"48.368042,11.838472",3275,172,83
1682140715,2023-04-22T05:18:35Z,DLH7N,"48.368614,11.846297",3425,181,83
1682140721,2023-04-22T05:18:41Z,DLH7N,"48.36969,11.854177",3625,189,76
1682140724,2023-04-22T05:18:44Z,DLH7N,"48.370522,11.858079",3700,193,71
1682140727,2023-04-22T05:18:47Z,DLH7N,"48.371338,11.861361",3775,196,69
1682140730,2023-04-22T05:18:50Z,DLH7N,"48.37257,11.865234",3850,202,65
1682140733,2023-04-22T05:18:53Z,DLH7N,"48.374012,11.869065",3900,209,61
1682140736,2023-04-22T05:18:56Z,DLH7N,"48.375782,11.872896",3975,216,55
1682140739,2023-04-22T05:18:59Z,DLH7N,"48.377739,11.876293",4050,220,52
1682140743,2023-04-22T05:19:03Z,DLH7N,"48.38118,11.880939",4275,227,40
1682140746,2023-04-22T05:19:06Z,DLH7N,"48.383469,11.883474",4450,228,35
1682140747,2023-04-22T05:19:07Z,DLH7N,"48.384338,11.884319",4500,228,35
1682140751,2023-04-22T05:19:11Z,DLH7N,"48.388119,11.887713",4775,227,31
