Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1682658283,2023-04-28T05:04:43Z,DLH7N,"48.3582,11.793929",0,0,354
1682658293,2023-04-28T05:04:53Z,DLH7N,"48.359013,11.793736",0,16,343
1682658298,2023-04-28T05:04:58Z,DLH7N,"48.359276,11.793524",0,15,334
1682658306,2023-04-28T05:05:06Z,DLH7N,"48.359909,11.793371",0,16,354
1682658311,2023-04-28T05:05:11Z,DLH7N,"48.360313,11.7933",0,17,354
1682658319,2023-04-28T05:05:19Z,DLH7N,"48.360806,11.793046",0,13,323
1682658326,2023-04-28T05:05:26Z,DLH7N,"48.360901,11.792467",0,15,275
1682658330,2023-04-28T05:05:30Z,DLH7N,"48.360855,11.79194",0,16,261
1682658332,2023-04-28T05:05:32Z,DLH7N,"48.360832,11.791657",0,17,261
1682658336,2023-04-28T05:05:36Z,DLH7N,"48.360798,11.791218",0,18,261
1682658338,2023-04-28T05:05:38Z,DLH7N,"48.360767,11.790896",0,19,264
1682658340,2023-04-28T05:05:40Z,DLH7N,"48.360744,11.790625",0,19,264
1682658343,2023-04-28T05:05:43Z,DLH7N,"48.360722,11.790174",0,20,261
1682658345,2023-04-28T05:05:45Z,DLH7N,"48.360695,11.789845",0,20,264
1682658347,2023-04-28T05:05:47Z,DLH7N,"48.360664,11.789558",0,20,264
1682658349,2023-04-28T05:05:49Z,DLH7N,"48.360641,11.789251",0,21,264
1682658356,2023-04-28T05:05:56Z,DLH7N,"48.36058,11.78833",0,22,264
1682658362,2023-04-28T05:06:02Z,DLH7N,"48.3605,11.787309",0,23,264
1682658367,2023-04-28T05:06:07Z,DLH7N,"48.360432,11.786397",0,24,264
1682658374,2023-04-28T05:06:14Z,DLH7N,"48.36034,11.785258",0,25,264
1682658380,2023-04-28T05:06:20Z,DLH7N,"48.36026,11.784193",0,25,264
1682658386,2023-04-28T05:06:26Z,DLH7N,"48.36018,11.783189",0,24,264
1682658392,2023-04-28T05:06:32Z,DLH7N,"48.360119,11.782259",0,25,264
1682658398,2023-04-28T05:06:38Z,DLH7N,"48.360012,11.78103",0,26,264
1682658404,2023-04-28T05:06:44Z,DLH7N,"48.35994,11.779967",0,25,264
1682658410,2023-04-28T05:06:50Z,DLH7N,"48.359875,11.779133",0,20,264
1682658417,2023-04-28T05:06:57Z,DLH7N,"48.359791,11.778121",0,19,261
1682658424,2023-04-28T05:07:04Z,DLH7N,"48.359734,11.777361",0,14,264
1682658427,2023-04-28T05:07:07Z,DLH7N,"48.359779,11.777027",0,14,284
1682658430,2023-04-28T05:07:10Z,DLH7N,"48.359909,11.776802",0,15,309
1682658441,2023-04-28T05:07:21Z,DLH7N,"48.360806,11.776621",0,18,2
1682658444,2023-04-28T05:07:24Z,DLH7N,"48.361038,11.776693",0,19,14
1682658447,2023-04-28T05:07:27Z,DLH7N,"48.361313,11.776886",0,20,28
1682658450,2023-04-28T05:07:30Z,DLH7N,"48.361507,11.777115",0,21,42
1682658453,2023-04-28T05:07:33Z,DLH7N,"48.361713,11.777537",0,22,53
1682658455,2023-04-28T05:07:35Z,DLH7N,"48.361851,11.777802",0,22,53
1682658457,2023-04-28T05:07:37Z,DLH7N,"48.362003,11.778121",0,23,53
1682658470,2023-04-28T05:07:50Z,DLH7N,"48.362839,11.779801",0,25,53
1682658471,2023-04-28T05:07:51Z,DLH7N,"48.362984,11.780107",0,26,53
1682658477,2023-04-28T05:07:57Z,DLH7N,"48.363388,11.780922",0,24,50
1682658484,2023-04-28T05:08:04Z,DLH7N,"48.363819,11.781869",0,24,64
1682658486,2023-04-28T05:08:06Z,DLH7N,"48.363888,11.782187",0,24,73
1682658488,2023-04-28T05:08:08Z,DLH7N,"48.363922,11.782537",0,25,81
1682658490,2023-04-28T05:08:10Z,DLH7N,"48.363956,11.782891",0,25,84
1682658521,2023-04-28T05:08:41Z,DLH7N,"48.365341,11.800866",1375,81,83
1682658527,2023-04-28T05:08:47Z,DLH7N,"48.365936,11.808965",1525,161,83
1682658534,2023-04-28T05:08:54Z,DLH7N,"48.36652,11.815868",1825,157,82
1682658539,2023-04-28T05:08:59Z,DLH7N,"48.367081,11.822205",2100,157,82
1682658546,2023-04-28T05:09:06Z,DLH7N,"48.367722,11.829106",2400,156,82
1682658554,2023-04-28T05:09:14Z,DLH7N,"48.368591,11.838614",2725,159,82
1682658563,2023-04-28T05:09:23Z,DLH7N,"48.369415,11.84798",2975,168,82
1682658571,2023-04-28T05:09:31Z,DLH7N,"48.370663,11.858079",3200,178,77
1682658574,2023-04-28T05:09:34Z,DLH7N,"48.371017,11.859882",3275,181,73
1682658577,2023-04-28T05:09:37Z,DLH7N,"48.372429,11.865812",3350,185,69
1682658580,2023-04-28T05:09:40Z,DLH7N,"48.373535,11.86939",3400,189,66
1682658583,2023-04-28T05:09:43Z,DLH7N,"48.374805,11.872896",3475,192,61
1682658586,2023-04-28T05:09:46Z,DLH7N,"48.376389,11.876437",3550,196,57
1682658589,2023-04-28T05:09:49Z,DLH7N,"48.378067,11.879601",3600,200,52
1682658592,2023-04-28T05:09:52Z,DLH7N,"48.379807,11.882488",3675,204,48
1682658595,2023-04-28T05:09:55Z,DLH7N,"48.38216,11.885906",3725,209,44
1682658598,2023-04-28T05:09:58Z,DLH7N,"48.384201,11.888334",3750,214,41
1682658601,2023-04-28T05:10:01Z,DLH7N,"48.386581,11.890749",3800,220,34
1682658604,2023-04-28T05:10:04Z,DLH7N,"48.38942,11.893334",3900,225,31
1682658607,2023-04-28T05:10:07Z,DLH7N,"48.392303,11.895799",3975,230,29
1682658610,2023-04-28T05:10:10Z,DLH7N,"48.394867,11.897841",4050,228,29
1682658614,2023-04-28T05:10:14Z,DLH7N,"48.399384,11.901446",4200,239,27
1682658616,2023-04-28T05:10:16Z,DLH7N,"48.40078,11.90253",4250,239,27
1682658619,2023-04-28T05:10:19Z,DLH7N,"48.402786,11.904109",4325,247,27
1682658623,2023-04-28T05:10:23Z,DLH7N,"48.408134,11.908384",4475,250,27
1682658627,2023-04-28T05:10:27Z,DLH7N,"48.411942,11.911433",4575,258,27
1682658630,2023-04-28T05:10:30Z,DLH7N,"48.415192,11.91418",4675,260,29
1682658637,2023-04-28T05:10:37Z,DLH7N,"48.421783,11.921645",4975,268,38
1682658640,2023-04-28T05:10:40Z,DLH7N,"48.424847,11.925659",5050,272,40
1682658643,2023-04-28T05:10:43Z,DLH7N,"48.427643,11.929533",5125,274,42
1682658646,2023-04-28T05:10:46Z,DLH7N,"48.430389,11.933537",5200,275,43
1682658649,2023-04-28T05:10:49Z,DLH7N,"48.432999,11.937773",5275,275,44
1682658652,2023-04-28T05:10:52Z,DLH7N,"48.435276,11.94185",5325,275,49
1682658655,2023-04-28T05:10:55Z,DLH7N,"48.435974,11.943266",5400,274,52
1682658658,2023-04-28T05:10:58Z,DLH7N,"48.438908,11.949439",5500,274,55
1682658661,2023-04-28T05:11:01Z,DLH7N,"48.44165,11.955872",5625,274,57
1682658664,2023-04-28T05:11:04Z,DLH7N,"48.443848,11.961224",5750,274,58
1682658666,2023-04-28T05:11:06Z,DLH7N,"48.445564,11.965485",5850,274,58
1682658670,2023-04-28T05:11:10Z,DLH7N,"48.447968,11.970942",6000,276,56
1682658673,2023-04-28T05:11:13Z,DLH7N,"48.450211,11.975168",6150,277,53
1682658682,2023-04-28T05:11:22Z,DLH7N,"48.458691,11.987023",6600,280,38
1682658685,2023-04-28T05:11:25Z,DLH7N,"48.461857,11.990059",6750,279,33
1682658687,2023-04-28T05:11:27Z,DLH7N,"48.465317,11.992704",6900,278,28
1682658690,2023-04-28T05:11:30Z,DLH7N,"48.468422,11.99454",7050,278,22
1682658694,2023-04-28T05:11:34Z,DLH7N,"48.473217,11.996636",7225,276,16
1682658697,2023-04-28T05:11:37Z,DLH7N,"48.476486,11.997563",7400,275,11
1682658700,2023-04-28T05:11:40Z,DLH7N,"48.480286,11.998127",7575,273,6
1682658703,2023-04-28T05:11:43Z,DLH7N,"48.483902,11.998408",7750,274,3
1682658706,2023-04-28T05:11:46Z,DLH7N,"48.488205,11.99866",7975,272,2
1682658709,2023-04-28T05:11:49Z,DLH7N,"48.491837,11.998805",8150,271,1
1682658712,2023-04-28T05:11:52Z,DLH7N,"48.495235,11.998878",8350,271,1
1682658715,2023-04-28T05:11:55Z,DLH7N,"48.499237,11.999043",8500,272,1
1682658718,2023-04-28T05:11:58Z,DLH7N,"48.50301,11.999166",8675,272,1
1682658721,2023-04-28T05:12:01Z,DLH7N,"48.506828,11.99931",8825,274,1
