Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1683001087,2023-05-02T04:18:07Z,DLH9WY,"52.361813,13.507481",0,0,67
1683001110,2023-05-02T04:18:30Z,DLH9WY,"52.361759,13.507278",0,3,67
1683001123,2023-05-02T04:18:43Z,DLH9WY,"52.361698,13.507061",0,2,70
1683001134,2023-05-02T04:18:54Z,DLH9WY,"52.361656,13.506846",0,2,70
1683001146,2023-05-02T04:19:06Z,DLH9WY,"52.361584,13.506641",0,3,75
1683001157,2023-05-02T04:19:17Z,DLH9WY,"52.361538,13.506413",0,3,90
1683001168,2023-05-02T04:19:28Z,DLH9WY,"52.361504,13.5062",0,2,106
1683001180,2023-05-02T04:19:40Z,DLH9WY,"52.361481,13.505993",0,2,135
1683001194,2023-05-02T04:19:54Z,DLH9WY,"52.361561,13.505783",0,2,160
1683001217,2023-05-02T04:20:17Z,DLH9WY,"52.361767,13.505669",0,1,163
1683001401,2023-05-02T04:23:21Z,DLH9WY,"52.361538,13.50584",0,4,157
1683001410,2023-05-02T04:23:30Z,DLH9WY,"52.36132,13.505993",0,6,157
1683001417,2023-05-02T04:23:37Z,DLH9WY,"52.361107,13.506121",0,7,157
1683001424,2023-05-02T04:23:44Z,DLH9WY,"52.360874,13.506279",0,8,157
1683001430,2023-05-02T04:23:50Z,DLH9WY,"52.360634,13.506432",0,9,157
1683001436,2023-05-02T04:23:56Z,DLH9WY,"52.360359,13.506603",0,10,160
1683001442,2023-05-02T04:24:02Z,DLH9WY,"52.360142,13.506737",0,8,157
1683001448,2023-05-02T04:24:08Z,DLH9WY,"52.359921,13.506886",0,9,157
1683001455,2023-05-02T04:24:15Z,DLH9WY,"52.359642,13.507063",0,10,157
1683001461,2023-05-02T04:24:21Z,DLH9WY,"52.359386,13.507219",0,10,157
1683001466,2023-05-02T04:24:26Z,DLH9WY,"52.359165,13.507357",0,10,157
1683001472,2023-05-02T04:24:32Z,DLH9WY,"52.358906,13.507519",0,10,157
1683001478,2023-05-02T04:24:38Z,DLH9WY,"52.358593,13.50771",0,11,160
1683001485,2023-05-02T04:24:45Z,DLH9WY,"52.358368,13.507862",0,8,157
1683001491,2023-05-02T04:24:51Z,DLH9WY,"52.358139,13.508004",0,9,157
1683001497,2023-05-02T04:24:57Z,DLH9WY,"52.357803,13.50822",0,12,157
1683001503,2023-05-02T04:25:03Z,DLH9WY,"52.357487,13.508396",0,11,163
1683001509,2023-05-02T04:25:09Z,DLH9WY,"52.357246,13.508415",0,10,177
1683001513,2023-05-02T04:25:13Z,DLH9WY,"52.35704,13.508339",0,10,188
1683001518,2023-05-02T04:25:18Z,DLH9WY,"52.356812,13.508142",0,10,205
1683001523,2023-05-02T04:25:23Z,DLH9WY,"52.356617,13.507919",0,10,213
1683001532,2023-05-02T04:25:32Z,DLH9WY,"52.356441,13.50769",0,5,216
1683001548,2023-05-02T04:25:48Z,DLH9WY,"52.356277,13.507475",0,3,216
1683001565,2023-05-02T04:26:05Z,DLH9WY,"52.356125,13.507271",0,2,216
1683001584,2023-05-02T04:26:24Z,DLH9WY,"52.355953,13.507061",0,1,219
1683001667,2023-05-02T04:27:47Z,DLH9WY,"52.355778,13.506846",0,6,216
1683001673,2023-05-02T04:27:53Z,DLH9WY,"52.355587,13.506603",0,9,216
1683001680,2023-05-02T04:28:00Z,DLH9WY,"52.355358,13.506298",0,11,219
1683001685,2023-05-02T04:28:05Z,DLH9WY,"52.355141,13.506031",0,11,219
1683001692,2023-05-02T04:28:12Z,DLH9WY,"52.354877,13.505688",0,11,216
1683001698,2023-05-02T04:28:18Z,DLH9WY,"52.354637,13.505356",0,11,219
1683001704,2023-05-02T04:28:24Z,DLH9WY,"52.354393,13.505003",0,11,222
1683001711,2023-05-02T04:28:31Z,DLH9WY,"52.354172,13.504689",0,10,219
1683001716,2023-05-02T04:28:36Z,DLH9WY,"52.354008,13.504467",0,8,225
1683001721,2023-05-02T04:28:41Z,DLH9WY,"52.353939,13.504219",0,8,236
1683001725,2023-05-02T04:28:45Z,DLH9WY,"52.35387,13.503923",0,11,247
1683001727,2023-05-02T04:28:47Z,DLH9WY,"52.353809,13.503669",0,15,247
1683001729,2023-05-02T04:28:49Z,DLH9WY,"52.353729,13.503355",0,17,250
1683001730,2023-05-02T04:28:50Z,DLH9WY,"52.353687,13.503151",0,20,250
1683001731,2023-05-02T04:28:51Z,DLH9WY,"52.353638,13.502943",0,24,250
1683001735,2023-05-02T04:28:55Z,DLH9WY,"52.353416,13.501982",0,39,250
1683001736,2023-05-02T04:28:56Z,DLH9WY,"52.35331,13.50157",0,44,250
1683001737,2023-05-02T04:28:57Z,DLH9WY,"52.353252,13.501339",0,49,250
1683001738,2023-05-02T04:28:58Z,DLH9WY,"52.353065,13.500529",0,58,250
1683001741,2023-05-02T04:29:01Z,DLH9WY,"52.35276,13.499222",0,68,250
1683001742,2023-05-02T04:29:02Z,DLH9WY,"52.352566,13.49843",0,76,250
1683001743,2023-05-02T04:29:03Z,DLH9WY,"52.352428,13.497829",0,82,250
1683001753,2023-05-02T04:29:13Z,DLH9WY,"52.351318,13.493195",125,116,248
1683001761,2023-05-02T04:29:21Z,DLH9WY,"52.348938,13.483047",100,148,249
1683001768,2023-05-02T04:29:28Z,DLH9WY,"52.347061,13.475203",300,156,248
1683001774,2023-05-02T04:29:34Z,DLH9WY,"52.345413,13.468475",575,153,248
1683001779,2023-05-02T04:29:39Z,DLH9WY,"52.344086,13.463516",875,152,244
1683001780,2023-05-02T04:29:40Z,DLH9WY,"52.343674,13.462067",875,152,244
1683001782,2023-05-02T04:29:42Z,DLH9WY,"52.34259,13.459115",1000,152,239
1683001783,2023-05-02T04:29:43Z,DLH9WY,"52.342403,13.458801",1050,153,237
1683001785,2023-05-02T04:29:45Z,DLH9WY,"52.341335,13.456447",1150,153,233
1683001786,2023-05-02T04:29:46Z,DLH9WY,"52.340916,13.455584",1200,153,233
1683001787,2023-05-02T04:29:47Z,DLH9WY,"52.340607,13.455048",1225,153,232
1683001788,2023-05-02T04:29:48Z,DLH9WY,"52.339939,13.4537",1300,153,230
1683001790,2023-05-02T04:29:50Z,DLH9WY,"52.339474,13.452837",1350,154,230
1683001793,2023-05-02T04:29:53Z,DLH9WY,"52.338078,13.450012",1450,155,230
1683001796,2023-05-02T04:29:56Z,DLH9WY,"52.336487,13.446808",1525,159,230
1683001799,2023-05-02T04:29:59Z,DLH9WY,"52.335144,13.444205",1600,161,230
1683001802,2023-05-02T04:30:02Z,DLH9WY,"52.333561,13.440988",1700,164,230
1683001805,2023-05-02T04:30:05Z,DLH9WY,"52.332069,13.437927",1775,167,231
1683001808,2023-05-02T04:30:08Z,DLH9WY,"52.330486,13.434789",1875,171,231
1683001809,2023-05-02T04:30:09Z,DLH9WY,"52.330215,13.434219",1900,172,231
1683001812,2023-05-02T04:30:12Z,DLH9WY,"52.328671,13.4311",1975,176,230
1683001816,2023-05-02T04:30:16Z,DLH9WY,"52.326206,13.426078",2100,181,231
1683001828,2023-05-02T04:30:28Z,DLH9WY,"52.320248,13.414385",2400,194,230
1683001833,2023-05-02T04:30:33Z,DLH9WY,"52.317081,13.408342",2550,202,229
1683001840,2023-05-02T04:30:40Z,DLH9WY,"52.3125,13.399658",2750,212,229
