Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1683431480,2023-05-07T03:51:20Z,NBT60Y,"40.6506,-73.783661",0,0,135
1683432465,2023-05-07T04:07:45Z,NBT60Y,"40.650719,-73.783882",0,3,129
1683432483,2023-05-07T04:08:03Z,NBT60Y,"40.650822,-73.784103",0,3,129
1683432504,2023-05-07T04:08:24Z,NBT60Y,"40.650963,-73.784348",0,3,87
1683432517,2023-05-07T04:08:37Z,NBT60Y,"40.650982,-73.784561",0,2,56
1683432540,2023-05-07T04:09:00Z,NBT60Y,"40.650879,-73.784775",0,2,14
1683432576,2023-05-07T04:09:36Z,NBT60Y,"40.651096,-73.784683",0,0,25
1683432831,2023-05-07T04:13:51Z,NBT60Y,"40.651299,-73.784569",0,3,33
1683432845,2023-05-07T04:14:05Z,NBT60Y,"40.65152,-73.784454",0,5,36
1683432854,2023-05-07T04:14:14Z,NBT60Y,"40.65173,-73.784332",0,6,36
1683432862,2023-05-07T04:14:22Z,NBT60Y,"40.651962,-73.784195",0,7,36
1683432870,2023-05-07T04:14:30Z,NBT60Y,"40.652184,-73.784073",0,7,36
1683432876,2023-05-07T04:14:36Z,NBT60Y,"40.65239,-73.78392",0,7,42
1683432883,2023-05-07T04:14:43Z,NBT60Y,"40.652504,-73.783691",0,7,64
1683432889,2023-05-07T04:14:49Z,NBT60Y,"40.652485,-73.783432",0,7,95
1683432895,2023-05-07T04:14:55Z,NBT60Y,"40.652401,-73.783218",0,7,118
1683432901,2023-05-07T04:15:01Z,NBT60Y,"40.652309,-73.78299",0,7,129
1683432907,2023-05-07T04:15:07Z,NBT60Y,"40.652218,-73.782761",0,7,132
1683432912,2023-05-07T04:15:12Z,NBT60Y,"40.652126,-73.782555",0,7,132
1683432918,2023-05-07T04:15:18Z,NBT60Y,"40.652008,-73.782326",0,8,135
1683432923,2023-05-07T04:15:23Z,NBT60Y,"40.651909,-73.782089",0,9,135
1683432929,2023-05-07T04:15:29Z,NBT60Y,"40.651764,-73.781792",0,10,135
1683432936,2023-05-07T04:15:36Z,NBT60Y,"40.651588,-73.781403",0,11,135
1683432942,2023-05-07T04:15:42Z,NBT60Y,"40.651428,-73.781052",0,12,135
1683432948,2023-05-07T04:15:48Z,NBT60Y,"40.651257,-73.78067",0,11,135
1683432954,2023-05-07T04:15:54Z,NBT60Y,"40.65115,-73.780388",0,8,132
1683432958,2023-05-07T04:15:58Z,NBT60Y,"40.651119,-73.780182",0,7,118
1683432964,2023-05-07T04:16:04Z,NBT60Y,"40.65123,-73.779968",0,7,81
1683432972,2023-05-07T04:16:12Z,NBT60Y,"40.65144,-73.779816",0,7,53
1683432980,2023-05-07T04:16:20Z,NBT60Y,"40.651669,-73.779633",0,7,45
1683432988,2023-05-07T04:16:28Z,NBT60Y,"40.651875,-73.779465",0,7,45
1683432997,2023-05-07T04:16:37Z,NBT60Y,"40.652184,-73.779221",0,10,45
1683433003,2023-05-07T04:16:43Z,NBT60Y,"40.652435,-73.779022",0,11,45
