Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1683517849,2023-05-08T03:50:49Z,NBT60Y,"40.651062,-73.783539",0,0,168
1683517995,2023-05-08T03:53:15Z,NBT60Y,"40.651287,-73.78363",0,2,160
1683518018,2023-05-08T03:53:38Z,NBT60Y,"40.651497,-73.78373",0,2,115
1683518035,2023-05-08T03:53:55Z,NBT60Y,"40.651554,-73.783936",0,2,90
1683518051,2023-05-08T03:54:11Z,NBT60Y,"40.651566,-73.784149",0,2,70
1683518070,2023-05-08T03:54:30Z,NBT60Y,"40.651485,-73.784363",0,2,53
1683518091,2023-05-08T03:54:51Z,NBT60Y,"40.651356,-73.784569",0,2,33
1683518112,2023-05-08T03:55:12Z,NBT60Y,"40.65115,-73.784676",0,2,28
1683518172,2023-05-08T03:56:12Z,NBT60Y,"40.65136,-73.784561",0,2,33
1683518190,2023-05-08T03:56:30Z,NBT60Y,"40.651566,-73.784439",0,3,36
1683518213,2023-05-08T03:56:53Z,NBT60Y,"40.651798,-73.784302",0,1,36
1683518520,2023-05-08T04:02:00Z,NBT60Y,"40.652,-73.78418",0,4,36
1683518532,2023-05-08T04:02:12Z,NBT60Y,"40.652241,-73.784073",0,5,33
1683518542,2023-05-08T04:02:22Z,NBT60Y,"40.652447,-73.78392",0,6,42
1683518551,2023-05-08T04:02:31Z,NBT60Y,"40.652573,-73.783646",0,6,67
1683518560,2023-05-08T04:02:40Z,NBT60Y,"40.652512,-73.783371",0,5,106
1683518568,2023-05-08T04:02:48Z,NBT60Y,"40.652405,-73.783165",0,5,129
1683518575,2023-05-08T04:02:55Z,NBT60Y,"40.65229,-73.782913",0,7,132
1683518581,2023-05-08T04:03:01Z,NBT60Y,"40.652172,-73.782684",0,8,135
1683518586,2023-05-08T04:03:06Z,NBT60Y,"40.652069,-73.78244",0,9,135
1683518593,2023-05-08T04:03:13Z,NBT60Y,"40.65192,-73.782104",0,11,135
1683518599,2023-05-08T04:03:19Z,NBT60Y,"40.65176,-73.781754",0,12,135
1683518605,2023-05-08T04:03:25Z,NBT60Y,"40.651577,-73.781357",0,12,135
1683518614,2023-05-08T04:03:34Z,NBT60Y,"40.65131,-73.780762",0,13,132
1683518620,2023-05-08T04:03:40Z,NBT60Y,"40.651108,-73.780319",0,14,135
1683518626,2023-05-08T04:03:46Z,NBT60Y,"40.650913,-73.779892",0,14,135
1683518632,2023-05-08T04:03:52Z,NBT60Y,"40.65073,-73.779465",0,14,135
1683518638,2023-05-08T04:03:58Z,NBT60Y,"40.65052,-73.779015",0,15,135
1683518644,2023-05-08T04:04:04Z,NBT60Y,"40.650307,-73.778534",0,15,135
1683518650,2023-05-08T04:04:10Z,NBT60Y,"40.650078,-73.778046",0,15,135
1683518656,2023-05-08T04:04:16Z,NBT60Y,"40.649849,-73.777542",0,15,135
1683518662,2023-05-08T04:04:22Z,NBT60Y,"40.64962,-73.777054",0,15,135
1683518668,2023-05-08T04:04:28Z,NBT60Y,"40.649414,-73.776596",0,14,135
1683518674,2023-05-08T04:04:34Z,NBT60Y,"40.649239,-73.776207",0,11,135
1683518680,2023-05-08T04:04:40Z,NBT60Y,"40.649105,-73.775894",0,9,135
1683518686,2023-05-08T04:04:46Z,NBT60Y,"40.649002,-73.775681",0,5,132
1683518696,2023-05-08T04:04:56Z,NBT60Y,"40.649017,-73.775459",0,4,109
