Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1683834907,2023-05-11T19:55:07Z,MAC122,"52.311123,4.767223",0,3,300
1683834924,2023-05-11T19:55:24Z,MAC122,"52.310936,4.767792",0,5,300
1683834935,2023-05-11T19:55:35Z,MAC122,"52.310795,4.768184",0,6,331
1683834967,2023-05-11T19:56:07Z,MAC122,"52.3106,4.768429",0,0,33
1683835096,2023-05-11T19:58:16Z,MAC122,"52.310913,4.768753",0,0,30
1683835113,2023-05-11T19:58:33Z,MAC122,"52.311115,4.768982",0,0,33
1683835121,2023-05-11T19:58:41Z,MAC122,"52.31131,4.769185",0,7,33
1683835129,2023-05-11T19:58:49Z,MAC122,"52.31155,4.76944",0,9,33
1683835134,2023-05-11T19:58:54Z,MAC122,"52.311764,4.769695",0,10,33
1683835141,2023-05-11T19:59:01Z,MAC122,"52.312065,4.770009",0,12,30
1683835148,2023-05-11T19:59:08Z,MAC122,"52.31245,4.770401",0,14,33
1683835154,2023-05-11T19:59:14Z,MAC122,"52.312832,4.770794",0,15,33
1683835160,2023-05-11T19:59:20Z,MAC122,"52.31316,4.771186",0,14,36
1683835167,2023-05-11T19:59:27Z,MAC122,"52.31345,4.7715",0,12,33
1683835172,2023-05-11T19:59:32Z,MAC122,"52.313679,4.771748",0,10,33
1683835179,2023-05-11T19:59:39Z,MAC122,"52.313942,4.771919",0,10,16
1683835183,2023-05-11T19:59:43Z,MAC122,"52.314171,4.771931",0,10,5
1683835189,2023-05-11T19:59:49Z,MAC122,"52.314381,4.771951",0,9,2
1683835197,2023-05-11T19:59:57Z,MAC122,"52.31459,4.77197",0,5,2
1683835208,2023-05-11T20:00:08Z,MAC122,"52.314823,4.771996",0,5,2
1683835215,2023-05-11T20:00:15Z,MAC122,"52.315033,4.77201",0,7,5
1683835221,2023-05-11T20:00:21Z,MAC122,"52.315269,4.772034",0,10,2
1683835226,2023-05-11T20:00:26Z,MAC122,"52.315521,4.771938",0,11,343
1683835229,2023-05-11T20:00:29Z,MAC122,"52.315662,4.771716",0,11,320
1683835232,2023-05-11T20:00:32Z,MAC122,"52.31572,4.771461",0,11,298
1683835241,2023-05-11T20:00:41Z,MAC122,"52.315704,4.770718",0,12,267
1683835243,2023-05-11T20:00:43Z,MAC122,"52.315693,4.77047",0,13,267
1683835246,2023-05-11T20:00:46Z,MAC122,"52.315685,4.770185",0,13,267
1683835249,2023-05-11T20:00:49Z,MAC122,"52.31567,4.769859",0,14,267
1683835251,2023-05-11T20:00:51Z,MAC122,"52.315659,4.769592",0,14,267
1683835254,2023-05-11T20:00:54Z,MAC122,"52.315651,4.769322",0,0,267
1683835259,2023-05-11T20:00:59Z,MAC122,"52.315624,4.768792",0,15,267
1683835262,2023-05-11T20:01:02Z,MAC122,"52.315613,4.7684",0,16,267
