Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1683833182,2023-05-11T19:26:22Z,MAC126Q,"52.313599,4.771671",0,10,33
1683833188,2023-05-11T19:26:28Z,MAC126Q,"52.313839,4.771881",0,10,25
1683833195,2023-05-11T19:26:35Z,MAC126Q,"52.314171,4.771931",0,11,5
1683833199,2023-05-11T19:26:39Z,MAC126Q,"52.314388,4.771938",0,11,2
1683833203,2023-05-11T19:26:43Z,MAC126Q,"52.314602,4.77197",0,11,5
1683833208,2023-05-11T19:26:48Z,MAC126Q,"52.314835,4.77201",0,11,2
1683833213,2023-05-11T19:26:53Z,MAC126Q,"52.315132,4.772034",0,12,2
1683833217,2023-05-11T19:26:57Z,MAC126Q,"52.315338,4.772034",0,11,357
1683833223,2023-05-11T19:27:03Z,MAC126Q,"52.315544,4.771862",0,9,334
1683833227,2023-05-11T19:27:07Z,MAC126Q,"52.315651,4.771637",0,9,309
1683833231,2023-05-11T19:27:11Z,MAC126Q,"52.315704,4.771366",0,9,292
1683833234,2023-05-11T19:27:14Z,MAC126Q,"52.315716,4.771156",0,10,278
1683833237,2023-05-11T19:27:17Z,MAC126Q,"52.315704,4.770927",0,10,272
1683833240,2023-05-11T19:27:20Z,MAC126Q,"52.315704,4.770699",0,10,267
1683833243,2023-05-11T19:27:23Z,MAC126Q,"52.315693,4.770451",0,11,267
1683833246,2023-05-11T19:27:26Z,MAC126Q,"52.315693,4.770203",0,11,267
1683833249,2023-05-11T19:27:29Z,MAC126Q,"52.315681,4.769974",0,11,267
1683833251,2023-05-11T19:27:31Z,MAC126Q,"52.315674,4.769773",0,11,267
1683833258,2023-05-11T19:27:38Z,MAC126Q,"52.315651,4.769165",0,12,267
1683833264,2023-05-11T19:27:44Z,MAC126Q,"52.315624,4.768577",0,13,267
1683833271,2023-05-11T19:27:51Z,MAC126Q,"52.315601,4.767929",0,13,267
1683833285,2023-05-11T19:28:05Z,MAC126Q,"52.315556,4.766407",0,0,267
1683833291,2023-05-11T19:28:11Z,MAC126Q,"52.315533,4.765673",0,15,267
1683833299,2023-05-11T19:28:19Z,MAC126Q,"52.315498,4.76481",0,15,267
1683833305,2023-05-11T19:28:25Z,MAC126Q,"52.315475,4.764005",0,16,267
1683833311,2023-05-11T19:28:31Z,MAC126Q,"52.315441,4.763201",0,17,267
1683833317,2023-05-11T19:28:37Z,MAC126Q,"52.31543,4.762397",0,17,267
1683833323,2023-05-11T19:28:43Z,MAC126Q,"52.315395,4.7616",0,18,267
1683833331,2023-05-11T19:28:51Z,MAC126Q,"52.31535,4.76059",0,18,267
1683833338,2023-05-11T19:28:58Z,MAC126Q,"52.315315,4.759521",0,19,267
1683833353,2023-05-11T19:29:13Z,MAC126Q,"52.315247,4.757271",0,0,267
1683833380,2023-05-11T19:29:40Z,MAC126Q,"52.315102,4.753156",0,0,267
1683833387,2023-05-11T19:29:47Z,MAC126Q,"52.315056,4.752097",0,18,267
1683833396,2023-05-11T19:29:56Z,MAC126Q,"52.315022,4.750842",0,19,267
1683833436,2023-05-11T19:30:36Z,MAC126Q,"52.315521,4.746647",0,0,351
1683833441,2023-05-11T19:30:41Z,MAC126Q,"52.315784,4.746609",0,0,357
1683833446,2023-05-11T19:30:46Z,MAC126Q,"52.316071,4.746609",0,12,357
1683833533,2023-05-11T19:32:13Z,MAC126Q,"52.317764,4.779053",0,163,87
1683833539,2023-05-11T19:32:19Z,MAC126Q,"52.317902,4.786377",250,160,87
1683833545,2023-05-11T19:32:25Z,MAC126Q,"52.318085,4.793472",500,157,87
1683833551,2023-05-11T19:32:31Z,MAC126Q,"52.318085,4.800491",800,155,91
1683833554,2023-05-11T19:32:34Z,MAC126Q,"52.317734,4.804008",950,154,97
1683833557,2023-05-11T19:32:37Z,MAC126Q,"52.317219,4.80746",1050,156,102
1683833560,2023-05-11T19:32:40Z,MAC126Q,"52.316475,4.810913",1125,162,110
1683833563,2023-05-11T19:32:43Z,MAC126Q,"52.31543,4.814301",1200,166,114
1683833566,2023-05-11T19:32:46Z,MAC126Q,"52.314289,4.817112",1250,170,122
1683833569,2023-05-11T19:32:49Z,MAC126Q,"52.31282,4.819794",1300,174,130
1683833572,2023-05-11T19:32:52Z,MAC126Q,"52.310623,4.822693",1375,180,140
1683833575,2023-05-11T19:32:55Z,MAC126Q,"52.308014,4.825134",1450,186,147
1683833578,2023-05-11T19:32:58Z,MAC126Q,"52.305584,4.827079",1500,191,152
1683833581,2023-05-11T19:33:01Z,MAC126Q,"52.30307,4.828796",1575,198,156
1683833584,2023-05-11T19:33:04Z,MAC126Q,"52.300274,4.830375",1625,201,159
1683833587,2023-05-11T19:33:07Z,MAC126Q,"52.297485,4.831772",1700,206,162
1683833588,2023-05-11T19:33:08Z,MAC126Q,"52.297119,4.832001",1700,208,162
1683833589,2023-05-11T19:33:09Z,MAC126Q,"52.295609,4.832611",1725,206,162
1683833590,2023-05-11T19:33:10Z,MAC126Q,"52.294315,4.8332",1750,212,163
1683833594,2023-05-11T19:33:14Z,MAC126Q,"52.291153,4.834455",1800,220,165
1683833595,2023-05-11T19:33:15Z,MAC126Q,"52.2892,4.835205",1850,223,166
1683833598,2023-05-11T19:33:18Z,MAC126Q,"52.287231,4.835892",1950,227,167
1683833602,2023-05-11T19:33:22Z,MAC126Q,"52.284119,4.837036",2050,230,167
1683833606,2023-05-11T19:33:26Z,MAC126Q,"52.278442,4.839164",2275,232,167
1683833610,2023-05-11T19:33:30Z,MAC126Q,"52.27644,4.839948",2450,234,166
