Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1683830734,2023-05-11T18:45:34Z,AIA6775,"52.303825,4.764881",0,0,143
1683830743,2023-05-11T18:45:43Z,AIA6775,"52.30365,4.765084",0,6,146
1683830756,2023-05-11T18:45:56Z,AIA6775,"52.303356,4.765606",0,8,123
1683830767,2023-05-11T18:46:07Z,AIA6775,"52.303406,4.766399",0,0,70
1683830775,2023-05-11T18:46:15Z,AIA6775,"52.303413,4.76696",0,0,101
1683830790,2023-05-11T18:46:30Z,AIA6775,"52.303104,4.768145",0,0,84
1683830797,2023-05-11T18:46:37Z,AIA6775,"52.303322,4.768715",0,0,59
1683830808,2023-05-11T18:46:48Z,AIA6775,"52.303684,4.769656",0,14,59
1683830819,2023-05-11T18:46:59Z,AIA6775,"52.304092,4.770734",0,15,59
1683830829,2023-05-11T18:47:09Z,AIA6775,"52.304489,4.771767",0,16,59
1683830841,2023-05-11T18:47:21Z,AIA6775,"52.305012,4.773128",0,0,59
1683830847,2023-05-11T18:47:27Z,AIA6775,"52.305279,4.773815",0,17,59
1683830854,2023-05-11T18:47:34Z,AIA6775,"52.305534,4.774501",0,15,59
1683830862,2023-05-11T18:47:42Z,AIA6775,"52.30584,4.775238",0,0,56
1683830865,2023-05-11T18:47:45Z,AIA6775,"52.305965,4.775448",0,14,45
1683830869,2023-05-11T18:47:49Z,AIA6775,"52.306206,4.775715",0,15,33
1683830875,2023-05-11T18:47:55Z,AIA6775,"52.306606,4.775875",0,15,11
1683830880,2023-05-11T18:48:00Z,AIA6775,"52.306957,4.775914",0,15,5
1683830883,2023-05-11T18:48:03Z,AIA6775,"52.307167,4.775944",0,16,5
1683830886,2023-05-11T18:48:06Z,AIA6775,"52.307442,4.775963",0,16,5
1683830889,2023-05-11T18:48:09Z,AIA6775,"52.307678,4.775992",0,16,5
1683830893,2023-05-11T18:48:13Z,AIA6775,"52.307991,4.776012",0,17,5
1683830896,2023-05-11T18:48:16Z,AIA6775,"52.308208,4.77602",0,17,5
1683830902,2023-05-11T18:48:22Z,AIA6775,"52.308723,4.776077",0,17,5
