Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1683823701,2023-05-11T16:48:21Z,AFR17KP,"52.304394,4.766144",0,0,56
1683831304,2023-05-11T18:55:04Z,AFR17KP,"52.30415,4.765634",0,2,92
1683831320,2023-05-11T18:55:20Z,AFR17KP,"52.304134,4.765415",0,0,140
1683831561,2023-05-11T18:59:21Z,AFR17KP,"52.303768,4.765701",0,0,151
1683831568,2023-05-11T18:59:28Z,AFR17KP,"52.303619,4.765911",0,6,140
1683831579,2023-05-11T18:59:39Z,AFR17KP,"52.303486,4.766418",0,9,106
1683831584,2023-05-11T18:59:44Z,AFR17KP,"52.303463,4.766732",0,9,101
1683831588,2023-05-11T18:59:48Z,AFR17KP,"52.303402,4.766979",0,9,112
1683831596,2023-05-11T18:59:56Z,AFR17KP,"52.303173,4.76738",0,9,132
1683831602,2023-05-11T19:00:02Z,AFR17KP,"52.30307,4.767792",0,9,106
1683831605,2023-05-11T19:00:05Z,AFR17KP,"52.303082,4.768008",0,9,90
1683831610,2023-05-11T19:00:10Z,AFR17KP,"52.303162,4.768314",0,9,67
1683831615,2023-05-11T19:00:15Z,AFR17KP,"52.303276,4.7686",0,0,59
1683831628,2023-05-11T19:00:28Z,AFR17KP,"52.303654,4.769592",0,13,59
1683831631,2023-05-11T19:00:31Z,AFR17KP,"52.303745,4.76984",0,14,56
1683831639,2023-05-11T19:00:39Z,AFR17KP,"52.30407,4.770656",0,16,56
1683831641,2023-05-11T19:00:41Z,AFR17KP,"52.304157,4.770889",0,16,56
1683831646,2023-05-11T19:00:46Z,AFR17KP,"52.304382,4.77148",0,17,59
1683831664,2023-05-11T19:01:04Z,AFR17KP,"52.305096,4.77335",0,0,56
1683831671,2023-05-11T19:01:11Z,AFR17KP,"52.305416,4.774189",0,0,59
1683831676,2023-05-11T19:01:16Z,AFR17KP,"52.30563,4.774756",0,0,59
1683831682,2023-05-11T19:01:22Z,AFR17KP,"52.305931,4.775403",0,17,50
1683831686,2023-05-11T19:01:26Z,AFR17KP,"52.306137,4.775658",0,17,36
1683831690,2023-05-11T19:01:30Z,AFR17KP,"52.306458,4.775848",0,17,16
1683831694,2023-05-11T19:01:34Z,AFR17KP,"52.306812,4.775906",0,18,5
1683831697,2023-05-11T19:01:37Z,AFR17KP,"52.307087,4.775925",0,18,2
1683831700,2023-05-11T19:01:40Z,AFR17KP,"52.307293,4.775963",0,18,2
