Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1683830307,2023-05-11T18:38:27Z,KLM1033,"52.308411,4.77356",0,0,92
1683830313,2023-05-11T18:38:33Z,KLM1033,"52.308399,4.773991",0,10,92
1683830318,2023-05-11T18:38:38Z,KLM1033,"52.30838,4.774342",0,9,92
1683830325,2023-05-11T18:38:45Z,KLM1033,"52.308353,4.774835",0,10,92
1683830335,2023-05-11T18:38:55Z,KLM1033,"52.308388,4.77562",0,11,73
1683830339,2023-05-11T18:38:59Z,KLM1033,"52.308506,4.775848",0,13,50
1683830342,2023-05-11T18:39:02Z,KLM1033,"52.308666,4.776077",0,14,19
1683830345,2023-05-11T18:39:05Z,KLM1033,"52.308887,4.77611",0,15,2
1683830348,2023-05-11T18:39:08Z,KLM1033,"52.309135,4.776134",0,18,1
1683830351,2023-05-11T18:39:11Z,KLM1033,"52.30941,4.776149",0,20,2
1683830353,2023-05-11T18:39:13Z,KLM1033,"52.30962,4.776169",0,22,2
1683830355,2023-05-11T18:39:15Z,KLM1033,"52.30983,4.776188",0,23,2
1683830358,2023-05-11T18:39:18Z,KLM1033,"52.310165,4.776211",0,26,2
1683830360,2023-05-11T18:39:20Z,KLM1033,"52.310394,4.77623",0,27,2
1683830366,2023-05-11T18:39:26Z,KLM1033,"52.311161,4.776325",0,27,2
1683830372,2023-05-11T18:39:32Z,KLM1033,"52.311859,4.776382",0,26,2
1683830378,2023-05-11T18:39:38Z,KLM1033,"52.312603,4.77644",0,25,2
1683830384,2023-05-11T18:39:44Z,KLM1033,"52.313347,4.776497",0,25,2
1683830390,2023-05-11T18:39:50Z,KLM1033,"52.31395,4.776542",0,24,2
1683830393,2023-05-11T18:39:53Z,KLM1033,"52.314297,4.776497",0,24,351
1683830395,2023-05-11T18:39:55Z,KLM1033,"52.314556,4.776326",0,24,337
1683830398,2023-05-11T18:39:58Z,KLM1033,"52.314857,4.776077",0,24,326
1683830400,2023-05-11T18:40:00Z,KLM1033,"52.315029,4.775848",0,24,317
1683830403,2023-05-11T18:40:03Z,KLM1033,"52.315224,4.7756",0,23,315
1683830405,2023-05-11T18:40:05Z,KLM1033,"52.315441,4.775227",0,23,312
1683830408,2023-05-11T18:40:08Z,KLM1033,"52.31559,4.77478",0,23,300
1683830413,2023-05-11T18:40:13Z,KLM1033,"52.315773,4.774132",0,23,286
1683830416,2023-05-11T18:40:16Z,KLM1033,"52.315784,4.773445",0,23,267
1683830418,2023-05-11T18:40:18Z,KLM1033,"52.315773,4.773102",0,23,264
1683830421,2023-05-11T18:40:21Z,KLM1033,"52.315754,4.77254",0,24,267
1683830423,2023-05-11T18:40:23Z,KLM1033,"52.315742,4.772186",0,24,267
1683830432,2023-05-11T18:40:32Z,KLM1033,"52.315693,4.770451",0,27,267
1683830435,2023-05-11T18:40:35Z,KLM1033,"52.315662,4.769813",0,28,267
1683830437,2023-05-11T18:40:37Z,KLM1033,"52.315651,4.769401",0,28,267
1683830438,2023-05-11T18:40:38Z,KLM1033,"52.315636,4.769173",0,29,267
1683830439,2023-05-11T18:40:39Z,KLM1033,"52.315639,4.768969",0,29,267
1683830461,2023-05-11T18:41:01Z,KLM1033,"52.315453,4.763907",0,0,267
1683830467,2023-05-11T18:41:07Z,KLM1033,"52.315418,4.762573",0,29,267
1683830473,2023-05-11T18:41:13Z,KLM1033,"52.315369,4.761239",0,29,267
1683830479,2023-05-11T18:41:19Z,KLM1033,"52.315327,4.760113",0,29,267
1683830508,2023-05-11T18:41:48Z,KLM1033,"52.315098,4.75338",0,0,267
1683830518,2023-05-11T18:41:58Z,KLM1033,"52.315018,4.751205",0,29,267
1683830543,2023-05-11T18:42:23Z,KLM1033,"52.314846,4.745903",0,0,267
1683830549,2023-05-11T18:42:29Z,KLM1033,"52.314812,4.74472",0,23,267
1683830554,2023-05-11T18:42:34Z,KLM1033,"52.314789,4.743862",0,15,270
1683830556,2023-05-11T18:42:36Z,KLM1033,"52.314812,4.743633",0,15,281
1683830559,2023-05-11T18:42:39Z,KLM1033,"52.314892,4.743308",0,16,300
1683830563,2023-05-11T18:42:43Z,KLM1033,"52.315109,4.743061",0,16,326
1683830566,2023-05-11T18:42:46Z,KLM1033,"52.315323,4.742955",0,15,354
1683830570,2023-05-11T18:42:50Z,KLM1033,"52.315601,4.742955",0,15,2
1683830573,2023-05-11T18:42:53Z,KLM1033,"52.315884,4.742974",0,18,2
1683830580,2023-05-11T18:43:00Z,KLM1033,"52.316528,4.743042",0,23,2
1683830583,2023-05-11T18:43:03Z,KLM1033,"52.316837,4.743061",0,24,2
