Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1683831631,2023-05-11T19:00:31Z,KLM83H,"52.300823,4.756315",0,4,59
1683831640,2023-05-11T19:00:40Z,KLM83H,"52.300735,4.756107",0,3,61
1683831653,2023-05-11T19:00:53Z,KLM83H,"52.300682,4.755883",0,2,135
1683831956,2023-05-11T19:05:56Z,KLM83H,"52.300323,4.756222",0,8,149
1683831965,2023-05-11T19:06:05Z,KLM83H,"52.300014,4.756527",0,8,149
1683831984,2023-05-11T19:06:24Z,KLM83H,"52.299484,4.756197",0,9,239
1683831993,2023-05-11T19:06:33Z,KLM83H,"52.299259,4.755592",0,14,239
1683832009,2023-05-11T19:06:49Z,KLM83H,"52.298607,4.753876",0,0,239
1683832016,2023-05-11T19:06:56Z,KLM83H,"52.298389,4.753189",0,0,247
1683832029,2023-05-11T19:07:09Z,KLM83H,"52.29855,4.751682",0,0,303
1683832059,2023-05-11T19:07:39Z,KLM83H,"52.30022,4.748611",0,0,312
1683832070,2023-05-11T19:07:50Z,KLM83H,"52.301033,4.747114",0,0,312
1683832079,2023-05-11T19:07:59Z,KLM83H,"52.301628,4.746017",0,23,312
1683832089,2023-05-11T19:08:09Z,KLM83H,"52.302349,4.744644",0,23,312
1683832095,2023-05-11T19:08:15Z,KLM83H,"52.302753,4.743877",0,22,312
1683832101,2023-05-11T19:08:21Z,KLM83H,"52.303139,4.743156",0,20,312
1683832110,2023-05-11T19:08:30Z,KLM83H,"52.303673,4.742209",0,17,320
1683832115,2023-05-11T19:08:35Z,KLM83H,"52.304012,4.741954",0,18,340
1683832117,2023-05-11T19:08:37Z,KLM83H,"52.304237,4.741917",0,19,354
1683832120,2023-05-11T19:08:40Z,KLM83H,"52.304478,4.741935",0,20,2
1683832122,2023-05-11T19:08:42Z,KLM83H,"52.304722,4.741954",0,21,2
1683832125,2023-05-11T19:08:45Z,KLM83H,"52.30497,4.741974",0,21,2
1683832127,2023-05-11T19:08:47Z,KLM83H,"52.305222,4.741993",0,22,2
1683832130,2023-05-11T19:08:50Z,KLM83H,"52.305546,4.742033",0,23,2
1683832135,2023-05-11T19:08:55Z,KLM83H,"52.306084,4.742072",0,24,2
1683832137,2023-05-11T19:08:57Z,KLM83H,"52.306351,4.742111",0,24,2
1683832141,2023-05-11T19:09:01Z,KLM83H,"52.306744,4.742146",0,24,2
1683832143,2023-05-11T19:09:03Z,KLM83H,"52.307018,4.742165",0,24,2
1683832150,2023-05-11T19:09:10Z,KLM83H,"52.30777,4.742229",0,25,2
1683832157,2023-05-11T19:09:17Z,KLM83H,"52.30862,4.742298",0,24,2
1683832164,2023-05-11T19:09:24Z,KLM83H,"52.309364,4.742355",0,24,2
1683832170,2023-05-11T19:09:30Z,KLM83H,"52.31012,4.742425",0,0,2
1683832178,2023-05-11T19:09:38Z,KLM83H,"52.311035,4.742508",0,25,2
1683832184,2023-05-11T19:09:44Z,KLM83H,"52.311775,4.742582",0,25,2
1683832191,2023-05-11T19:09:51Z,KLM83H,"52.312542,4.742661",0,26,2
1683832196,2023-05-11T19:09:56Z,KLM83H,"52.313187,4.742718",0,24,2
1683832203,2023-05-11T19:10:03Z,KLM83H,"52.313919,4.742775",0,18,2
1683832209,2023-05-11T19:10:09Z,KLM83H,"52.314354,4.742851",0,14,8
1683832213,2023-05-11T19:10:13Z,KLM83H,"52.314556,4.742994",0,14,28
1683832215,2023-05-11T19:10:15Z,KLM83H,"52.314682,4.74321",0,14,47
1683832218,2023-05-11T19:10:18Z,KLM83H,"52.314754,4.743462",0,14,67
1683832221,2023-05-11T19:10:21Z,KLM83H,"52.314777,4.743767",0,15,84
1683832223,2023-05-11T19:10:23Z,KLM83H,"52.314789,4.743996",0,15,87
1683832226,2023-05-11T19:10:26Z,KLM83H,"52.3148,4.74432",0,15,87
1683832229,2023-05-11T19:10:29Z,KLM83H,"52.314812,4.744701",0,15,87
1683832231,2023-05-11T19:10:31Z,KLM83H,"52.314812,4.744916",0,15,87
1683832233,2023-05-11T19:10:33Z,KLM83H,"52.314823,4.745152",0,16,87
1683832234,2023-05-11T19:10:34Z,KLM83H,"52.314835,4.745407",0,15,87
1683832241,2023-05-11T19:10:41Z,KLM83H,"52.314892,4.746074",0,0,73
1683832252,2023-05-11T19:10:52Z,KLM83H,"52.315372,4.746628",0,0,11
1683832256,2023-05-11T19:10:56Z,KLM83H,"52.315613,4.746609",0,0,357
1683832272,2023-05-11T19:11:12Z,KLM83H,"52.316483,4.746799",0,0,22
1683832278,2023-05-11T19:11:18Z,KLM83H,"52.31665,4.747036",0,0,47
1683832399,2023-05-11T19:13:19Z,KLM83H,"52.317444,4.769135",0,143,86
1683832405,2023-05-11T19:13:25Z,KLM83H,"52.317684,4.776542",175,138,86
1683832411,2023-05-11T19:13:31Z,KLM83H,"52.317825,4.78023",425,134,85
1683832417,2023-05-11T19:13:37Z,KLM83H,"52.318291,4.788627",675,132,86
1683832423,2023-05-11T19:13:43Z,KLM83H,"52.318085,4.794922",875,135,101
1683832426,2023-05-11T19:13:46Z,KLM83H,"52.317501,4.797886",975,138,108
1683832429,2023-05-11T19:13:49Z,KLM83H,"52.316616,4.800947",1050,144,116
1683832432,2023-05-11T19:13:52Z,KLM83H,"52.315475,4.803772",1075,152,122
1683832434,2023-05-11T19:13:54Z,KLM83H,"52.314102,4.806213",1125,157,133
1683832436,2023-05-11T19:13:56Z,KLM83H,"52.313126,4.807696",1125,159,135
1683832439,2023-05-11T19:13:59Z,KLM83H,"52.3125,4.808426",1150,164,140
1683832442,2023-05-11T19:14:02Z,KLM83H,"52.310471,4.810521",1175,178,154
1683832446,2023-05-11T19:14:06Z,KLM83H,"52.306885,4.813346",1225,185,156
1683832450,2023-05-11T19:14:10Z,KLM83H,"52.304123,4.815292",1275,194,156
1683832454,2023-05-11T19:14:14Z,KLM83H,"52.300228,4.817897",1325,204,157
1683832456,2023-05-11T19:14:16Z,KLM83H,"52.29776,4.819545",1400,207,157
1683832460,2023-05-11T19:14:20Z,KLM83H,"52.297211,4.819946",1500,213,157
1683832464,2023-05-11T19:14:24Z,KLM83H,"52.290779,4.824175",1650,218,157
1683832468,2023-05-11T19:14:28Z,KLM83H,"52.288376,4.825821",1825,219,157
1683832474,2023-05-11T19:14:34Z,KLM83H,"52.280724,4.831002",2225,218,157
1683832480,2023-05-11T19:14:40Z,KLM83H,"52.275696,4.834442",2600,220,156
1683832486,2023-05-11T19:14:46Z,KLM83H,"52.27002,4.838333",2900,224,157
1683832494,2023-05-11T19:14:54Z,KLM83H,"52.26265,4.843216",3250,227,159
1683832498,2023-05-11T19:14:58Z,KLM83H,"52.259033,4.845123",3525,229,164
1683832501,2023-05-11T19:15:01Z,KLM83H,"52.255119,4.846697",3700,230,167
1683832504,2023-05-11T19:15:04Z,KLM83H,"52.25172,4.84756",3875,232,170
1683832507,2023-05-11T19:15:07Z,KLM83H,"52.250465,4.847874",4000,234,174
1683832510,2023-05-11T19:15:10Z,KLM83H,"52.24498,4.848404",4125,241,178
1683832513,2023-05-11T19:15:13Z,KLM83H,"52.241821,4.84848",4225,246,179
1683832516,2023-05-11T19:15:16Z,KLM83H,"52.238827,4.848423",4300,252,180
