Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1683830587,2023-05-11T18:43:07Z,KLM1461,"52.302544,4.762135",0,0,149
1683830594,2023-05-11T18:43:14Z,KLM1461,"52.302219,4.762455",0,13,151
1683830600,2023-05-11T18:43:20Z,KLM1461,"52.301926,4.76263",0,13,165
1683830644,2023-05-11T18:44:04Z,KLM1461,"52.302063,4.765472",0,0,59
1683830651,2023-05-11T18:44:11Z,KLM1461,"52.30228,4.766006",0,14,56
1683830656,2023-05-11T18:44:16Z,KLM1461,"52.302486,4.766541",0,15,56
1683830662,2023-05-11T18:44:22Z,KLM1461,"52.302738,4.767189",0,17,59
1683830669,2023-05-11T18:44:29Z,KLM1461,"52.303059,4.768028",0,20,59
1683830676,2023-05-11T18:44:36Z,KLM1461,"52.303413,4.768944",0,22,56
1683830688,2023-05-11T18:44:48Z,KLM1461,"52.304127,4.770813",0,24,59
1683830694,2023-05-11T18:44:54Z,KLM1461,"52.304466,4.771676",0,24,56
1683830708,2023-05-11T18:45:08Z,KLM1461,"52.305267,4.773788",0,0,59
1683830717,2023-05-11T18:45:17Z,KLM1461,"52.305851,4.775143",0,23,45
1683830719,2023-05-11T18:45:19Z,KLM1461,"52.306011,4.775352",0,23,36
1683830722,2023-05-11T18:45:22Z,KLM1461,"52.306293,4.77562",0,23,25
1683830728,2023-05-11T18:45:28Z,KLM1461,"52.306961,4.775906",0,24,5
1683830730,2023-05-11T18:45:30Z,KLM1461,"52.307178,4.775933",0,24,2
1683830732,2023-05-11T18:45:32Z,KLM1461,"52.307446,4.775953",0,24,2
1683830735,2023-05-11T18:45:35Z,KLM1461,"52.307808,4.775982",0,25,2
1683830738,2023-05-11T18:45:38Z,KLM1461,"52.308144,4.776012",0,25,2
1683830740,2023-05-11T18:45:40Z,KLM1461,"52.308353,4.776031",0,25,2
1683830742,2023-05-11T18:45:42Z,KLM1461,"52.308643,4.776058",0,25,2
1683830745,2023-05-11T18:45:45Z,KLM1461,"52.309006,4.77609",0,25,2
1683830752,2023-05-11T18:45:52Z,KLM1461,"52.309772,4.776149",0,26,2
1683830758,2023-05-11T18:45:58Z,KLM1461,"52.310539,4.776227",0,26,2
1683830769,2023-05-11T18:46:09Z,KLM1461,"52.311893,4.776363",0,26,2
1683830775,2023-05-11T18:46:15Z,KLM1461,"52.312649,4.77644",0,27,2
1683830782,2023-05-11T18:46:22Z,KLM1461,"52.313541,4.776522",0,27,2
1683830785,2023-05-11T18:46:25Z,KLM1461,"52.313873,4.776535",0,27,357
1683830787,2023-05-11T18:46:27Z,KLM1461,"52.314159,4.776478",0,27,351
1683830789,2023-05-11T18:46:29Z,KLM1461,"52.314411,4.776382",0,27,343
1683830792,2023-05-11T18:46:32Z,KLM1461,"52.314716,4.77613",0,27,329
1683830797,2023-05-11T18:46:37Z,KLM1461,"52.315254,4.775384",0,27,315
1683830799,2023-05-11T18:46:39Z,KLM1461,"52.315372,4.775181",0,27,312
1683830802,2023-05-11T18:46:42Z,KLM1461,"52.315624,4.774551",0,27,298
1683830808,2023-05-11T18:46:48Z,KLM1461,"52.315777,4.773461",0,27,272
1683830811,2023-05-11T18:46:51Z,KLM1461,"52.315754,4.772696",0,27,267
1683830813,2023-05-11T18:46:53Z,KLM1461,"52.315754,4.772422",0,28,267
1683830815,2023-05-11T18:46:55Z,KLM1461,"52.315739,4.771881",0,28,267
1683830816,2023-05-11T18:46:56Z,KLM1461,"52.31572,4.771657",0,28,267
1683830818,2023-05-11T18:46:58Z,KLM1461,"52.315708,4.771323",0,28,267
1683830820,2023-05-11T18:47:00Z,KLM1461,"52.315693,4.770775",0,28,267
