Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1683830226,2023-05-11T18:37:06Z,KLM97K,"52.30109,4.758244",0,11,151
1683830235,2023-05-11T18:37:15Z,KLM97K,"52.300678,4.758568",0,12,143
1683830241,2023-05-11T18:37:21Z,KLM97K,"52.300426,4.759042",0,13,126
1683830249,2023-05-11T18:37:29Z,KLM97K,"52.300171,4.75967",0,14,118
1683830252,2023-05-11T18:37:32Z,KLM97K,"52.300117,4.75996",0,14,101
1683830255,2023-05-11T18:37:35Z,KLM97K,"52.300125,4.760278",0,14,81
1683830257,2023-05-11T18:37:37Z,KLM97K,"52.300182,4.760572",0,14,64
1683830263,2023-05-11T18:37:43Z,KLM97K,"52.300369,4.761066",0,15,56
1683830267,2023-05-11T18:37:47Z,KLM97K,"52.300545,4.761494",0,16,56
1683830269,2023-05-11T18:37:49Z,KLM97K,"52.300648,4.761769",0,17,56
1683830276,2023-05-11T18:37:56Z,KLM97K,"52.300941,4.762516",0,16,56
1683830282,2023-05-11T18:38:02Z,KLM97K,"52.30117,4.763083",0,13,56
1683830287,2023-05-11T18:38:07Z,KLM97K,"52.301289,4.763417",0,9,56
1683830292,2023-05-11T18:38:12Z,KLM97K,"52.301388,4.76368",0,7,56
1683830305,2023-05-11T18:38:25Z,KLM97K,"52.301624,4.7643",0,8,59
1683830314,2023-05-11T18:38:34Z,KLM97K,"52.301834,4.764862",0,11,56
1683830319,2023-05-11T18:38:39Z,KLM97K,"52.301987,4.765241",0,12,56
1683830326,2023-05-11T18:38:46Z,KLM97K,"52.302223,4.765873",0,14,56
1683830333,2023-05-11T18:38:53Z,KLM97K,"52.302464,4.766497",0,15,56
1683830345,2023-05-11T18:39:05Z,KLM97K,"52.303009,4.76789",0,0,56
1683830366,2023-05-11T18:39:26Z,KLM97K,"52.304111,4.770756",0,0,56
1683830381,2023-05-11T18:39:41Z,KLM97K,"52.305035,4.773206",0,26,56
1683830392,2023-05-11T18:39:52Z,KLM97K,"52.305748,4.774933",0,26,50
1683830393,2023-05-11T18:39:53Z,KLM97K,"52.305874,4.775149",0,25,45
1683830395,2023-05-11T18:39:55Z,KLM97K,"52.306,4.775352",0,25,39
1683830397,2023-05-11T18:39:57Z,KLM97K,"52.306183,4.775562",0,25,30
