Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1683830520,2023-05-11T18:42:00Z,KLM1595,"52.299717,4.754647",0,0,59
1683830530,2023-05-11T18:42:10Z,KLM1595,"52.299625,4.754429",0,4,59
1683830539,2023-05-11T18:42:19Z,KLM1595,"52.299553,4.754216",0,3,70
1683830555,2023-05-11T18:42:35Z,KLM1595,"52.299576,4.753922",0,3,140
1683830567,2023-05-11T18:42:47Z,KLM1595,"52.29958,4.754314",0,0,140
1683830673,2023-05-11T18:44:33Z,KLM1595,"52.299351,4.754124",0,5,151
1683830681,2023-05-11T18:44:41Z,KLM1595,"52.299122,4.754353",0,7,149
1683830688,2023-05-11T18:44:48Z,KLM1595,"52.298916,4.754391",0,7,185
1683830701,2023-05-11T18:45:01Z,KLM1595,"52.298573,4.75378",0,0,236
1683830708,2023-05-11T18:45:08Z,KLM1595,"52.298378,4.753196",0,0,250
1683830777,2023-05-11T18:46:17Z,KLM1595,"52.301601,4.746055",0,0,312
1683830783,2023-05-11T18:46:23Z,KLM1595,"52.301964,4.745407",0,21,312
1683830789,2023-05-11T18:46:29Z,KLM1595,"52.302395,4.744587",0,22,312
1683830795,2023-05-11T18:46:35Z,KLM1595,"52.302818,4.743805",0,23,312
1683830804,2023-05-11T18:46:44Z,KLM1595,"52.303452,4.742562",0,24,315
1683830806,2023-05-11T18:46:46Z,KLM1595,"52.303642,4.742298",0,24,323
1683830811,2023-05-11T18:46:51Z,KLM1595,"52.304138,4.741954",0,25,348
1683830815,2023-05-11T18:46:55Z,KLM1595,"52.304638,4.741955",0,25,2
1683830817,2023-05-11T18:46:57Z,KLM1595,"52.304878,4.741974",0,0,2
1683830820,2023-05-11T18:47:00Z,KLM1595,"52.305233,4.742013",0,26,2
1683830822,2023-05-11T18:47:02Z,KLM1595,"52.305489,4.742033",0,26,2
1683830827,2023-05-11T18:47:07Z,KLM1595,"52.306034,4.742088",0,25,2
1683830832,2023-05-11T18:47:12Z,KLM1595,"52.306686,4.742146",0,24,2
1683830835,2023-05-11T18:47:15Z,KLM1595,"52.306992,4.74217",0,24,2
1683830844,2023-05-11T18:47:24Z,KLM1595,"52.308002,4.74226",0,24,2
1683830854,2023-05-11T18:47:34Z,KLM1595,"52.309135,4.742374",0,22,2
1683830863,2023-05-11T18:47:43Z,KLM1595,"52.310017,4.742445",0,20,2
1683830869,2023-05-11T18:47:49Z,KLM1595,"52.310516,4.742504",0,18,2
1683830875,2023-05-11T18:47:55Z,KLM1595,"52.311047,4.742546",0,18,2
1683830881,2023-05-11T18:48:01Z,KLM1595,"52.311539,4.742584",0,19,5
1683830887,2023-05-11T18:48:07Z,KLM1595,"52.312111,4.742641",0,19,2
1683830893,2023-05-11T18:48:13Z,KLM1595,"52.312626,4.742699",0,16,2
1683830899,2023-05-11T18:48:19Z,KLM1595,"52.313084,4.742718",0,16,2
1683830904,2023-05-11T18:48:24Z,KLM1595,"52.313416,4.742775",0,16,8
1683830907,2023-05-11T18:48:27Z,KLM1595,"52.313656,4.742908",0,15,22
1683830910,2023-05-11T18:48:30Z,KLM1595,"52.313824,4.743151",0,14,47
1683830913,2023-05-11T18:48:33Z,KLM1595,"52.313892,4.743367",0,14,67
1683830915,2023-05-11T18:48:35Z,KLM1595,"52.313919,4.743614",0,12,81
1683830919,2023-05-11T18:48:39Z,KLM1595,"52.313942,4.743958",0,0,87
1683830923,2023-05-11T18:48:43Z,KLM1595,"52.31395,4.74425",0,12,87
1683830926,2023-05-11T18:48:46Z,KLM1595,"52.313953,4.74453",0,12,87
1683830929,2023-05-11T18:48:49Z,KLM1595,"52.313961,4.744779",0,11,87
1683830933,2023-05-11T18:48:53Z,KLM1595,"52.313972,4.745074",0,7,87
1683830939,2023-05-11T18:48:59Z,KLM1595,"52.313972,4.745388",0,7,87
1683830956,2023-05-11T18:49:16Z,KLM1595,"52.314148,4.746506",0,0,50
1683830962,2023-05-11T18:49:22Z,KLM1595,"52.314381,4.746682",0,9,16
1683831024,2023-05-11T18:50:24Z,KLM1595,"52.31543,4.746628",0,0,357
1683831036,2023-05-11T18:50:36Z,KLM1595,"52.315662,4.746624",0,1,357
1683831050,2023-05-11T18:50:50Z,KLM1595,"52.313995,4.74574",0,0,357
1683831115,2023-05-11T18:51:55Z,KLM1595,"52.316452,4.746819",0,0,25
1683831208,2023-05-11T18:53:28Z,KLM1595,"52.317593,4.776306",100,146,88
1683831214,2023-05-11T18:53:34Z,KLM1595,"52.317673,4.779968",425,139,87
1683831220,2023-05-11T18:53:40Z,KLM1595,"52.317917,4.786822",700,137,86
1683831226,2023-05-11T18:53:46Z,KLM1595,"52.318245,4.794747",950,138,85
