Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1683832351,2023-05-11T19:12:31Z,KLM50A,"52.306458,4.772358",0,19,92
1683832358,2023-05-11T19:12:38Z,KLM50A,"52.306423,4.773502",0,18,92
1683832365,2023-05-11T19:12:45Z,KLM50A,"52.306408,4.774482",0,18,90
1683832368,2023-05-11T19:12:48Z,KLM50A,"52.306423,4.774876",0,17,87
1683832371,2023-05-11T19:12:51Z,KLM50A,"52.306458,4.775124",0,17,81
1683832372,2023-05-11T19:12:52Z,KLM50A,"52.306503,4.775372",0,16,75
1683832376,2023-05-11T19:12:56Z,KLM50A,"52.306664,4.775715",0,14,53
1683832380,2023-05-11T19:13:00Z,KLM50A,"52.306892,4.775906",0,14,22
1683832384,2023-05-11T19:13:04Z,KLM50A,"52.307133,4.775963",0,14,5
1683832387,2023-05-11T19:13:07Z,KLM50A,"52.307362,4.775973",0,14,2
1683832391,2023-05-11T19:13:11Z,KLM50A,"52.307644,4.775992",0,15,2
1683832395,2023-05-11T19:13:15Z,KLM50A,"52.307968,4.776012",0,17,2
1683832398,2023-05-11T19:13:18Z,KLM50A,"52.308208,4.776058",0,18,2
1683832404,2023-05-11T19:13:24Z,KLM50A,"52.308781,4.776096",0,20,2
1683832410,2023-05-11T19:13:30Z,KLM50A,"52.309353,4.776149",0,22,2
1683832416,2023-05-11T19:13:36Z,KLM50A,"52.309971,4.776211",0,22,2
1683832422,2023-05-11T19:13:42Z,KLM50A,"52.3106,4.776268",0,21,2
1683832428,2023-05-11T19:13:48Z,KLM50A,"52.311195,4.776325",0,21,2
1683832439,2023-05-11T19:13:59Z,KLM50A,"52.312191,4.776402",0,20,2
1683832445,2023-05-11T19:14:05Z,KLM50A,"52.312763,4.776463",0,20,2
1683832451,2023-05-11T19:14:11Z,KLM50A,"52.313343,4.776522",0,19,2
1683832457,2023-05-11T19:14:17Z,KLM50A,"52.313904,4.776561",0,20,2
1683832460,2023-05-11T19:14:20Z,KLM50A,"52.314205,4.776535",0,21,354
1683832462,2023-05-11T19:14:22Z,KLM50A,"52.314411,4.776459",0,21,348
1683832465,2023-05-11T19:14:25Z,KLM50A,"52.314659,4.776267",0,22,337
1683832469,2023-05-11T19:14:29Z,KLM50A,"52.315022,4.775875",0,22,320
1683832473,2023-05-11T19:14:33Z,KLM50A,"52.3153,4.775364",0,23,315
1683832477,2023-05-11T19:14:37Z,KLM50A,"52.315544,4.774933",0,24,309
1683832478,2023-05-11T19:14:38Z,KLM50A,"52.315624,4.774609",0,25,303
1683832482,2023-05-11T19:14:42Z,KLM50A,"52.315762,4.773903",0,25,286
1683832483,2023-05-11T19:14:43Z,KLM50A,"52.3158,4.773697",0,26,281
1683832485,2023-05-11T19:14:45Z,KLM50A,"52.315788,4.773304",0,0,275
1683832490,2023-05-11T19:14:50Z,KLM50A,"52.31575,4.772282",0,27,267
1683832491,2023-05-11T19:14:51Z,KLM50A,"52.315742,4.772069",0,27,267
1683832493,2023-05-11T19:14:53Z,KLM50A,"52.315731,4.771657",0,27,267
1683832497,2023-05-11T19:14:57Z,KLM50A,"52.315697,4.770793",0,28,267
1683832501,2023-05-11T19:15:01Z,KLM50A,"52.315662,4.76993",0,28,267
