Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1683831778,2023-05-11T19:02:58Z,KLM87Y,"52.303986,4.767857",0,0,239
1683831974,2023-05-11T19:06:14Z,KLM87Y,"52.303905,4.767654",0,0,236
1683831983,2023-05-11T19:06:23Z,KLM87Y,"52.303814,4.767399",0,5,239
1683831989,2023-05-11T19:06:29Z,KLM87Y,"52.303719,4.767144",0,6,239
1683831999,2023-05-11T19:06:39Z,KLM87Y,"52.303539,4.766693",0,8,236
1683832007,2023-05-11T19:06:47Z,KLM87Y,"52.303368,4.766254",0,9,236
1683832021,2023-05-11T19:07:01Z,KLM87Y,"52.30299,4.765282",0,12,239
1683832031,2023-05-11T19:07:11Z,KLM87Y,"52.302673,4.764437",0,15,239
1683832042,2023-05-11T19:07:22Z,KLM87Y,"52.302223,4.76326",0,18,239
1683832049,2023-05-11T19:07:29Z,KLM87Y,"52.301834,4.762249",0,21,239
1683832097,2023-05-11T19:08:17Z,KLM87Y,"52.298763,4.754275",0,0,236
1683832105,2023-05-11T19:08:25Z,KLM87Y,"52.298424,4.753058",0,23,258
1683832133,2023-05-11T19:08:53Z,KLM87Y,"52.299984,4.749076",0,0,312
1683832140,2023-05-11T19:09:00Z,KLM87Y,"52.300495,4.748154",0,21,312
1683832150,2023-05-11T19:09:10Z,KLM87Y,"52.301102,4.747009",0,20,312
1683832157,2023-05-11T19:09:17Z,KLM87Y,"52.301567,4.746133",0,0,312
1683832164,2023-05-11T19:09:24Z,KLM87Y,"52.301964,4.745427",0,20,312
1683832173,2023-05-11T19:09:33Z,KLM87Y,"52.302532,4.744358",0,21,309
1683832178,2023-05-11T19:09:38Z,KLM87Y,"52.30291,4.743633",0,22,309
1683832187,2023-05-11T19:09:47Z,KLM87Y,"52.303486,4.742562",0,22,317
1683832189,2023-05-11T19:09:49Z,KLM87Y,"52.303665,4.742336",0,23,323
1683832192,2023-05-11T19:09:52Z,KLM87Y,"52.303951,4.742111",0,26,337
1683832195,2023-05-11T19:09:55Z,KLM87Y,"52.304214,4.741974",0,25,348
1683832199,2023-05-11T19:09:59Z,KLM87Y,"52.304745,4.741954",0,26,2
1683832206,2023-05-11T19:10:06Z,KLM87Y,"52.305611,4.74205",0,28,2
1683832208,2023-05-11T19:10:08Z,KLM87Y,"52.305943,4.742088",0,28,2
1683832216,2023-05-11T19:10:16Z,KLM87Y,"52.30695,4.742184",0,29,2
1683832219,2023-05-11T19:10:19Z,KLM87Y,"52.307327,4.742209",0,28,2
1683832224,2023-05-11T19:10:24Z,KLM87Y,"52.30806,4.742268",0,28,2
1683832231,2023-05-11T19:10:31Z,KLM87Y,"52.308899,4.742347",0,26,2
1683832236,2023-05-11T19:10:36Z,KLM87Y,"52.30954,4.742386",0,26,2
1683832242,2023-05-11T19:10:42Z,KLM87Y,"52.310303,4.74247",0,25,2
1683832248,2023-05-11T19:10:48Z,KLM87Y,"52.310978,4.742546",0,25,2
1683832255,2023-05-11T19:10:55Z,KLM87Y,"52.311722,4.742603",0,24,2
1683832261,2023-05-11T19:11:01Z,KLM87Y,"52.312424,4.742661",0,24,2
1683832266,2023-05-11T19:11:06Z,KLM87Y,"52.312992,4.742718",0,23,2
1683832272,2023-05-11T19:11:12Z,KLM87Y,"52.313667,4.742775",0,23,2
1683832279,2023-05-11T19:11:19Z,KLM87Y,"52.314381,4.742857",0,23,2
1683832285,2023-05-11T19:11:25Z,KLM87Y,"52.315022,4.742935",0,23,2
1683832291,2023-05-11T19:11:31Z,KLM87Y,"52.315639,4.742994",0,23,2
1683832298,2023-05-11T19:11:38Z,KLM87Y,"52.316406,4.743073",0,23,2
1683832304,2023-05-11T19:11:44Z,KLM87Y,"52.317078,4.743118",0,23,2
1683832310,2023-05-11T19:11:50Z,KLM87Y,"52.317673,4.743171",0,22,2
1683832316,2023-05-11T19:11:56Z,KLM87Y,"52.318325,4.743233",0,22,2
1683832322,2023-05-11T19:12:02Z,KLM87Y,"52.318932,4.74329",0,21,2
1683832327,2023-05-11T19:12:07Z,KLM87Y,"52.319469,4.743366",0,19,2
1683832331,2023-05-11T19:12:11Z,KLM87Y,"52.319756,4.743366",0,16,357
1683832334,2023-05-11T19:12:14Z,KLM87Y,"52.319962,4.743271",0,15,343
1683832337,2023-05-11T19:12:17Z,KLM87Y,"52.320156,4.743023",0,16,317
1683832340,2023-05-11T19:12:20Z,KLM87Y,"52.320259,4.742759",0,16,298
1683832342,2023-05-11T19:12:22Z,KLM87Y,"52.320293,4.742508",0,16,284
1683832345,2023-05-11T19:12:25Z,KLM87Y,"52.320305,4.742184",0,15,275
1683832347,2023-05-11T19:12:27Z,KLM87Y,"52.320328,4.741898",0,15,275
1683832349,2023-05-11T19:12:29Z,KLM87Y,"52.320339,4.741641",0,15,272
1683832352,2023-05-11T19:12:32Z,KLM87Y,"52.320351,4.741344",0,16,272
1683832354,2023-05-11T19:12:34Z,KLM87Y,"52.320362,4.741032",0,17,272
1683832356,2023-05-11T19:12:36Z,KLM87Y,"52.320385,4.740753",0,17,272
1683832359,2023-05-11T19:12:39Z,KLM87Y,"52.320385,4.74041",0,18,272
1683832364,2023-05-11T19:12:44Z,KLM87Y,"52.320419,4.739552",0,20,272
1683832371,2023-05-11T19:12:51Z,KLM87Y,"52.320469,4.738482",0,23,272
1683832377,2023-05-11T19:12:57Z,KLM87Y,"52.320499,4.737282",0,25,272
1683832383,2023-05-11T19:13:03Z,KLM87Y,"52.320538,4.736147",0,24,272
1683832389,2023-05-11T19:13:09Z,KLM87Y,"52.320572,4.735107",0,23,275
1683832390,2023-05-11T19:13:10Z,KLM87Y,"52.32058,4.734859",0,23,278
1683832392,2023-05-11T19:13:12Z,KLM87Y,"52.320618,4.734578",0,22,284
1683832394,2023-05-11T19:13:14Z,KLM87Y,"52.320702,4.734244",0,22,292
1683832396,2023-05-11T19:13:16Z,KLM87Y,"52.320797,4.733944",0,22,300
1683832398,2023-05-11T19:13:18Z,KLM87Y,"52.320934,4.733636",0,22,309
1683832400,2023-05-11T19:13:20Z,KLM87Y,"52.321072,4.733401",0,22,315
1683832402,2023-05-11T19:13:22Z,KLM87Y,"52.32122,4.733162",0,22,317
1683832405,2023-05-11T19:13:25Z,KLM87Y,"52.321426,4.732857",0,22,317
1683832407,2023-05-11T19:13:27Z,KLM87Y,"52.321621,4.732577",0,22,317
1683832409,2023-05-11T19:13:29Z,KLM87Y,"52.321781,4.732341",0,23,320
1683832411,2023-05-11T19:13:31Z,KLM87Y,"52.321945,4.732125",0,24,320
1683832413,2023-05-11T19:13:33Z,KLM87Y,"52.322121,4.73189",0,24,317
1683832419,2023-05-11T19:13:39Z,KLM87Y,"52.32262,4.731144",0,26,317
1683832425,2023-05-11T19:13:45Z,KLM87Y,"52.323223,4.730301",0,28,320
1683832431,2023-05-11T19:13:51Z,KLM87Y,"52.323841,4.729418",0,28,317
1683832437,2023-05-11T19:13:57Z,KLM87Y,"52.324413,4.728614",0,28,320
1683832443,2023-05-11T19:14:03Z,KLM87Y,"52.325043,4.727726",0,28,317
1683832450,2023-05-11T19:14:10Z,KLM87Y,"52.325668,4.726848",0,27,320
1683832456,2023-05-11T19:14:16Z,KLM87Y,"52.326263,4.726024",0,27,320
1683832460,2023-05-11T19:14:20Z,KLM87Y,"52.326668,4.725456",0,26,315
