Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1683830435,2023-05-11T18:40:35Z,KLM90C,"52.302029,4.757309",0,4,149
1683830445,2023-05-11T18:40:45Z,KLM90C,"52.301777,4.757551",0,8,149
1683830454,2023-05-11T18:40:54Z,KLM90C,"52.301476,4.757865",0,10,149
1683830513,2023-05-11T18:41:53Z,KLM90C,"52.298916,4.754696",0,0,239
1683830527,2023-05-11T18:42:07Z,KLM90C,"52.298412,4.752882",0,19,264
1683830591,2023-05-11T18:43:11Z,KLM90C,"52.302567,4.744244",0,0,309
1683830600,2023-05-11T18:43:20Z,KLM90C,"52.303265,4.742889",0,26,315
1683830603,2023-05-11T18:43:23Z,KLM90C,"52.303535,4.742484",0,26,323
1683830605,2023-05-11T18:43:25Z,KLM90C,"52.303745,4.742268",0,26,329
1683830608,2023-05-11T18:43:28Z,KLM90C,"52.304077,4.742031",0,26,343
1683830613,2023-05-11T18:43:33Z,KLM90C,"52.304684,4.741936",0,27,2
1683830615,2023-05-11T18:43:35Z,KLM90C,"52.304947,4.741955",0,28,5
1683830620,2023-05-11T18:43:40Z,KLM90C,"52.305645,4.742031",0,29,2
1683830623,2023-05-11T18:43:43Z,KLM90C,"52.306049,4.742072",0,29,5
1683830625,2023-05-11T18:43:45Z,KLM90C,"52.306297,4.742088",0,29,2
1683830630,2023-05-11T18:43:50Z,KLM90C,"52.306992,4.74215",0,29,2
1683830644,2023-05-11T18:44:04Z,KLM90C,"52.308941,4.742317",0,29,2
1683830655,2023-05-11T18:44:15Z,KLM90C,"52.310425,4.742465",0,30,5
1683830663,2023-05-11T18:44:23Z,KLM90C,"52.311657,4.742562",0,30,2
1683830670,2023-05-11T18:44:30Z,KLM90C,"52.312576,4.742661",0,31,2
1683830675,2023-05-11T18:44:35Z,KLM90C,"52.313393,4.742719",0,31,2
1683830682,2023-05-11T18:44:42Z,KLM90C,"52.314331,4.742813",0,31,2
1683830688,2023-05-11T18:44:48Z,KLM90C,"52.31517,4.742896",0,31,5
1683830698,2023-05-11T18:44:58Z,KLM90C,"52.316593,4.743033",0,30,2
1683830704,2023-05-11T18:45:04Z,KLM90C,"52.317383,4.743131",0,30,5
1683830710,2023-05-11T18:45:10Z,KLM90C,"52.318314,4.743252",0,29,5
1683830716,2023-05-11T18:45:16Z,KLM90C,"52.319035,4.743347",0,23,2
1683830721,2023-05-11T18:45:21Z,KLM90C,"52.319527,4.743385",0,17,2
1683830725,2023-05-11T18:45:25Z,KLM90C,"52.319794,4.743328",0,17,345
1683830728,2023-05-11T18:45:28Z,KLM90C,"52.320004,4.743171",0,17,331
1683830732,2023-05-11T18:45:32Z,KLM90C,"52.320248,4.742794",0,17,306
1683830734,2023-05-11T18:45:34Z,KLM90C,"52.320339,4.742523",0,17,292
1683830736,2023-05-11T18:45:36Z,KLM90C,"52.320374,4.742268",0,17,281
1683830738,2023-05-11T18:45:38Z,KLM90C,"52.320385,4.741993",0,17,267
1683830740,2023-05-11T18:45:40Z,KLM90C,"52.320374,4.741778",0,18,264
1683830741,2023-05-11T18:45:41Z,KLM90C,"52.320362,4.741542",0,18,267
1683830743,2023-05-11T18:45:43Z,KLM90C,"52.320362,4.741307",0,19,270
1683830745,2023-05-11T18:45:45Z,KLM90C,"52.320374,4.74102",0,20,272
1683830746,2023-05-11T18:45:46Z,KLM90C,"52.320374,4.740797",0,21,272
1683830749,2023-05-11T18:45:49Z,KLM90C,"52.320385,4.740429",0,22,272
1683830750,2023-05-11T18:45:50Z,KLM90C,"52.320396,4.740143",0,23,272
1683830751,2023-05-11T18:45:51Z,KLM90C,"52.320396,4.739894",0,23,272
1683830753,2023-05-11T18:45:53Z,KLM90C,"52.320408,4.739628",0,24,272
1683830756,2023-05-11T18:45:56Z,KLM90C,"52.320431,4.739017",0,25,272
1683830757,2023-05-11T18:45:57Z,KLM90C,"52.320446,4.738815",0,25,275
1683830758,2023-05-11T18:45:58Z,KLM90C,"52.320446,4.73858",0,26,275
