Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1683830319,2023-05-11T18:38:39Z,KLM59H,"52.306538,4.77252",0,0,59
1683830488,2023-05-11T18:41:28Z,KLM59H,"52.306477,4.773226",0,0,106
1683830499,2023-05-11T18:41:39Z,KLM59H,"52.306423,4.773712",0,7,95
1683830502,2023-05-11T18:41:42Z,KLM59H,"52.306419,4.773913",0,8,92
1683830505,2023-05-11T18:41:45Z,KLM59H,"52.306412,4.774151",0,9,90
1683830510,2023-05-11T18:41:50Z,KLM59H,"52.306423,4.774513",0,10,87
1683830518,2023-05-11T18:41:58Z,KLM59H,"52.306442,4.775227",0,12,84
1683830524,2023-05-11T18:42:04Z,KLM59H,"52.306561,4.775639",0,12,56
1683830527,2023-05-11T18:42:07Z,KLM59H,"52.306732,4.775848",0,12,28
1683830532,2023-05-11T18:42:12Z,KLM59H,"52.306957,4.775914",0,12,8
1683830536,2023-05-11T18:42:16Z,KLM59H,"52.307247,4.775953",0,13,2
1683830540,2023-05-11T18:42:20Z,KLM59H,"52.307514,4.775973",0,14,2
1683830543,2023-05-11T18:42:23Z,KLM59H,"52.307716,4.775982",0,15,2
1683830546,2023-05-11T18:42:26Z,KLM59H,"52.307922,4.776012",0,15,2
1683830552,2023-05-11T18:42:32Z,KLM59H,"52.308331,4.776051",0,15,2
1683830558,2023-05-11T18:42:38Z,KLM59H,"52.308746,4.77609",0,14,2
1683830564,2023-05-11T18:42:44Z,KLM59H,"52.309052,4.77611",0,11,2
1683830570,2023-05-11T18:42:50Z,KLM59H,"52.309399,4.77613",0,12,2
1683830578,2023-05-11T18:42:58Z,KLM59H,"52.309875,4.776188",0,15,2
1683830583,2023-05-11T18:43:03Z,KLM59H,"52.31036,4.77623",0,19,2
1683830601,2023-05-11T18:43:21Z,KLM59H,"52.312317,4.776421",0,26,2
1683830609,2023-05-11T18:43:29Z,KLM59H,"52.313263,4.776502",0,27,2
1683830617,2023-05-11T18:43:37Z,KLM59H,"52.314194,4.776535",0,25,354
1683830619,2023-05-11T18:43:39Z,KLM59H,"52.314423,4.776421",0,25,343
1683830623,2023-05-11T18:43:43Z,KLM59H,"52.314846,4.776031",0,25,326
1683830627,2023-05-11T18:43:47Z,KLM59H,"52.315208,4.775521",0,25,315
1683830631,2023-05-11T18:43:51Z,KLM59H,"52.315567,4.774818",0,26,303
1683830638,2023-05-11T18:43:58Z,KLM59H,"52.315784,4.773617",0,26,272
1683830640,2023-05-11T18:44:00Z,KLM59H,"52.315777,4.773089",0,26,267
1683830643,2023-05-11T18:44:03Z,KLM59H,"52.315762,4.772472",0,27,267
