Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1683831001,2023-05-11T18:50:01Z,KLM31K,"52.300789,4.752646",0,0,154
1683831153,2023-05-11T18:52:33Z,KLM31K,"52.299969,4.753494",0,0,149
1683831169,2023-05-11T18:52:49Z,KLM31K,"52.299328,4.754162",0,0,149
1683831182,2023-05-11T18:53:02Z,KLM31K,"52.298798,4.754353",0,9,216
1683831189,2023-05-11T18:53:09Z,KLM31K,"52.298611,4.753902",0,12,239
1683831256,2023-05-11T18:54:16Z,KLM31K,"52.301659,4.745956",0,0,312
1683831265,2023-05-11T18:54:25Z,KLM31K,"52.302372,4.744603",0,26,312
1683831271,2023-05-11T18:54:31Z,KLM31K,"52.302853,4.74371",0,26,309
1683831280,2023-05-11T18:54:40Z,KLM31K,"52.303596,4.742355",0,28,320
1683831284,2023-05-11T18:54:44Z,KLM31K,"52.304047,4.741974",0,28,343
1683831286,2023-05-11T18:54:46Z,KLM31K,"52.304256,4.741915",0,28,354
1683831288,2023-05-11T18:54:48Z,KLM31K,"52.304489,4.741917",0,28,2
1683831295,2023-05-11T18:54:55Z,KLM31K,"52.305599,4.742031",0,30,2
1683831301,2023-05-11T18:55:01Z,KLM31K,"52.306374,4.742092",0,30,2
1683831305,2023-05-11T18:55:05Z,KLM31K,"52.306973,4.742165",0,30,2
1683831313,2023-05-11T18:55:13Z,KLM31K,"52.308071,4.742241",0,26,2
1683831320,2023-05-11T18:55:20Z,KLM31K,"52.30891,4.742327",0,0,2
1683831330,2023-05-11T18:55:30Z,KLM31K,"52.310097,4.742432",0,26,2
1683831336,2023-05-11T18:55:36Z,KLM31K,"52.310856,4.742504",0,25,2
1683831342,2023-05-11T18:55:42Z,KLM31K,"52.311577,4.742582",0,26,2
1683831348,2023-05-11T18:55:48Z,KLM31K,"52.312294,4.742641",0,26,2
1683831354,2023-05-11T18:55:54Z,KLM31K,"52.31303,4.7427",0,23,2
1683831360,2023-05-11T18:56:00Z,KLM31K,"52.313625,4.742759",0,22,5
1683831367,2023-05-11T18:56:07Z,KLM31K,"52.31424,4.742813",0,18,2
1683831369,2023-05-11T18:56:09Z,KLM31K,"52.314445,4.742889",0,15,19
1683831374,2023-05-11T18:56:14Z,KLM31K,"52.314705,4.743289",0,16,61
1683831377,2023-05-11T18:56:17Z,KLM31K,"52.314754,4.743524",0,16,78
1683831378,2023-05-11T18:56:18Z,KLM31K,"52.314777,4.743779",0,16,84
1683831381,2023-05-11T18:56:21Z,KLM31K,"52.314789,4.744152",0,17,87
1683831385,2023-05-11T18:56:25Z,KLM31K,"52.3148,4.744642",0,18,87
