Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1683832332,2023-05-11T19:12:12Z,KLM1999,"52.298389,4.752541",0,0,272
1683832389,2023-05-11T19:13:09Z,KLM1999,"52.301662,4.745922",0,0,312
1683832397,2023-05-11T19:13:17Z,KLM1999,"52.302139,4.745054",0,0,312
1683832404,2023-05-11T19:13:24Z,KLM1999,"52.302544,4.744289",0,20,312
1683832409,2023-05-11T19:13:29Z,KLM1999,"52.30291,4.743595",0,21,312
1683832418,2023-05-11T19:13:38Z,KLM1999,"52.303436,4.742622",0,17,312
1683832422,2023-05-11T19:13:42Z,KLM1999,"52.303688,4.74226",0,16,320
1683832426,2023-05-11T19:13:46Z,KLM1999,"52.303978,4.742013",0,17,337
1683832429,2023-05-11T19:13:49Z,KLM1999,"52.304237,4.741936",0,18,354
1683832434,2023-05-11T19:13:54Z,KLM1999,"52.304676,4.741954",0,20,2
1683832438,2023-05-11T19:13:58Z,KLM1999,"52.305004,4.741974",0,21,2
1683832441,2023-05-11T19:14:01Z,KLM1999,"52.305313,4.742013",0,22,2
1683832443,2023-05-11T19:14:03Z,KLM1999,"52.305607,4.742033",0,23,2
1683832447,2023-05-11T19:14:07Z,KLM1999,"52.305943,4.742069",0,23,2
1683832449,2023-05-11T19:14:09Z,KLM1999,"52.306194,4.742088",0,23,2
1683832455,2023-05-11T19:14:15Z,KLM1999,"52.30685,4.74215",0,24,2
1683832465,2023-05-11T19:14:25Z,KLM1999,"52.307968,4.742249",0,24,2
1683832472,2023-05-11T19:14:32Z,KLM1999,"52.308758,4.742317",0,24,2
1683832483,2023-05-11T19:14:43Z,KLM1999,"52.310074,4.742432",0,0,2
1683832491,2023-05-11T19:14:51Z,KLM1999,"52.311001,4.742527",0,25,2
1683832497,2023-05-11T19:14:57Z,KLM1999,"52.31171,4.742584",0,25,2
1683832503,2023-05-11T19:15:03Z,KLM1999,"52.312275,4.742661",0,18,2
1683832509,2023-05-11T19:15:09Z,KLM1999,"52.312798,4.742699",0,17,2
1683832515,2023-05-11T19:15:15Z,KLM1999,"52.313301,4.742737",0,18,2
1683832523,2023-05-11T19:15:23Z,KLM1999,"52.313919,4.742794",0,14,2
1683832529,2023-05-11T19:15:29Z,KLM1999,"52.314228,4.742832",0,11,5
1683832534,2023-05-11T19:15:34Z,KLM1999,"52.314499,4.742994",0,11,25
1683832538,2023-05-11T19:15:38Z,KLM1999,"52.314648,4.743229",0,12,47
1683832541,2023-05-11T19:15:41Z,KLM1999,"52.314709,4.743481",0,12,64
1683832544,2023-05-11T19:15:44Z,KLM1999,"52.314754,4.74371",0,12,75
1683832547,2023-05-11T19:15:47Z,KLM1999,"52.314777,4.743955",0,12,81
1683832549,2023-05-11T19:15:49Z,KLM1999,"52.314789,4.744205",0,13,84
1683832552,2023-05-11T19:15:52Z,KLM1999,"52.3148,4.744504",0,13,87
1683832555,2023-05-11T19:15:55Z,KLM1999,"52.314812,4.744797",0,13,87
1683832557,2023-05-11T19:15:57Z,KLM1999,"52.314812,4.745007",0,14,87
1683832559,2023-05-11T19:15:59Z,KLM1999,"52.314823,4.745216",0,14,87
1683832563,2023-05-11T19:16:03Z,KLM1999,"52.314835,4.745636",0,13,87
1683832583,2023-05-11T19:16:23Z,KLM1999,"52.315533,4.746624",0,0,2
1683832601,2023-05-11T19:16:41Z,KLM1999,"52.316429,4.746761",0,0,11
1683832610,2023-05-11T19:16:50Z,KLM1999,"52.314205,4.742832",0,0,45
1683832664,2023-05-11T19:17:44Z,KLM1999,"52.317451,4.769793",0,88,86
1683832670,2023-05-11T19:17:50Z,KLM1999,"52.317684,4.777483",0,156,87
1683832676,2023-05-11T19:17:56Z,KLM1999,"52.317966,4.785095",50,155,86
1683832682,2023-05-11T19:18:02Z,KLM1999,"52.318176,4.791794",275,154,87
1683832688,2023-05-11T19:18:08Z,KLM1999,"52.318386,4.798514",525,152,86
1683832694,2023-05-11T19:18:14Z,KLM1999,"52.318588,4.805527",750,150,87
1683832700,2023-05-11T19:18:20Z,KLM1999,"52.318771,4.812317",950,151,86
1683832709,2023-05-11T19:18:29Z,KLM1999,"52.319176,4.822056",1050,165,85
1683832717,2023-05-11T19:18:37Z,KLM1999,"52.319687,4.832886",1175,175,86
1683832725,2023-05-11T19:18:45Z,KLM1999,"52.319458,4.843369",1375,184,98
1683832728,2023-05-11T19:18:48Z,KLM1999,"52.318909,4.848404",1450,187,101
1683832730,2023-05-11T19:18:50Z,KLM1999,"52.318432,4.851484",1500,189,102
1683832731,2023-05-11T19:18:51Z,KLM1999,"52.318176,4.852829",1525,193,106
1683832733,2023-05-11T19:18:53Z,KLM1999,"52.31778,4.854858",1575,196,108
1683832734,2023-05-11T19:18:54Z,KLM1999,"52.317307,4.856796",1600,200,110
1683832736,2023-05-11T19:18:56Z,KLM1999,"52.31662,4.859619",1650,201,111
1683832739,2023-05-11T19:18:59Z,KLM1999,"52.316025,4.861908",1750,208,114
1683832742,2023-05-11T19:19:02Z,KLM1999,"52.314754,4.866158",1850,208,114
1683832745,2023-05-11T19:19:05Z,KLM1999,"52.313683,4.869611",1975,216,120
