Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1651724136,2022-05-05T04:15:36Z,WZZ8BF,"47.434181,19.266054",0,0,222
1651724181,2022-05-05T04:16:21Z,WZZ8BF,"47.434319,19.26626",0,1,222
1651724209,2022-05-05T04:16:49Z,WZZ8BF,"47.434525,19.266432",0,1,253
1651724234,2022-05-05T04:17:14Z,WZZ8BF,"47.434628,19.266638",0,1,292
1651724415,2022-05-05T04:20:15Z,WZZ8BF,"47.434856,19.266415",0,5,312
1651724423,2022-05-05T04:20:23Z,WZZ8BF,"47.434998,19.266182",0,6,312
1651724430,2022-05-05T04:20:30Z,WZZ8BF,"47.435146,19.265953",0,7,312
1651724436,2022-05-05T04:20:36Z,WZZ8BF,"47.435291,19.265728",0,8,312
1651724442,2022-05-05T04:20:42Z,WZZ8BF,"47.435452,19.265471",0,9,312
1651724448,2022-05-05T04:20:48Z,WZZ8BF,"47.435612,19.265196",0,10,312
1651724454,2022-05-05T04:20:54Z,WZZ8BF,"47.435806,19.264887",0,10,312
1651724460,2022-05-05T04:21:00Z,WZZ8BF,"47.436012,19.264544",0,11,312
1651724466,2022-05-05T04:21:06Z,WZZ8BF,"47.436218,19.26421",0,12,312
1651724472,2022-05-05T04:21:12Z,WZZ8BF,"47.436382,19.263945",0,7,312
1651724479,2022-05-05T04:21:19Z,WZZ8BF,"47.436527,19.26372",0,6,312
1651724486,2022-05-05T04:21:26Z,WZZ8BF,"47.436653,19.263514",0,6,315
1651724494,2022-05-05T04:21:34Z,WZZ8BF,"47.436871,19.263453",0,6,343
1651724503,2022-05-05T04:21:43Z,WZZ8BF,"47.437077,19.263617",0,6,19
1651724511,2022-05-05T04:21:51Z,WZZ8BF,"47.437225,19.263823",0,6,39
1651724519,2022-05-05T04:21:59Z,WZZ8BF,"47.437393,19.264051",0,5,42
1651724528,2022-05-05T04:22:08Z,WZZ8BF,"47.437603,19.264235",0,7,30
1651724535,2022-05-05T04:22:15Z,WZZ8BF,"47.437836,19.264193",0,7,357
1651724543,2022-05-05T04:22:23Z,WZZ8BF,"47.438,19.263981",0,5,326
1651724551,2022-05-05T04:22:31Z,WZZ8BF,"47.438126,19.263769",0,5,315
1651724559,2022-05-05T04:22:39Z,WZZ8BF,"47.438255,19.263565",0,5,312
1651724567,2022-05-05T04:22:47Z,WZZ8BF,"47.438381,19.263365",0,5,312
1651724576,2022-05-05T04:22:56Z,WZZ8BF,"47.438519,19.263136",0,4,312
1651724585,2022-05-05T04:23:05Z,WZZ8BF,"47.438644,19.26293",0,5,312
1651724593,2022-05-05T04:23:13Z,WZZ8BF,"47.438782,19.262724",0,6,312
1651724600,2022-05-05T04:23:20Z,WZZ8BF,"47.438908,19.262501",0,6,312
1651724607,2022-05-05T04:23:27Z,WZZ8BF,"47.439045,19.262295",0,7,312
