Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1659067774,2022-07-29T04:09:34Z,WZZ8KZ,"47.435909,19.258432",0,0,312
1659067847,2022-07-29T04:10:47Z,WZZ8KZ,"47.435787,19.258646",0,2,312
1659067869,2022-07-29T04:11:09Z,WZZ8KZ,"47.435684,19.258858",0,1,326
1659067898,2022-07-29T04:11:38Z,WZZ8KZ,"47.435532,19.259068",0,1,28
1659068113,2022-07-29T04:15:13Z,WZZ8KZ,"47.435635,19.259274",0,6,42
1659068119,2022-07-29T04:15:19Z,WZZ8KZ,"47.435787,19.259474",0,8,42
1659068125,2022-07-29T04:15:25Z,WZZ8KZ,"47.435944,19.259686",0,8,42
1659068132,2022-07-29T04:15:32Z,WZZ8KZ,"47.436138,19.259943",0,9,42
1659068138,2022-07-29T04:15:38Z,WZZ8KZ,"47.436298,19.26016",0,8,42
1659068143,2022-07-29T04:15:43Z,WZZ8KZ,"47.43647,19.260372",0,8,39
1659068149,2022-07-29T04:15:49Z,WZZ8KZ,"47.436695,19.26046",0,9,14
1659068155,2022-07-29T04:15:55Z,WZZ8KZ,"47.436928,19.260336",0,9,340
1659068161,2022-07-29T04:16:01Z,WZZ8KZ,"47.437092,19.260107",0,8,317
1659068166,2022-07-29T04:16:06Z,WZZ8KZ,"47.437218,19.259895",0,8,312
1659068173,2022-07-29T04:16:13Z,WZZ8KZ,"47.437386,19.259686",0,6,320
1659068182,2022-07-29T04:16:22Z,WZZ8KZ,"47.437614,19.259634",0,6,351
1659068191,2022-07-29T04:16:31Z,WZZ8KZ,"47.437836,19.25979",0,7,25
1659068196,2022-07-29T04:16:36Z,WZZ8KZ,"47.437988,19.260002",0,9,39
1659068201,2022-07-29T04:16:41Z,WZZ8KZ,"47.438141,19.260218",0,10,42
1659068206,2022-07-29T04:16:46Z,WZZ8KZ,"47.438324,19.26046",0,11,42
1659068211,2022-07-29T04:16:51Z,WZZ8KZ,"47.438511,19.260706",0,11,42
1659068218,2022-07-29T04:16:58Z,WZZ8KZ,"47.438766,19.261059",0,11,42
1659068223,2022-07-29T04:17:03Z,WZZ8KZ,"47.439011,19.261375",0,12,42
1659068232,2022-07-29T04:17:12Z,WZZ8KZ,"47.439342,19.261814",0,11,42
1659068239,2022-07-29T04:17:19Z,WZZ8KZ,"47.43956,19.262114",0,8,42
1659068246,2022-07-29T04:17:26Z,WZZ8KZ,"47.439709,19.262325",0,5,42
1659068333,2022-07-29T04:18:53Z,WZZ8KZ,"47.439896,19.262554",0,2,42
1659068343,2022-07-29T04:19:03Z,WZZ8KZ,"47.440041,19.262775",0,5,42
1659068350,2022-07-29T04:19:10Z,WZZ8KZ,"47.440197,19.262978",0,7,42
1659068356,2022-07-29T04:19:16Z,WZZ8KZ,"47.440372,19.263239",0,9,45
1659068361,2022-07-29T04:19:21Z,WZZ8KZ,"47.440498,19.263514",0,10,56
1659068365,2022-07-29T04:19:25Z,WZZ8KZ,"47.440571,19.263769",0,11,64
1659068368,2022-07-29T04:19:28Z,WZZ8KZ,"47.440624,19.263977",0,11,70
1659068371,2022-07-29T04:19:31Z,WZZ8KZ,"47.440651,19.264244",0,11,78
1659068374,2022-07-29T04:19:34Z,WZZ8KZ,"47.440662,19.264473",0,12,84
1659068377,2022-07-29T04:19:37Z,WZZ8KZ,"47.440662,19.264685",0,12,90
1659068380,2022-07-29T04:19:40Z,WZZ8KZ,"47.440647,19.264921",0,11,92
1659068383,2022-07-29T04:19:43Z,WZZ8KZ,"47.440617,19.265142",0,10,101
1659068387,2022-07-29T04:19:47Z,WZZ8KZ,"47.440536,19.265388",0,11,112
1659068390,2022-07-29T04:19:50Z,WZZ8KZ,"47.440453,19.265591",0,11,123
1659068394,2022-07-29T04:19:54Z,WZZ8KZ,"47.440304,19.265831",0,12,129
1659068398,2022-07-29T04:19:58Z,WZZ8KZ,"47.44014,19.266094",0,13,132
1659068401,2022-07-29T04:20:01Z,WZZ8KZ,"47.440002,19.266323",0,15,132
1659068404,2022-07-29T04:20:04Z,WZZ8KZ,"47.439838,19.266569",0,17,132
1659068406,2022-07-29T04:20:06Z,WZZ8KZ,"47.439709,19.266798",0,20,132
1659068412,2022-07-29T04:20:12Z,WZZ8KZ,"47.439022,19.267906",0,46,132
1659068418,2022-07-29T04:20:18Z,WZZ8KZ,"47.437786,19.269917",0,76,132
1659068425,2022-07-29T04:20:25Z,WZZ8KZ,"47.435799,19.273119",425,105,132
1659068431,2022-07-29T04:20:31Z,WZZ8KZ,"47.433239,19.277273",400,136,132
1659068437,2022-07-29T04:20:37Z,WZZ8KZ,"47.431366,19.280319",350,159,132
1659068443,2022-07-29T04:20:43Z,WZZ8KZ,"47.427429,19.286705",525,166,132
1659068449,2022-07-29T04:20:49Z,WZZ8KZ,"47.424545,19.291374",775,162,132
1659068455,2022-07-29T04:20:55Z,WZZ8KZ,"47.421555,19.296358",1075,161,131
1659068461,2022-07-29T04:21:01Z,WZZ8KZ,"47.418823,19.300987",1400,157,130
1659068464,2022-07-29T04:21:04Z,WZZ8KZ,"47.417542,19.303391",1575,154,127
1659068467,2022-07-29T04:21:07Z,WZZ8KZ,"47.416248,19.306007",1750,154,126
1659068470,2022-07-29T04:21:10Z,WZZ8KZ,"47.414932,19.308746",1875,155,124
