Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1664511803,2022-09-30T04:23:23Z,WZZ8KZ,"47.43346,19.266991",0,0,222
1664512052,2022-09-30T04:27:32Z,WZZ8KZ,"47.433296,19.266781",0,4,222
1664512059,2022-09-30T04:27:39Z,WZZ8KZ,"47.433086,19.266762",0,7,191
1664512067,2022-09-30T04:27:47Z,WZZ8KZ,"47.432865,19.266981",0,10,151
1664512070,2022-09-30T04:27:50Z,WZZ8KZ,"47.432728,19.267185",0,11,137
1664512074,2022-09-30T04:27:54Z,WZZ8KZ,"47.43259,19.26741",0,11,135
1664512079,2022-09-30T04:27:59Z,WZZ8KZ,"47.432487,19.267668",0,10,123
1664512082,2022-09-30T04:28:02Z,WZZ8KZ,"47.432461,19.267872",0,10,106
1664512085,2022-09-30T04:28:05Z,WZZ8KZ,"47.432476,19.268097",0,11,92
1664512090,2022-09-30T04:28:10Z,WZZ8KZ,"47.432556,19.268457",0,12,73
1664512093,2022-09-30T04:28:13Z,WZZ8KZ,"47.432621,19.268681",0,13,70
1664512096,2022-09-30T04:28:16Z,WZZ8KZ,"47.432693,19.268938",0,14,67
1664512099,2022-09-30T04:28:19Z,WZZ8KZ,"47.432774,19.269247",0,15,67
1664512102,2022-09-30T04:28:22Z,WZZ8KZ,"47.432854,19.269527",0,15,67
1664512106,2022-09-30T04:28:26Z,WZZ8KZ,"47.432961,19.269896",0,14,67
1664512111,2022-09-30T04:28:31Z,WZZ8KZ,"47.433083,19.270329",0,12,67
1664512117,2022-09-30T04:28:37Z,WZZ8KZ,"47.433216,19.270723",0,11,59
1664512123,2022-09-30T04:28:43Z,WZZ8KZ,"47.433529,19.270878",0,12,16
1664512127,2022-09-30T04:28:47Z,WZZ8KZ,"47.433735,19.270792",0,13,348
1664512131,2022-09-30T04:28:51Z,WZZ8KZ,"47.433937,19.270548",0,13,323
1664512135,2022-09-30T04:28:55Z,WZZ8KZ,"47.43409,19.270311",0,13,315
1664512139,2022-09-30T04:28:59Z,WZZ8KZ,"47.43425,19.270054",0,13,312
1664512145,2022-09-30T04:29:05Z,WZZ8KZ,"47.434536,19.26959",0,15,312
1664512148,2022-09-30T04:29:08Z,WZZ8KZ,"47.434685,19.269333",0,17,312
