Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1668079206,2022-11-10T11:20:06Z,WZZ81RZ,"47.434204,19.266075",0,0,222
1668079279,2022-11-10T11:21:19Z,WZZ81RZ,"47.434357,19.266287",0,2,222
1668079306,2022-11-10T11:21:46Z,WZZ81RZ,"47.434555,19.266516",0,2,253
1668079327,2022-11-10T11:22:07Z,WZZ81RZ,"47.434635,19.266745",0,2,300
1668079348,2022-11-10T11:22:28Z,WZZ81RZ,"47.434559,19.266947",0,1,312
1668079412,2022-11-10T11:23:32Z,WZZ81RZ,"47.434399,19.266329",0,0,312
1668079451,2022-11-10T11:24:11Z,WZZ81RZ,"47.434547,19.266947",0,0,312
1668079541,2022-11-10T11:25:41Z,WZZ81RZ,"47.434681,19.266745",0,4,315
1668079550,2022-11-10T11:25:50Z,WZZ81RZ,"47.434834,19.2665",0,6,312
1668079557,2022-11-10T11:25:57Z,WZZ81RZ,"47.434971,19.266277",0,8,312
1668079562,2022-11-10T11:26:02Z,WZZ81RZ,"47.435131,19.26602",0,9,312
1668079577,2022-11-10T11:26:17Z,WZZ81RZ,"47.435577,19.265282",0,12,312
1668079582,2022-11-10T11:26:22Z,WZZ81RZ,"47.435829,19.264887",0,13,312
1668079588,2022-11-10T11:26:28Z,WZZ81RZ,"47.436115,19.264421",0,14,312
1668079594,2022-11-10T11:26:34Z,WZZ81RZ,"47.436359,19.264015",0,14,312
1668079610,2022-11-10T11:26:50Z,WZZ81RZ,"47.436813,19.262854",0,12,275
1668079614,2022-11-10T11:26:54Z,WZZ81RZ,"47.436802,19.262501",0,12,270
1668079616,2022-11-10T11:26:56Z,WZZ81RZ,"47.436787,19.262272",0,13,270
1668079618,2022-11-10T11:26:58Z,WZZ81RZ,"47.436787,19.262043",0,13,267
1668079622,2022-11-10T11:27:02Z,WZZ81RZ,"47.436779,19.261763",0,14,267
1668079629,2022-11-10T11:27:09Z,WZZ81RZ,"47.436764,19.26104",0,14,270
1668079631,2022-11-10T11:27:11Z,WZZ81RZ,"47.436779,19.260818",0,13,275
1668079641,2022-11-10T11:27:21Z,WZZ81RZ,"47.437115,19.26016",0,13,312
1668079644,2022-11-10T11:27:24Z,WZZ81RZ,"47.437241,19.259949",0,12,312
1668079649,2022-11-10T11:27:29Z,WZZ81RZ,"47.437363,19.25972",0,10,309
1668079658,2022-11-10T11:27:38Z,WZZ81RZ,"47.437313,19.259104",0,11,244
1668079662,2022-11-10T11:27:42Z,WZZ81RZ,"47.437157,19.258879",0,12,227
1668079669,2022-11-10T11:27:49Z,WZZ81RZ,"47.436813,19.258417",0,15,222
1668079674,2022-11-10T11:27:54Z,WZZ81RZ,"47.436539,19.258038",0,16,222
1668079677,2022-11-10T11:27:57Z,WZZ81RZ,"47.436356,19.257797",0,17,222
1668079682,2022-11-10T11:28:02Z,WZZ81RZ,"47.436031,19.25736",0,18,222
1668079688,2022-11-10T11:28:08Z,WZZ81RZ,"47.435612,19.256779",0,21,222
1668079702,2022-11-10T11:28:22Z,WZZ81RZ,"47.434544,19.255354",0,25,225
1668079710,2022-11-10T11:28:30Z,WZZ81RZ,"47.433857,19.254438",0,22,222
1668079717,2022-11-10T11:28:37Z,WZZ81RZ,"47.433392,19.253803",0,19,222
1668079722,2022-11-10T11:28:42Z,WZZ81RZ,"47.433029,19.253311",0,16,222
1668079729,2022-11-10T11:28:49Z,WZZ81RZ,"47.432655,19.252819",0,18,222
1668079735,2022-11-10T11:28:55Z,WZZ81RZ,"47.432304,19.252356",0,17,222
1668079741,2022-11-10T11:29:01Z,WZZ81RZ,"47.431923,19.25185",0,17,222
1668079747,2022-11-10T11:29:07Z,WZZ81RZ,"47.431587,19.251392",0,15,222
1668079753,2022-11-10T11:29:13Z,WZZ81RZ,"47.431332,19.251051",0,12,222
1668079759,2022-11-10T11:29:19Z,WZZ81RZ,"47.431087,19.250723",0,12,222
1668079765,2022-11-10T11:29:25Z,WZZ81RZ,"47.430874,19.250433",0,9,222
1668079772,2022-11-10T11:29:32Z,WZZ81RZ,"47.430714,19.250227",0,6,222
1668079780,2022-11-10T11:29:40Z,WZZ81RZ,"47.430679,19.249966",0,6,258
1668079794,2022-11-10T11:29:54Z,WZZ81RZ,"47.430885,19.24966",0,4,312
1668079827,2022-11-10T11:30:27Z,WZZ81RZ,"47.431011,19.249454",0,8,312
1668079833,2022-11-10T11:30:33Z,WZZ81RZ,"47.431423,19.248787",0,34,312
1668079861,2022-11-10T11:31:01Z,WZZ81RZ,"47.440567,19.234039",175,150,312
1668079867,2022-11-10T11:31:07Z,WZZ81RZ,"47.443527,19.229313",425,152,312
1668079873,2022-11-10T11:31:13Z,WZZ81RZ,"47.446472,19.224701",700,148,313
1668079881,2022-11-10T11:31:21Z,WZZ81RZ,"47.449677,19.219757",1050,146,313
1668079887,2022-11-10T11:31:27Z,WZZ81RZ,"47.452148,19.215912",1350,145,313
1668079893,2022-11-10T11:31:33Z,WZZ81RZ,"47.455536,19.210693",1550,151,313
1668079899,2022-11-10T11:31:39Z,WZZ81RZ,"47.458511,19.206024",1700,156,312
1668079905,2022-11-10T11:31:45Z,WZZ81RZ,"47.46159,19.201002",1900,162,312
1668079911,2022-11-10T11:31:51Z,WZZ81RZ,"47.464523,19.196215",2050,167,312
1668079917,2022-11-10T11:31:57Z,WZZ81RZ,"47.467896,19.190781",2250,174,311
1668079923,2022-11-10T11:32:03Z,WZZ81RZ,"47.471054,19.185493",2400,179,311
1668079929,2022-11-10T11:32:09Z,WZZ81RZ,"47.474396,19.180069",2575,187,311
1668079935,2022-11-10T11:32:15Z,WZZ81RZ,"47.478302,19.173536",2725,199,311
1668079941,2022-11-10T11:32:21Z,WZZ81RZ,"47.481979,19.167551",2900,206,311
1668079947,2022-11-10T11:32:27Z,WZZ81RZ,"47.486069,19.161324",3125,215,315
1668079950,2022-11-10T11:32:30Z,WZZ81RZ,"47.48822,19.158371",3250,220,317
1668079953,2022-11-10T11:32:33Z,WZZ81RZ,"47.490826,19.155016",3350,223,319
1668079956,2022-11-10T11:32:36Z,WZZ81RZ,"47.492966,19.152409",3450,228,320
1668079959,2022-11-10T11:32:39Z,WZZ81RZ,"47.495544,19.149307",3550,232,320
1668079962,2022-11-10T11:32:42Z,WZZ81RZ,"47.498039,19.146353",3675,235,321
1668079965,2022-11-10T11:32:45Z,WZZ81RZ,"47.500881,19.142973",3800,238,321
1668079968,2022-11-10T11:32:48Z,WZZ81RZ,"47.503235,19.140175",3950,241,321
1668079971,2022-11-10T11:32:51Z,WZZ81RZ,"47.505535,19.137409",4075,242,321
1668079974,2022-11-10T11:32:54Z,WZZ81RZ,"47.508591,19.133858",4275,246,321
1668079980,2022-11-10T11:33:00Z,WZZ81RZ,"47.514038,19.127403",4650,247,321
1668079986,2022-11-10T11:33:06Z,WZZ81RZ,"47.519035,19.121422",5025,248,321
1668079998,2022-11-10T11:33:18Z,WZZ81RZ,"47.530151,19.108109",5725,253,320
1668080011,2022-11-10T11:33:31Z,WZZ81RZ,"47.54031,19.095928",6575,256,320
1668080023,2022-11-10T11:33:43Z,WZZ81RZ,"47.55336,19.080162",7350,256,320
1668080034,2022-11-10T11:33:54Z,WZZ81RZ,"47.562424,19.069176",8025,216,321
1668080045,2022-11-10T11:34:05Z,WZZ81RZ,"47.574829,19.057434",8600,266,330
1668080049,2022-11-10T11:34:09Z,WZZ81RZ,"47.577785,19.055645",8775,270,337
1668080051,2022-11-10T11:34:11Z,WZZ81RZ,"47.581375,19.05352",8900,271,338
1668080055,2022-11-10T11:34:15Z,WZZ81RZ,"47.585884,19.051067",9075,272,339
1668080058,2022-11-10T11:34:18Z,WZZ81RZ,"47.589516,19.049095",9225,274,340
1668080061,2022-11-10T11:34:21Z,WZZ81RZ,"47.592915,19.047335",9400,273,340
