Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1669201851,2022-11-23T11:10:51Z,WZZ81RZ,"47.434135,19.266041",0,0,222
1669201908,2022-11-23T11:11:48Z,WZZ81RZ,"47.434296,19.266243",0,3,222
1669201928,2022-11-23T11:12:08Z,WZZ81RZ,"47.434513,19.266466",0,2,255
1669201942,2022-11-23T11:12:22Z,WZZ81RZ,"47.434589,19.266674",0,2,295
1669201964,2022-11-23T11:12:44Z,WZZ81RZ,"47.434525,19.266878",0,1,312
1669202125,2022-11-23T11:15:25Z,WZZ81RZ,"47.434685,19.266672",0,5,312
1669202133,2022-11-23T11:15:33Z,WZZ81RZ,"47.434822,19.266466",0,6,312
1669202139,2022-11-23T11:15:39Z,WZZ81RZ,"47.434948,19.266253",0,8,312
1669202144,2022-11-23T11:15:44Z,WZZ81RZ,"47.435112,19.266005",0,9,312
1669202156,2022-11-23T11:15:56Z,WZZ81RZ,"47.435463,19.265425",0,11,312
1669202162,2022-11-23T11:16:02Z,WZZ81RZ,"47.435696,19.265055",0,12,312
1669202169,2022-11-23T11:16:09Z,WZZ81RZ,"47.435963,19.264614",0,13,312
1669202181,2022-11-23T11:16:21Z,WZZ81RZ,"47.43655,19.263668",0,13,312
1669202187,2022-11-23T11:16:27Z,WZZ81RZ,"47.436764,19.26347",0,10,334
1669202192,2022-11-23T11:16:32Z,WZZ81RZ,"47.436996,19.26354",0,10,11
1669202197,2022-11-23T11:16:37Z,WZZ81RZ,"47.43718,19.263771",0,10,39
1669202202,2022-11-23T11:16:42Z,WZZ81RZ,"47.437336,19.263998",0,11,42
1669202206,2022-11-23T11:16:46Z,WZZ81RZ,"47.437511,19.2642",0,11,33
1669202218,2022-11-23T11:16:58Z,WZZ81RZ,"47.438126,19.263786",0,14,312
1669202222,2022-11-23T11:17:02Z,WZZ81RZ,"47.438301,19.263514",0,14,312
1669202226,2022-11-23T11:17:06Z,WZZ81RZ,"47.438484,19.263205",0,14,312
1669202232,2022-11-23T11:17:12Z,WZZ81RZ,"47.438747,19.262775",0,15,312
1669202236,2022-11-23T11:17:16Z,WZZ81RZ,"47.438931,19.262466",0,15,312
1669202241,2022-11-23T11:17:21Z,WZZ81RZ,"47.439152,19.262167",0,10,317
1669202247,2022-11-23T11:17:27Z,WZZ81RZ,"47.4394,19.262072",0,10,348
1669202252,2022-11-23T11:17:32Z,WZZ81RZ,"47.439606,19.262192",0,10,19
1669202257,2022-11-23T11:17:37Z,WZZ81RZ,"47.439793,19.262432",0,9,42
1669202266,2022-11-23T11:17:46Z,WZZ81RZ,"47.43993,19.262642",0,1,42
1669202461,2022-11-23T11:21:01Z,WZZ81RZ,"47.440086,19.262844",0,5,42
1669202469,2022-11-23T11:21:09Z,WZZ81RZ,"47.440235,19.263048",0,7,42
1669202474,2022-11-23T11:21:14Z,WZZ81RZ,"47.440361,19.263256",0,8,45
1669202479,2022-11-23T11:21:19Z,WZZ81RZ,"47.440491,19.263506",0,9,53
1669202484,2022-11-23T11:21:24Z,WZZ81RZ,"47.440571,19.263769",0,10,64
1669202487,2022-11-23T11:21:27Z,WZZ81RZ,"47.440628,19.263998",0,11,70
1669202490,2022-11-23T11:21:30Z,WZZ81RZ,"47.440662,19.26428",0,12,78
1669202496,2022-11-23T11:21:36Z,WZZ81RZ,"47.440693,19.264681",0,12,81
1669202499,2022-11-23T11:21:39Z,WZZ81RZ,"47.440727,19.264904",0,10,78
1669202503,2022-11-23T11:21:43Z,WZZ81RZ,"47.440762,19.26511",0,7,75
1669202510,2022-11-23T11:21:50Z,WZZ81RZ,"47.440716,19.265316",0,5,104
1669202582,2022-11-23T11:23:02Z,WZZ81RZ,"47.440521,19.265539",0,9,132
1669202589,2022-11-23T11:23:09Z,WZZ81RZ,"47.440048,19.266287",0,34,132
1669202596,2022-11-23T11:23:16Z,WZZ81RZ,"47.438698,19.268488",0,72,132
1669202601,2022-11-23T11:23:21Z,WZZ81RZ,"47.437294,19.270758",0,94,132
1669202614,2022-11-23T11:23:34Z,WZZ81RZ,"47.433563,19.276817",750,120,132
1669202620,2022-11-23T11:23:40Z,WZZ81RZ,"47.42942,19.283329",875,154,133
1669202626,2022-11-23T11:23:46Z,WZZ81RZ,"47.426487,19.287907",1150,151,133
1669202632,2022-11-23T11:23:52Z,WZZ81RZ,"47.423836,19.291992",1375,150,133
1669202637,2022-11-23T11:23:57Z,WZZ81RZ,"47.421135,19.296217",1650,147,133
1669202644,2022-11-23T11:24:04Z,WZZ81RZ,"47.41853,19.300655",1900,146,130
1669202647,2022-11-23T11:24:07Z,WZZ81RZ,"47.41713,19.303253",2050,143,128
1669202650,2022-11-23T11:24:10Z,WZZ81RZ,"47.41597,19.305655",2150,144,125
1669202653,2022-11-23T11:24:13Z,WZZ81RZ,"47.414841,19.308128",2225,147,123
1669202656,2022-11-23T11:24:16Z,WZZ81RZ,"47.413826,19.310656",2300,149,121
1669202659,2022-11-23T11:24:19Z,WZZ81RZ,"47.412754,19.313332",2375,153,119
1669202662,2022-11-23T11:24:22Z,WZZ81RZ,"47.411777,19.315937",2450,156,119
1669202665,2022-11-23T11:24:25Z,WZZ81RZ,"47.410629,19.319046",2525,159,118
1669202666,2022-11-23T11:24:26Z,WZZ81RZ,"47.409962,19.320936",2550,162,117
1669202670,2022-11-23T11:24:30Z,WZZ81RZ,"47.408844,19.324196",2625,167,117
1669202672,2022-11-23T11:24:32Z,WZZ81RZ,"47.407822,19.327206",2675,170,116
1669202675,2022-11-23T11:24:35Z,WZZ81RZ,"47.406784,19.330376",2750,173,115
1669202679,2022-11-23T11:24:39Z,WZZ81RZ,"47.405685,19.333809",2825,179,115
1669202682,2022-11-23T11:24:42Z,WZZ81RZ,"47.40461,19.337135",2875,184,115
1669202684,2022-11-23T11:24:44Z,WZZ81RZ,"47.403538,19.340586",2925,187,114
1669202688,2022-11-23T11:24:48Z,WZZ81RZ,"47.402328,19.344389",2950,196,114
1669202691,2022-11-23T11:24:51Z,WZZ81RZ,"47.401211,19.348051",3000,202,114
1669202697,2022-11-23T11:24:57Z,WZZ81RZ,"47.398636,19.355988",3175,212,115
1669202702,2022-11-23T11:25:02Z,WZZ81RZ,"47.396347,19.362717",3375,216,116
1669202709,2022-11-23T11:25:09Z,WZZ81RZ,"47.393143,19.371712",3725,221,118
1669202715,2022-11-23T11:25:15Z,WZZ81RZ,"47.390259,19.379608",4125,220,118
1669202717,2022-11-23T11:25:17Z,WZZ81RZ,"47.388969,19.383053",4325,218,119
1669202720,2022-11-23T11:25:20Z,WZZ81RZ,"47.387524,19.386784",4575,214,119
1669202723,2022-11-23T11:25:23Z,WZZ81RZ,"47.386127,19.390446",4800,213,119
1669202729,2022-11-23T11:25:29Z,WZZ81RZ,"47.38353,19.397598",5225,210,115
1669202736,2022-11-23T11:25:36Z,WZZ81RZ,"47.381428,19.406645",5575,211,104
1669202739,2022-11-23T11:25:39Z,WZZ81RZ,"47.381012,19.410095",5700,213,98
1669202741,2022-11-23T11:25:41Z,WZZ81RZ,"47.380829,19.414421",5850,216,91
1669202744,2022-11-23T11:25:44Z,WZZ81RZ,"47.380913,19.418827",5975,218,88
1669202746,2022-11-23T11:25:46Z,WZZ81RZ,"47.381241,19.422592",6075,217,87
1669202749,2022-11-23T11:25:49Z,WZZ81RZ,"47.381474,19.42411",6150,224,76
1669202752,2022-11-23T11:25:52Z,WZZ81RZ,"47.382706,19.43042",6275,230,70
1669202755,2022-11-23T11:25:55Z,WZZ81RZ,"47.38353,19.433304",6375,234,70
1669202757,2022-11-23T11:25:57Z,WZZ81RZ,"47.385197,19.437773",6450,234,70
1669202761,2022-11-23T11:26:01Z,WZZ81RZ,"47.387711,19.442842",6650,240,51
1669202762,2022-11-23T11:26:02Z,WZZ81RZ,"47.388828,19.444744",6700,241,49
1669202766,2022-11-23T11:26:06Z,WZZ81RZ,"47.391586,19.448616",6900,242,41
1669202769,2022-11-23T11:26:09Z,WZZ81RZ,"47.394554,19.451927",7075,244,35
1669202772,2022-11-23T11:26:12Z,WZZ81RZ,"47.397217,19.454247",7250,246,29
1669202775,2022-11-23T11:26:15Z,WZZ81RZ,"47.400234,19.456364",7425,248,23
1669202778,2022-11-23T11:26:18Z,WZZ81RZ,"47.403488,19.458023",7600,248,17
1669202781,2022-11-23T11:26:21Z,WZZ81RZ,"47.406982,19.459322",7750,250,12
1669202784,2022-11-23T11:26:24Z,WZZ81RZ,"47.4104,19.460014",7925,250,6
1669202787,2022-11-23T11:26:27Z,WZZ81RZ,"47.414013,19.460238",8075,252,2
1669202790,2022-11-23T11:26:30Z,WZZ81RZ,"47.41777,19.459946",8225,254,355
1669202793,2022-11-23T11:26:33Z,WZZ81RZ,"47.421089,19.459181",8375,254,350
1669202796,2022-11-23T11:26:36Z,WZZ81RZ,"47.424362,19.458023",8525,256,346
1669202799,2022-11-23T11:26:39Z,WZZ81RZ,"47.428165,19.456224",8625,258,341
1669202802,2022-11-23T11:26:42Z,WZZ81RZ,"47.431469,19.454182",8725,262,337
1669202803,2022-11-23T11:26:43Z,WZZ81RZ,"47.433151,19.452942",8775,264,334
1669202806,2022-11-23T11:26:46Z,WZZ81RZ,"47.436264,19.450333",8850,268,329
1669202811,2022-11-23T11:26:51Z,WZZ81RZ,"47.440037,19.446787",8950,274,331
1669202812,2022-11-23T11:26:52Z,WZZ81RZ,"47.4412,19.44566",9025,274,325
1669202815,2022-11-23T11:26:55Z,WZZ81RZ,"47.444645,19.442139",9125,278,325
1669202818,2022-11-23T11:26:58Z,WZZ81RZ,"47.448975,19.437702",9200,284,325
1669202821,2022-11-23T11:27:01Z,WZZ81RZ,"47.45192,19.434608",9275,288,324
1669202824,2022-11-23T11:27:04Z,WZZ81RZ,"47.454941,19.43145",9375,293,324
1669202827,2022-11-23T11:27:07Z,WZZ81RZ,"47.45755,19.428703",9450,295,324
1669202830,2022-11-23T11:27:10Z,WZZ81RZ,"47.459354,19.426786",9550,300,324
1669202842,2022-11-23T11:27:22Z,WZZ81RZ,"47.475998,19.40934",10075,308,324
1669202855,2022-11-23T11:27:35Z,WZZ81RZ,"47.490219,19.394249",10725,312,324
1669202866,2022-11-23T11:27:46Z,WZZ81RZ,"47.504974,19.378614",11100,326,324
1669202878,2022-11-23T11:27:58Z,WZZ81RZ,"47.520058,19.362488",11350,343,324
