Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1671795037,2022-12-23T11:30:37Z,WZZ81RZ,"47.433884,19.266483",0,0,222
1671795095,2022-12-23T11:31:35Z,WZZ81RZ,"47.433987,19.266724",0,3,222
1671795110,2022-12-23T11:31:50Z,WZZ81RZ,"47.43417,19.266947",0,3,261
1671795125,2022-12-23T11:32:05Z,WZZ81RZ,"47.434238,19.267168",0,1,300
1671795329,2022-12-23T11:35:29Z,WZZ81RZ,"47.434456,19.267015",0,4,312
1671795337,2022-12-23T11:35:37Z,WZZ81RZ,"47.434582,19.266809",0,6,312
1671795343,2022-12-23T11:35:43Z,WZZ81RZ,"47.434727,19.266586",0,7,312
1671795351,2022-12-23T11:35:51Z,WZZ81RZ,"47.434914,19.266287",0,9,312
1671795357,2022-12-23T11:35:57Z,WZZ81RZ,"47.435112,19.26597",0,10,312
1671795363,2022-12-23T11:36:03Z,WZZ81RZ,"47.435326,19.265625",0,11,312
1671795370,2022-12-23T11:36:10Z,WZZ81RZ,"47.435566,19.26523",0,13,312
1671795376,2022-12-23T11:36:16Z,WZZ81RZ,"47.435852,19.264784",0,14,312
1671795382,2022-12-23T11:36:22Z,WZZ81RZ,"47.436115,19.264355",0,14,312
1671795389,2022-12-23T11:36:29Z,WZZ81RZ,"47.436394,19.263945",0,11,312
1671795396,2022-12-23T11:36:36Z,WZZ81RZ,"47.436619,19.263582",0,10,312
1671795404,2022-12-23T11:36:44Z,WZZ81RZ,"47.436951,19.263479",0,8,8
1671795412,2022-12-23T11:36:52Z,WZZ81RZ,"47.437183,19.263769",0,9,42
1671795417,2022-12-23T11:36:57Z,WZZ81RZ,"47.437351,19.263977",0,10,42
1671795423,2022-12-23T11:37:03Z,WZZ81RZ,"47.437523,19.264193",0,9,39
1671795429,2022-12-23T11:37:09Z,WZZ81RZ,"47.437767,19.264263",0,9,5
1671795436,2022-12-23T11:37:16Z,WZZ81RZ,"47.437992,19.264029",0,9,323
1671795441,2022-12-23T11:37:21Z,WZZ81RZ,"47.438114,19.263823",0,8,312
1671795446,2022-12-23T11:37:26Z,WZZ81RZ,"47.438244,19.263617",0,8,312
1671795450,2022-12-23T11:37:30Z,WZZ81RZ,"47.43837,19.263411",0,8,312
1671795457,2022-12-23T11:37:37Z,WZZ81RZ,"47.43853,19.263153",0,8,312
1671795463,2022-12-23T11:37:43Z,WZZ81RZ,"47.438679,19.262913",0,7,312
1671795470,2022-12-23T11:37:50Z,WZZ81RZ,"47.438805,19.262707",0,5,312
1671795480,2022-12-23T11:38:00Z,WZZ81RZ,"47.438931,19.262501",0,3,312
1671795497,2022-12-23T11:38:17Z,WZZ81RZ,"47.439056,19.262291",0,3,312
1671795507,2022-12-23T11:38:27Z,WZZ81RZ,"47.439182,19.262089",0,5,312
1671795516,2022-12-23T11:38:36Z,WZZ81RZ,"47.439384,19.261974",0,6,340
1671795525,2022-12-23T11:38:45Z,WZZ81RZ,"47.439606,19.262167",0,6,33
1671795534,2022-12-23T11:38:54Z,WZZ81RZ,"47.43977,19.262396",0,5,42
1671795546,2022-12-23T11:39:06Z,WZZ81RZ,"47.439926,19.262604",0,1,42
1671795612,2022-12-23T11:40:12Z,WZZ81RZ,"47.440083,19.262819",0,5,42
1671795620,2022-12-23T11:40:20Z,WZZ81RZ,"47.440247,19.263048",0,7,42
1671795626,2022-12-23T11:40:26Z,WZZ81RZ,"47.440407,19.263277",0,9,45
1671795630,2022-12-23T11:40:30Z,WZZ81RZ,"47.440502,19.263506",0,10,56
1671795634,2022-12-23T11:40:34Z,WZZ81RZ,"47.440582,19.263752",0,11,61
1671795638,2022-12-23T11:40:38Z,WZZ81RZ,"47.440659,19.264046",0,11,70
1671795641,2022-12-23T11:40:41Z,WZZ81RZ,"47.440681,19.264269",0,10,78
1671795644,2022-12-23T11:40:44Z,WZZ81RZ,"47.440689,19.264473",0,9,84
1671795648,2022-12-23T11:40:48Z,WZZ81RZ,"47.440701,19.264685",0,8,87
1671795652,2022-12-23T11:40:52Z,WZZ81RZ,"47.440704,19.264887",0,7,87
1671795657,2022-12-23T11:40:57Z,WZZ81RZ,"47.440701,19.265108",0,7,90
1671795662,2022-12-23T11:41:02Z,WZZ81RZ,"47.440651,19.265354",0,7,104
1671795668,2022-12-23T11:41:08Z,WZZ81RZ,"47.440475,19.265608",0,11,132
1671795672,2022-12-23T11:41:12Z,WZZ81RZ,"47.440304,19.265882",0,16,132
1671795674,2022-12-23T11:41:14Z,WZZ81RZ,"47.440132,19.26614",0,25,132
1671795675,2022-12-23T11:41:15Z,WZZ81RZ,"47.439976,19.266411",0,35,132
1671795677,2022-12-23T11:41:17Z,WZZ81RZ,"47.439777,19.266724",0,40,132
1671795678,2022-12-23T11:41:18Z,WZZ81RZ,"47.439617,19.266998",0,45,132
1671795679,2022-12-23T11:41:19Z,WZZ81RZ,"47.439434,19.267273",0,49,132
1671795680,2022-12-23T11:41:20Z,WZZ81RZ,"47.439274,19.26753",0,54,132
1671795686,2022-12-23T11:41:26Z,WZZ81RZ,"47.437824,19.269878",0,82,132
1671795692,2022-12-23T11:41:32Z,WZZ81RZ,"47.436077,19.272766",550,109,132
1671795698,2022-12-23T11:41:38Z,WZZ81RZ,"47.433426,19.276991",525,133,132
1671795704,2022-12-23T11:41:44Z,WZZ81RZ,"47.430817,19.281218",525,153,132
1671795710,2022-12-23T11:41:50Z,WZZ81RZ,"47.427792,19.286217",775,154,131
1671795718,2022-12-23T11:41:58Z,WZZ81RZ,"47.424114,19.292204",1100,152,132
1671795724,2022-12-23T11:42:04Z,WZZ81RZ,"47.421463,19.296429",1375,152,132
1671795730,2022-12-23T11:42:10Z,WZZ81RZ,"47.418388,19.30164",1675,151,130
1671795736,2022-12-23T11:42:16Z,WZZ81RZ,"47.416031,19.306137",1900,153,126
1671795739,2022-12-23T11:42:19Z,WZZ81RZ,"47.414612,19.309158",2025,155,125
1671795742,2022-12-23T11:42:22Z,WZZ81RZ,"47.413734,19.311148",2100,156,124
1671795745,2022-12-23T11:42:25Z,WZZ81RZ,"47.413269,19.312134",2175,162,122
1671795748,2022-12-23T11:42:28Z,WZZ81RZ,"47.411041,19.317467",2225,166,121
1671795751,2022-12-23T11:42:31Z,WZZ81RZ,"47.409805,19.320625",2300,171,120
1671795754,2022-12-23T11:42:34Z,WZZ81RZ,"47.408661,19.323612",2350,175,119
1671795757,2022-12-23T11:42:37Z,WZZ81RZ,"47.407425,19.326874",2400,180,118
1671795760,2022-12-23T11:42:40Z,WZZ81RZ,"47.406239,19.330162",2450,186,118
1671795763,2022-12-23T11:42:43Z,WZZ81RZ,"47.404999,19.333672",2525,190,117
1671795766,2022-12-23T11:42:46Z,WZZ81RZ,"47.404099,19.336149",2575,195,117
1671795769,2022-12-23T11:42:49Z,WZZ81RZ,"47.40284,19.339741",2625,198,117
1671795772,2022-12-23T11:42:52Z,WZZ81RZ,"47.401211,19.344389",2675,206,117
1671795775,2022-12-23T11:42:55Z,WZZ81RZ,"47.399826,19.348297",2725,209,117
1671795781,2022-12-23T11:43:01Z,WZZ81RZ,"47.397999,19.353544",2825,218,116
1671795787,2022-12-23T11:43:07Z,WZZ81RZ,"47.39418,19.364601",2925,235,117
1671795793,2022-12-23T11:43:13Z,WZZ81RZ,"47.390991,19.373566",3075,246,117
1671795799,2022-12-23T11:43:19Z,WZZ81RZ,"47.387989,19.382067",3275,254,117
1671795806,2022-12-23T11:43:26Z,WZZ81RZ,"47.384262,19.392448",3575,261,117
1671795811,2022-12-23T11:43:31Z,WZZ81RZ,"47.381149,19.40213",3800,270,114
1671795814,2022-12-23T11:43:34Z,WZZ81RZ,"47.379936,19.407207",3925,277,108
1671795818,2022-12-23T11:43:38Z,WZZ81RZ,"47.378952,19.412498",4075,282,103
1671795820,2022-12-23T11:43:40Z,WZZ81RZ,"47.378311,19.418747",4200,286,97
1671795823,2022-12-23T11:43:43Z,WZZ81RZ,"47.37812,19.423899",4350,289,91
1671795827,2022-12-23T11:43:47Z,WZZ81RZ,"47.378494,19.431038",4550,291,83
1671795830,2022-12-23T11:43:50Z,WZZ81RZ,"47.37896,19.434956",4750,291,78
1671795832,2022-12-23T11:43:52Z,WZZ81RZ,"47.380371,19.44223",4950,292,72
1671795835,2022-12-23T11:43:55Z,WZZ81RZ,"47.381985,19.447773",5150,291,63
1671795838,2022-12-23T11:43:58Z,WZZ81RZ,"47.383942,19.452913",5375,291,59
1671795841,2022-12-23T11:44:01Z,WZZ81RZ,"47.38636,19.457844",5575,291,52
1671795842,2022-12-23T11:44:02Z,WZZ81RZ,"47.386826,19.458759",5600,291,54
1671795846,2022-12-23T11:44:06Z,WZZ81RZ,"47.389946,19.463758",5875,289,46
1671795849,2022-12-23T11:44:09Z,WZZ81RZ,"47.392597,19.467632",6075,290,43
1671795852,2022-12-23T11:44:12Z,WZZ81RZ,"47.395626,19.471718",6275,288,42
1671795855,2022-12-23T11:44:15Z,WZZ81RZ,"47.398556,19.47559",6475,288,41
1671795858,2022-12-23T11:44:18Z,WZZ81RZ,"47.402096,19.480099",6700,288,40
1671795861,2022-12-23T11:44:21Z,WZZ81RZ,"47.404678,19.48336",6875,290,40
1671795864,2022-12-23T11:44:24Z,WZZ81RZ,"47.408249,19.487686",7075,290,38
1671795867,2022-12-23T11:44:27Z,WZZ81RZ,"47.411087,19.490707",7225,290,35
1671795870,2022-12-23T11:44:30Z,WZZ81RZ,"47.414478,19.4939",7400,290,31
1671795872,2022-12-23T11:44:32Z,WZZ81RZ,"47.417782,19.496508",7525,291,27
1671795875,2022-12-23T11:44:35Z,WZZ81RZ,"47.421021,19.498535",7650,292,25
1671795879,2022-12-23T11:44:39Z,WZZ81RZ,"47.426102,19.501007",7850,290,15
1671795882,2022-12-23T11:44:42Z,WZZ81RZ,"47.430084,19.502243",8000,290,10
1671795885,2022-12-23T11:44:45Z,WZZ81RZ,"47.433746,19.502861",8125,290,6
1671795888,2022-12-23T11:44:48Z,WZZ81RZ,"47.437336,19.503126",8300,288,1
1671795891,2022-12-23T11:44:51Z,WZZ81RZ,"47.441757,19.502634",8450,286,353
1671795894,2022-12-23T11:44:54Z,WZZ81RZ,"47.445831,19.501625",8625,284,348
1671795896,2022-12-23T11:44:56Z,WZZ81RZ,"47.44902,19.50038",8800,282,344
1671795900,2022-12-23T11:45:00Z,WZZ81RZ,"47.452972,19.498192",9000,280,337
1671795903,2022-12-23T11:45:03Z,WZZ81RZ,"47.456608,19.495592",9225,230,331
1671795906,2022-12-23T11:45:06Z,WZZ81RZ,"47.459793,19.492767",9425,273,326
1671795909,2022-12-23T11:45:09Z,WZZ81RZ,"47.462769,19.489677",9650,270,322
1671795912,2022-12-23T11:45:12Z,WZZ81RZ,"47.466156,19.485558",9925,230,320
1671795915,2022-12-23T11:45:15Z,WZZ81RZ,"47.468994,19.481987",10175,265,319
1671795918,2022-12-23T11:45:18Z,WZZ81RZ,"47.4716,19.478689",10400,263,319
1671795921,2022-12-23T11:45:21Z,WZZ81RZ,"47.47403,19.47567",10650,262,319
1671795924,2022-12-23T11:45:24Z,WZZ81RZ,"47.47728,19.471687",10850,262,319
1671795927,2022-12-23T11:45:27Z,WZZ81RZ,"47.480072,19.468266",11050,226,320
1671795930,2022-12-23T11:45:30Z,WZZ81RZ,"47.482727,19.464958",11225,262,320
1671795933,2022-12-23T11:45:33Z,WZZ81RZ,"47.485565,19.461576",11400,263,320
1671795945,2022-12-23T11:45:45Z,WZZ81RZ,"47.49725,19.447702",11900,272,321
1671795957,2022-12-23T11:45:57Z,WZZ81RZ,"47.509258,19.433617",12225,288,321
1671795990,2022-12-23T11:46:30Z,WZZ81RZ,"47.546406,19.390165",13025,324,321
1671796023,2022-12-23T11:47:03Z,WZZ81RZ,"47.585449,19.343971",14825,324,321
1671796053,2022-12-23T11:47:33Z,WZZ81RZ,"47.620651,19.301743",16225,329,320
1671796087,2022-12-23T11:48:07Z,WZZ81RZ,"47.661621,19.252579",17525,342,320
1671796118,2022-12-23T11:48:38Z,WZZ81RZ,"47.700302,19.206024",19025,341,320
1671796181,2022-12-23T11:49:41Z,WZZ81RZ,"47.777214,19.113253",21425,352,320
1671796244,2022-12-23T11:50:44Z,WZZ81RZ,"47.858727,19.014376",23750,356,320
1671796305,2022-12-23T11:51:45Z,WZZ81RZ,"47.938385,18.917358",25400,372,320
1671796368,2022-12-23T11:52:48Z,WZZ81RZ,"48.022682,18.813101",27250,380,317
1671796431,2022-12-23T11:53:51Z,WZZ81RZ,"48.098377,18.69556",29125,381,313
1671796491,2022-12-23T11:54:51Z,WZZ81RZ,"48.174118,18.576868",30375,390,313
1671796553,2022-12-23T11:55:53Z,WZZ81RZ,"48.249763,18.457682",32000,390,313
1671796614,2022-12-23T11:56:54Z,WZZ81RZ,"48.325504,18.337337",33200,394,313
1671796677,2022-12-23T11:57:57Z,WZZ81RZ,"48.405121,18.211107",34000,395,313
1671796740,2022-12-23T11:59:00Z,WZZ81RZ,"48.483177,18.085953",34000,390,313
1671796803,2022-12-23T12:00:03Z,WZZ81RZ,"48.560715,17.960886",34000,389,312
1671796866,2022-12-23T12:01:06Z,WZZ81RZ,"48.637451,17.837027",34000,387,313
1671796927,2022-12-23T12:02:07Z,WZZ81RZ,"48.711456,17.717215",33975,382,312
1671796990,2022-12-23T12:03:10Z,WZZ81RZ,"48.78598,17.595873",34000,379,312
1671797053,2022-12-23T12:04:13Z,WZZ81RZ,"48.863884,17.472237",33975,379,316
1671797112,2022-12-23T12:05:12Z,WZZ81RZ,"48.938599,17.363468",34000,380,315
1671797177,2022-12-23T12:06:17Z,WZZ81RZ,"49.019226,17.243402",34025,378,315
