Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1680776480,2023-04-06T10:21:20Z,WZZ51,"47.434456,19.265625",0,0,222
1680776547,2023-04-06T10:22:27Z,WZZ51,"47.434612,19.265829",0,3,225
1680776571,2023-04-06T10:22:51Z,WZZ51,"47.434845,19.266071",0,3,264
1680776585,2023-04-06T10:23:05Z,WZZ51,"47.434925,19.266277",0,2,306
1680776732,2023-04-06T10:25:32Z,WZZ51,"47.434845,19.266481",0,0,312
1680776807,2023-04-06T10:26:47Z,WZZ51,"47.434959,19.266277",0,4,312
1680776816,2023-04-06T10:26:56Z,WZZ51,"47.435097,19.266054",0,5,312
1680776825,2023-04-06T10:27:05Z,WZZ51,"47.435242,19.265812",0,5,312
1680776833,2023-04-06T10:27:13Z,WZZ51,"47.435379,19.2656",0,6,312
1680776841,2023-04-06T10:27:21Z,WZZ51,"47.435543,19.265337",0,7,312
1680776847,2023-04-06T10:27:27Z,WZZ51,"47.435673,19.265125",0,8,312
1680776853,2023-04-06T10:27:33Z,WZZ51,"47.435852,19.264835",0,9,312
1680776860,2023-04-06T10:27:40Z,WZZ51,"47.436043,19.264526",0,10,312
1680776866,2023-04-06T10:27:46Z,WZZ51,"47.436241,19.26421",0,10,312
1680776873,2023-04-06T10:27:53Z,WZZ51,"47.436474,19.26384",0,10,312
1680776879,2023-04-06T10:27:59Z,WZZ51,"47.436653,19.263531",0,10,312
1680776882,2023-04-06T10:28:02Z,WZZ51,"47.436729,19.263329",0,10,303
1680776886,2023-04-06T10:28:06Z,WZZ51,"47.436787,19.2631",0,9,292
1680776890,2023-04-06T10:28:10Z,WZZ51,"47.436802,19.262854",0,9,281
1680776895,2023-04-06T10:28:15Z,WZZ51,"47.436802,19.262587",0,9,272
1680776898,2023-04-06T10:28:18Z,WZZ51,"47.436802,19.262362",0,9,270
1680776902,2023-04-06T10:28:22Z,WZZ51,"47.436787,19.262133",0,9,270
1680776906,2023-04-06T10:28:26Z,WZZ51,"47.436779,19.261866",0,10,267
1680776909,2023-04-06T10:28:29Z,WZZ51,"47.436779,19.26166",0,10,267
1680776916,2023-04-06T10:28:36Z,WZZ51,"47.436764,19.261217",0,12,270
1680776919,2023-04-06T10:28:39Z,WZZ51,"47.43679,19.26087",0,13,275
1680776925,2023-04-06T10:28:45Z,WZZ51,"47.436962,19.260389",0,14,300
1680776932,2023-04-06T10:28:52Z,WZZ51,"47.43726,19.259892",0,12,312
1680776937,2023-04-06T10:28:57Z,WZZ51,"47.437382,19.259666",0,10,309
1680776942,2023-04-06T10:29:02Z,WZZ51,"47.437397,19.259325",0,10,278
