Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1651818266,2022-05-06T06:24:26Z,WZZ5VX,"52.368195,13.505493",0,0,70
1651818275,2022-05-06T06:24:35Z,WZZ5VX,"52.36845,13.506376",0,0,70
1651818369,2022-05-06T06:26:09Z,WZZ5VX,"52.368511,13.506592",0,3,70
1651818376,2022-05-06T06:26:16Z,WZZ5VX,"52.368557,13.506807",0,4,67
1651818383,2022-05-06T06:26:23Z,WZZ5VX,"52.36861,13.507023",0,6,70
1651818389,2022-05-06T06:26:29Z,WZZ5VX,"52.368683,13.507318",0,7,70
1651818395,2022-05-06T06:26:35Z,WZZ5VX,"52.368767,13.507631",0,8,70
1651818401,2022-05-06T06:26:41Z,WZZ5VX,"52.368847,13.508004",0,9,70
1651818408,2022-05-06T06:26:48Z,WZZ5VX,"52.36895,13.508416",0,10,67
1651818416,2022-05-06T06:26:56Z,WZZ5VX,"52.369091,13.509007",0,11,67
1651818422,2022-05-06T06:27:02Z,WZZ5VX,"52.369232,13.509554",0,12,67
1651818428,2022-05-06T06:27:08Z,WZZ5VX,"52.369354,13.510094",0,13,70
1651818435,2022-05-06T06:27:15Z,WZZ5VX,"52.369492,13.510685",0,14,70
1651818441,2022-05-06T06:27:21Z,WZZ5VX,"52.369629,13.511314",0,15,70
1651818448,2022-05-06T06:27:28Z,WZZ5VX,"52.369823,13.512115",0,15,70
1651818453,2022-05-06T06:27:33Z,WZZ5VX,"52.369949,13.512688",0,16,70
1651818460,2022-05-06T06:27:40Z,WZZ5VX,"52.370132,13.513451",0,17,70
1651818466,2022-05-06T06:27:46Z,WZZ5VX,"52.370293,13.514156",0,13,70
1651818472,2022-05-06T06:27:52Z,WZZ5VX,"52.370441,13.514635",0,11,59
1651818477,2022-05-06T06:27:57Z,WZZ5VX,"52.370659,13.514862",0,12,33
1651818483,2022-05-06T06:28:03Z,WZZ5VX,"52.370907,13.51491",0,12,8
1651818487,2022-05-06T06:28:07Z,WZZ5VX,"52.371162,13.514891",0,12,2
1651818491,2022-05-06T06:28:11Z,WZZ5VX,"52.371403,13.515072",0,12,22
1651818495,2022-05-06T06:28:15Z,WZZ5VX,"52.371563,13.515358",0,13,45
1651818499,2022-05-06T06:28:19Z,WZZ5VX,"52.371639,13.515656",0,14,61
1651818502,2022-05-06T06:28:22Z,WZZ5VX,"52.371708,13.515989",0,15,70
1651818505,2022-05-06T06:28:25Z,WZZ5VX,"52.371815,13.51644",0,16,70
1651818509,2022-05-06T06:28:29Z,WZZ5VX,"52.371895,13.516813",0,16,70
1651818511,2022-05-06T06:28:31Z,WZZ5VX,"52.371964,13.517075",0,17,70
1651818513,2022-05-06T06:28:33Z,WZZ5VX,"52.372013,13.517303",0,17,70
1651818515,2022-05-06T06:28:35Z,WZZ5VX,"52.372066,13.517532",0,17,70
1651818517,2022-05-06T06:28:37Z,WZZ5VX,"52.372135,13.517857",0,17,70
1651818519,2022-05-06T06:28:39Z,WZZ5VX,"52.372204,13.518124",0,18,70
1651818525,2022-05-06T06:28:45Z,WZZ5VX,"52.372375,13.518867",0,18,67
1651818530,2022-05-06T06:28:50Z,WZZ5VX,"52.372536,13.51954",0,19,70
1651818537,2022-05-06T06:28:57Z,WZZ5VX,"52.372757,13.520501",0,21,70
1651818543,2022-05-06T06:29:03Z,WZZ5VX,"52.372978,13.521403",0,21,67
1651818550,2022-05-06T06:29:10Z,WZZ5VX,"52.373234,13.522444",0,21,67
1651818555,2022-05-06T06:29:15Z,WZZ5VX,"52.373421,13.523248",0,22,70
1651818562,2022-05-06T06:29:22Z,WZZ5VX,"52.373699,13.524405",0,23,67
1651818567,2022-05-06T06:29:27Z,WZZ5VX,"52.373898,13.525276",0,23,70
1651818574,2022-05-06T06:29:34Z,WZZ5VX,"52.374142,13.526289",0,24,70
1651818580,2022-05-06T06:29:40Z,WZZ5VX,"52.374344,13.527145",0,16,67
1651818582,2022-05-06T06:29:42Z,WZZ5VX,"52.37447,13.527388",0,14,53
1651818589,2022-05-06T06:29:49Z,WZZ5VX,"52.374886,13.527544",0,14,2
1651818594,2022-05-06T06:29:54Z,WZZ5VX,"52.375191,13.527349",0,14,340
1651818598,2022-05-06T06:29:58Z,WZZ5VX,"52.375443,13.527184",0,14,337
1651818603,2022-05-06T06:30:03Z,WZZ5VX,"52.375706,13.527012",0,14,337
1651818606,2022-05-06T06:30:06Z,WZZ5VX,"52.375935,13.526877",0,14,337
1651818612,2022-05-06T06:30:12Z,WZZ5VX,"52.376163,13.526726",0,9,337
1651818620,2022-05-06T06:30:20Z,WZZ5VX,"52.376366,13.526583",0,4,340
1651818630,2022-05-06T06:30:30Z,WZZ5VX,"52.376575,13.526459",0,6,340
1651818638,2022-05-06T06:30:38Z,WZZ5VX,"52.376854,13.526289",0,9,340
1651818644,2022-05-06T06:30:44Z,WZZ5VX,"52.377113,13.526096",0,11,334
1651818647,2022-05-06T06:30:47Z,WZZ5VX,"52.377216,13.525877",0,12,315
1651818650,2022-05-06T06:30:50Z,WZZ5VX,"52.377274,13.525621",0,12,298
1651818653,2022-05-06T06:30:53Z,WZZ5VX,"52.377274,13.52541",0,11,281
1651818656,2022-05-06T06:30:56Z,WZZ5VX,"52.377239,13.525151",0,11,261
1651818659,2022-05-06T06:30:59Z,WZZ5VX,"52.377155,13.524896",0,11,250
