Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1664778397,2022-10-03T06:26:37Z,WZZ4WK,"52.367638,13.506889",0,0,160
1664778467,2022-10-03T06:27:47Z,WZZ4WK,"52.367844,13.506756",0,3,160
1664778480,2022-10-03T06:28:00Z,WZZ4WK,"52.368057,13.506651",0,5,151
1664778490,2022-10-03T06:28:10Z,WZZ4WK,"52.368263,13.506494",0,5,123
1664778498,2022-10-03T06:28:18Z,WZZ4WK,"52.368382,13.506258",0,5,90
1664778504,2022-10-03T06:28:24Z,WZZ4WK,"52.368404,13.50605",0,5,70
1664778512,2022-10-03T06:28:32Z,WZZ4WK,"52.368347,13.505807",0,3,67
1664778579,2022-10-03T06:29:39Z,WZZ4WK,"52.36908,13.504316",0,0,67
1664778588,2022-10-03T06:29:48Z,WZZ4WK,"52.368336,13.505783",0,0,67
1664778594,2022-10-03T06:29:54Z,WZZ4WK,"52.368988,13.504316",0,0,67
1664778603,2022-10-03T06:30:03Z,WZZ4WK,"52.368336,13.505788",0,0,67
1664778620,2022-10-03T06:30:20Z,WZZ4WK,"52.368988,13.504237",0,0,67
1664778628,2022-10-03T06:30:28Z,WZZ4WK,"52.368336,13.505783",0,0,67
1664778675,2022-10-03T06:31:15Z,WZZ4WK,"52.368801,13.50463",0,0,67
1664778683,2022-10-03T06:31:23Z,WZZ4WK,"52.368336,13.505788",0,0,67
1664778799,2022-10-03T06:33:19Z,WZZ4WK,"52.368393,13.506031",0,3,70
1664778807,2022-10-03T06:33:27Z,WZZ4WK,"52.368439,13.506258",0,4,70
1664778815,2022-10-03T06:33:35Z,WZZ4WK,"52.368507,13.506527",0,5,70
1664778822,2022-10-03T06:33:42Z,WZZ4WK,"52.368568,13.506788",0,6,70
1664778828,2022-10-03T06:33:48Z,WZZ4WK,"52.368637,13.507082",0,7,67
1664778834,2022-10-03T06:33:54Z,WZZ4WK,"52.368706,13.507377",0,7,67
1664778841,2022-10-03T06:34:01Z,WZZ4WK,"52.368805,13.507786",0,8,70
1664778849,2022-10-03T06:34:09Z,WZZ4WK,"52.368927,13.508299",0,10,67
1664778856,2022-10-03T06:34:16Z,WZZ4WK,"52.369068,13.508906",0,11,70
1664778862,2022-10-03T06:34:22Z,WZZ4WK,"52.36916,13.509299",0,11,67
1664778869,2022-10-03T06:34:29Z,WZZ4WK,"52.369312,13.509947",0,12,67
1664779180,2022-10-03T06:39:40Z,WZZ4WK,"52.369171,13.491364",450,146,248
1664779186,2022-10-03T06:39:46Z,WZZ4WK,"52.367729,13.485482",725,145,247
1664779192,2022-10-03T06:39:52Z,WZZ4WK,"52.3661,13.47889",1000,144,248
1664779198,2022-10-03T06:39:58Z,WZZ4WK,"52.364609,13.472848",1275,144,247
1664779204,2022-10-03T06:40:04Z,WZZ4WK,"52.363167,13.466805",1450,150,248
1664779210,2022-10-03T06:40:10Z,WZZ4WK,"52.361584,13.460214",1625,155,248
1664779216,2022-10-03T06:40:16Z,WZZ4WK,"52.360001,13.453465",1775,162,249
1664779222,2022-10-03T06:40:22Z,WZZ4WK,"52.358414,13.44635",1900,169,250
1664779228,2022-10-03T06:40:28Z,WZZ4WK,"52.356766,13.438797",2000,176,250
1664779234,2022-10-03T06:40:34Z,WZZ4WK,"52.355072,13.430939",2150,186,250
