Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1669641096,2022-11-28T13:11:36Z,WZZ338,"52.367775,13.5075",0,0,157
1669641173,2022-11-28T13:12:53Z,WZZ338,"52.367985,13.507377",0,1,163
1669641206,2022-11-28T13:13:26Z,WZZ338,"52.368195,13.507239",0,2,174
1669641229,2022-11-28T13:13:49Z,WZZ338,"52.368404,13.50718",0,2,199
1669641251,2022-11-28T13:14:11Z,WZZ338,"52.368614,13.507298",0,2,227
1669641274,2022-11-28T13:14:34Z,WZZ338,"52.368748,13.5075",0,1,250
1669641339,2022-11-28T13:15:39Z,WZZ338,"52.369404,13.507063",75,0,250
1669641346,2022-11-28T13:15:46Z,WZZ338,"52.368778,13.507573",0,0,250
1669641354,2022-11-28T13:15:54Z,WZZ338,"52.369312,13.507219",75,0,250
1669641360,2022-11-28T13:16:00Z,WZZ338,"52.368778,13.507573",0,0,250
1669641369,2022-11-28T13:16:09Z,WZZ338,"52.36908,13.507533",75,0,250
1669641381,2022-11-28T13:16:21Z,WZZ338,"52.368771,13.507576",0,0,250
1669641395,2022-11-28T13:16:35Z,WZZ338,"52.368893,13.507219",75,0,250
1669641401,2022-11-28T13:16:41Z,WZZ338,"52.368771,13.507576",0,0,250
1669641424,2022-11-28T13:17:04Z,WZZ338,"52.368702,13.507309",0,5,247
1669641430,2022-11-28T13:17:10Z,WZZ338,"52.368637,13.507043",0,6,247
1669641437,2022-11-28T13:17:17Z,WZZ338,"52.368568,13.506729",0,7,247
1669641445,2022-11-28T13:17:25Z,WZZ338,"52.368462,13.506297",0,8,247
1669641451,2022-11-28T13:17:31Z,WZZ338,"52.36837,13.505925",0,9,247
1669641457,2022-11-28T13:17:37Z,WZZ338,"52.368263,13.505473",0,10,247
1669641463,2022-11-28T13:17:43Z,WZZ338,"52.368153,13.50502",0,11,247
1669641469,2022-11-28T13:17:49Z,WZZ338,"52.368038,13.504543",0,11,247
1669641475,2022-11-28T13:17:55Z,WZZ338,"52.367928,13.504061",0,12,250
1669641482,2022-11-28T13:18:02Z,WZZ338,"52.367809,13.503551",0,13,247
1669641488,2022-11-28T13:18:08Z,WZZ338,"52.367649,13.502864",0,15,250
1669641496,2022-11-28T13:18:16Z,WZZ338,"52.367455,13.502045",0,13,247
1669641502,2022-11-28T13:18:22Z,WZZ338,"52.367332,13.50155",0,10,247
1669641509,2022-11-28T13:18:29Z,WZZ338,"52.367275,13.50106",0,8,264
1669641517,2022-11-28T13:18:37Z,WZZ338,"52.367397,13.500633",0,9,300
1669641521,2022-11-28T13:18:41Z,WZZ338,"52.367603,13.500451",0,10,329
1669641526,2022-11-28T13:18:46Z,WZZ338,"52.367798,13.500214",0,11,317
1669641531,2022-11-28T13:18:51Z,WZZ338,"52.367878,13.499832",0,12,286
1669641535,2022-11-28T13:18:55Z,WZZ338,"52.367832,13.499413",0,13,255
1669641538,2022-11-28T13:18:58Z,WZZ338,"52.367764,13.499196",0,14,247
1669641541,2022-11-28T13:19:01Z,WZZ338,"52.367661,13.498802",0,14,247
1669641544,2022-11-28T13:19:04Z,WZZ338,"52.367603,13.498573",0,14,247
1669641548,2022-11-28T13:19:08Z,WZZ338,"52.367508,13.498156",0,15,247
1669641552,2022-11-28T13:19:12Z,WZZ338,"52.367405,13.497764",0,15,247
1669641556,2022-11-28T13:19:16Z,WZZ338,"52.367287,13.497273",0,15,247
1669641560,2022-11-28T13:19:20Z,WZZ338,"52.367184,13.496841",0,16,247
1669641562,2022-11-28T13:19:22Z,WZZ338,"52.367134,13.496609",0,16,247
1669641571,2022-11-28T13:19:31Z,WZZ338,"52.366951,13.495821",0,11,247
1669641576,2022-11-28T13:19:36Z,WZZ338,"52.366917,13.495464",0,10,264
1669641580,2022-11-28T13:19:40Z,WZZ338,"52.367008,13.495115",0,11,292
1669641585,2022-11-28T13:19:45Z,WZZ338,"52.367237,13.494854",0,11,329
1669641591,2022-11-28T13:19:51Z,WZZ338,"52.367451,13.494742",0,10,340
1669641596,2022-11-28T13:19:56Z,WZZ338,"52.367683,13.494605",0,8,340
1669641602,2022-11-28T13:20:02Z,WZZ338,"52.367901,13.494473",0,8,340
1669641609,2022-11-28T13:20:09Z,WZZ338,"52.368114,13.494349",0,7,340
1669641619,2022-11-28T13:20:19Z,WZZ338,"52.368382,13.49437",0,6,5
1669641629,2022-11-28T13:20:29Z,WZZ338,"52.368603,13.494644",0,5,36
1669641735,2022-11-28T13:22:15Z,WZZ338,"52.368893,13.494899",75,10,264
1669641779,2022-11-28T13:22:59Z,WZZ338,"52.369034,13.495193",0,10,39
1669641785,2022-11-28T13:23:05Z,WZZ338,"52.369278,13.495488",0,12,39
1669641791,2022-11-28T13:23:11Z,WZZ338,"52.369537,13.495865",0,13,39
1669641797,2022-11-28T13:23:17Z,WZZ338,"52.369801,13.496208",0,13,42
1669641803,2022-11-28T13:23:23Z,WZZ338,"52.370098,13.496666",0,13,45
1669641807,2022-11-28T13:23:27Z,WZZ338,"52.370281,13.496971",0,14,45
1669641810,2022-11-28T13:23:30Z,WZZ338,"52.37043,13.497219",0,14,45
1669641814,2022-11-28T13:23:34Z,WZZ338,"52.370605,13.497508",0,14,45
1669641820,2022-11-28T13:23:40Z,WZZ338,"52.370831,13.498039",0,15,64
