Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1677511160,2023-02-27T15:19:20Z,WZZ338,"52.367588,13.506945",0,0,157
1677511224,2023-02-27T15:20:24Z,WZZ338,"52.367821,13.506794",0,4,160
1677511239,2023-02-27T15:20:39Z,WZZ338,"52.368031,13.506651",0,3,160
1677511253,2023-02-27T15:20:53Z,WZZ338,"52.368244,13.506527",0,4,160
1677511503,2023-02-27T15:25:03Z,WZZ338,"52.368195,13.506317",0,5,199
1677511508,2023-02-27T15:25:08Z,WZZ338,"52.368187,13.506107",0,7,236
1677511513,2023-02-27T15:25:13Z,WZZ338,"52.368198,13.505878",0,7,258
1677511516,2023-02-27T15:25:16Z,WZZ338,"52.368183,13.505651",0,9,264
1677511520,2023-02-27T15:25:20Z,WZZ338,"52.368176,13.505421",0,10,267
1677511523,2023-02-27T15:25:23Z,WZZ338,"52.368172,13.505219",0,11,264
1677511525,2023-02-27T15:25:25Z,WZZ338,"52.368149,13.505003",0,11,261
1677511527,2023-02-27T15:25:27Z,WZZ338,"52.368103,13.504786",0,11,255
1677511531,2023-02-27T15:25:31Z,WZZ338,"52.36805,13.504524",0,11,250
1677511534,2023-02-27T15:25:34Z,WZZ338,"52.367996,13.504296",0,11,250
1677511537,2023-02-27T15:25:37Z,WZZ338,"52.367947,13.504066",0,12,250
1677511539,2023-02-27T15:25:39Z,WZZ338,"52.367878,13.503819",0,13,247
1677511543,2023-02-27T15:25:43Z,WZZ338,"52.367798,13.503456",0,14,247
1677511545,2023-02-27T15:25:45Z,WZZ338,"52.367741,13.503246",0,15,247
1677511551,2023-02-27T15:25:51Z,WZZ338,"52.367592,13.502598",0,13,250
1677511557,2023-02-27T15:25:57Z,WZZ338,"52.367474,13.502099",0,12,250
1677511564,2023-02-27T15:26:04Z,WZZ338,"52.367352,13.501568",0,10,247
1677511569,2023-02-27T15:26:09Z,WZZ338,"52.367275,13.501197",0,10,255
1677511573,2023-02-27T15:26:13Z,WZZ338,"52.367294,13.500919",0,10,270
1677511576,2023-02-27T15:26:16Z,WZZ338,"52.367371,13.500707",0,10,289
1677511581,2023-02-27T15:26:21Z,WZZ338,"52.367554,13.50049",0,11,320
1677511588,2023-02-27T15:26:28Z,WZZ338,"52.367905,13.500255",0,12,337
1677511592,2023-02-27T15:26:32Z,WZZ338,"52.368149,13.500098",0,14,340
1677511596,2023-02-27T15:26:36Z,WZZ338,"52.368404,13.499947",0,12,340
1677511600,2023-02-27T15:26:40Z,WZZ338,"52.36861,13.499718",0,12,326
1677511607,2023-02-27T15:26:47Z,WZZ338,"52.368702,13.499241",0,13,286
1677511612,2023-02-27T15:26:52Z,WZZ338,"52.368599,13.498688",0,12,253
1677511616,2023-02-27T15:26:56Z,WZZ338,"52.368523,13.498411",0,12,250
1677511621,2023-02-27T15:27:01Z,WZZ338,"52.368416,13.49796",0,13,250
1677511625,2023-02-27T15:27:05Z,WZZ338,"52.368324,13.497601",0,14,250
1677511627,2023-02-27T15:27:07Z,WZZ338,"52.368275,13.497371",0,14,250
1677511630,2023-02-27T15:27:10Z,WZZ338,"52.36821,13.497066",0,14,250
1677511633,2023-02-27T15:27:13Z,WZZ338,"52.36813,13.496742",0,15,250
1677511635,2023-02-27T15:27:15Z,WZZ338,"52.368073,13.496475",0,15,250
1677511638,2023-02-27T15:27:18Z,WZZ338,"52.368008,13.496214",0,15,250
1677511644,2023-02-27T15:27:24Z,WZZ338,"52.367832,13.495464",0,16,247
1677511652,2023-02-27T15:27:32Z,WZZ338,"52.367615,13.494585",0,17,250
1677511660,2023-02-27T15:27:40Z,WZZ338,"52.367352,13.493462",0,19,250
1677511668,2023-02-27T15:27:48Z,WZZ338,"52.367088,13.492349",0,18,250
1677511674,2023-02-27T15:27:54Z,WZZ338,"52.366928,13.491701",0,16,250
1677511681,2023-02-27T15:28:01Z,WZZ338,"52.366764,13.490995",0,15,247
1677511686,2023-02-27T15:28:06Z,WZZ338,"52.366611,13.490328",0,15,250
1677511693,2023-02-27T15:28:13Z,WZZ338,"52.366447,13.489628",0,15,250
1677511701,2023-02-27T15:28:21Z,WZZ338,"52.366203,13.488641",0,17,250
1677511708,2023-02-27T15:28:28Z,WZZ338,"52.365997,13.487739",0,18,250
1677511714,2023-02-27T15:28:34Z,WZZ338,"52.365845,13.487091",0,19,247
1677511720,2023-02-27T15:28:40Z,WZZ338,"52.365612,13.48613",0,20,250
1677511728,2023-02-27T15:28:48Z,WZZ338,"52.36536,13.485088",0,18,250
1677511734,2023-02-27T15:28:54Z,WZZ338,"52.365211,13.48444",0,12,250
1677511740,2023-02-27T15:29:00Z,WZZ338,"52.365234,13.483906",0,12,278
1677511744,2023-02-27T15:29:04Z,WZZ338,"52.36536,13.483639",0,12,303
1677511752,2023-02-27T15:29:12Z,WZZ338,"52.365765,13.483363",0,12,337
1677511756,2023-02-27T15:29:16Z,WZZ338,"52.365971,13.483226",0,13,337
1677511764,2023-02-27T15:29:24Z,WZZ338,"52.366463,13.482912",0,14,340
1677511769,2023-02-27T15:29:29Z,WZZ338,"52.366764,13.482814",0,14,348
1677511775,2023-02-27T15:29:35Z,WZZ338,"52.367146,13.482952",0,13,16
1677511781,2023-02-27T15:29:41Z,WZZ338,"52.367363,13.483486",0,15,61
1677511785,2023-02-27T15:29:45Z,WZZ338,"52.367462,13.483912",0,18,70
