Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1681738605,2023-04-17T13:36:45Z,WZZ1828,"52.368019,13.508711",0,0,157
1681738697,2023-04-17T13:38:17Z,WZZ1828,"52.368221,13.508587",0,3,157
1681738715,2023-04-17T13:38:35Z,WZZ1828,"52.368427,13.508416",0,3,163
1681738733,2023-04-17T13:38:53Z,WZZ1828,"52.368637,13.508279",0,3,188
1681738749,2023-04-17T13:39:09Z,WZZ1828,"52.368847,13.50824",0,3,230
1681738771,2023-04-17T13:39:31Z,WZZ1828,"52.368961,13.508455",0,3,250
1681738783,2023-04-17T13:39:43Z,WZZ1828,"52.369011,13.508682",0,2,247
1681739011,2023-04-17T13:43:31Z,WZZ1828,"52.368954,13.508415",0,6,247
1681739018,2023-04-17T13:43:38Z,WZZ1828,"52.368858,13.508043",0,8,250
1681739024,2023-04-17T13:43:44Z,WZZ1828,"52.368767,13.507651",0,10,247
1681739030,2023-04-17T13:43:50Z,WZZ1828,"52.36866,13.5072",0,11,247
1681739036,2023-04-17T13:43:56Z,WZZ1828,"52.368565,13.506775",0,12,250
1681739042,2023-04-17T13:44:02Z,WZZ1828,"52.36845,13.506298",0,13,247
1681739048,2023-04-17T13:44:08Z,WZZ1828,"52.368301,13.50567",0,14,247
1681739054,2023-04-17T13:44:14Z,WZZ1828,"52.368149,13.505022",0,15,247
1681739060,2023-04-17T13:44:20Z,WZZ1828,"52.367992,13.504391",0,15,250
1681739068,2023-04-17T13:44:28Z,WZZ1828,"52.367809,13.503609",0,15,247
1681739074,2023-04-17T13:44:34Z,WZZ1828,"52.367661,13.502979",0,13,247
1681739080,2023-04-17T13:44:40Z,WZZ1828,"52.367535,13.502464",0,11,247
1681739088,2023-04-17T13:44:48Z,WZZ1828,"52.367355,13.501726",0,14,247
1681739094,2023-04-17T13:44:54Z,WZZ1828,"52.367275,13.501158",0,12,258
1681739097,2023-04-17T13:44:57Z,WZZ1828,"52.367294,13.500957",0,11,270
1681739101,2023-04-17T13:45:01Z,WZZ1828,"52.367382,13.500687",0,12,292
1681739104,2023-04-17T13:45:04Z,WZZ1828,"52.367558,13.500462",0,13,317
1681739109,2023-04-17T13:45:09Z,WZZ1828,"52.367859,13.500275",0,14,340
1681739114,2023-04-17T13:45:14Z,WZZ1828,"52.36813,13.500118",0,15,340
1681739118,2023-04-17T13:45:18Z,WZZ1828,"52.368382,13.499961",0,14,337
1681739122,2023-04-17T13:45:22Z,WZZ1828,"52.368553,13.499756",0,12,326
1681739125,2023-04-17T13:45:25Z,WZZ1828,"52.368645,13.499546",0,12,309
1681739130,2023-04-17T13:45:30Z,WZZ1828,"52.368645,13.499012",0,13,270
1681739134,2023-04-17T13:45:34Z,WZZ1828,"52.368565,13.498688",0,13,253
1681739138,2023-04-17T13:45:38Z,WZZ1828,"52.368473,13.498332",0,13,247
1681739142,2023-04-17T13:45:42Z,WZZ1828,"52.36837,13.497887",0,14,247
1681739146,2023-04-17T13:45:46Z,WZZ1828,"52.368275,13.497489",0,14,250
1681739151,2023-04-17T13:45:51Z,WZZ1828,"52.368187,13.497105",0,15,250
1681739153,2023-04-17T13:45:53Z,WZZ1828,"52.368114,13.496763",0,15,250
1681739157,2023-04-17T13:45:57Z,WZZ1828,"52.368008,13.496331",0,15,250
1681739165,2023-04-17T13:46:05Z,WZZ1828,"52.367882,13.495763",0,10,250
1681739171,2023-04-17T13:46:11Z,WZZ1828,"52.367775,13.495331",0,8,247
1681739178,2023-04-17T13:46:18Z,WZZ1828,"52.367718,13.494919",0,9,258
1681739182,2023-04-17T13:46:22Z,WZZ1828,"52.367764,13.494682",0,9,275
1681739186,2023-04-17T13:46:26Z,WZZ1828,"52.367859,13.494468",0,9,298
1681739192,2023-04-17T13:46:32Z,WZZ1828,"52.36808,13.494271",0,9,329
1681739200,2023-04-17T13:46:40Z,WZZ1828,"52.368324,13.494271",0,5,357
1681739210,2023-04-17T13:46:50Z,WZZ1828,"52.368484,13.494473",0,4,28
1681739221,2023-04-17T13:47:01Z,WZZ1828,"52.368626,13.494683",0,3,36
1681739269,2023-04-17T13:47:49Z,WZZ1828,"52.368801,13.494899",0,3,36
1681739279,2023-04-17T13:47:59Z,WZZ1828,"52.368965,13.495121",0,6,39
1681739287,2023-04-17T13:48:07Z,WZZ1828,"52.369137,13.495351",0,8,39
1681739293,2023-04-17T13:48:13Z,WZZ1828,"52.369335,13.495605",0,9,39
1681739300,2023-04-17T13:48:20Z,WZZ1828,"52.369579,13.495919",0,10,39
1681739306,2023-04-17T13:48:26Z,WZZ1828,"52.369778,13.496194",0,9,39
1681739312,2023-04-17T13:48:32Z,WZZ1828,"52.369995,13.496552",0,11,45
1681739317,2023-04-17T13:48:37Z,WZZ1828,"52.370197,13.49692",0,13,47
1681739320,2023-04-17T13:48:40Z,WZZ1828,"52.370327,13.497162",0,14,50
1681739324,2023-04-17T13:48:44Z,WZZ1828,"52.370464,13.497469",0,15,53
1681739326,2023-04-17T13:48:46Z,WZZ1828,"52.370556,13.497696",0,16,56
1681739329,2023-04-17T13:48:49Z,WZZ1828,"52.370674,13.497999",0,19,59
1681739330,2023-04-17T13:48:50Z,WZZ1828,"52.370754,13.498235",0,22,59
1681739332,2023-04-17T13:48:52Z,WZZ1828,"52.370872,13.498607",0,25,61
1681739334,2023-04-17T13:48:54Z,WZZ1828,"52.370941,13.498862",0,26,64
1681739335,2023-04-17T13:48:55Z,WZZ1828,"52.371025,13.499184",0,29,67
1681739337,2023-04-17T13:48:57Z,WZZ1828,"52.371151,13.499666",0,35,67
1681739338,2023-04-17T13:48:58Z,WZZ1828,"52.37122,13.499947",0,40,67
1681739339,2023-04-17T13:48:59Z,WZZ1828,"52.371326,13.500392",0,46,67
1681739340,2023-04-17T13:49:00Z,WZZ1828,"52.371426,13.500767",0,51,67
1681739342,2023-04-17T13:49:02Z,WZZ1828,"52.371536,13.501236",0,57,67
1681739343,2023-04-17T13:49:03Z,WZZ1828,"52.371628,13.501648",0,62,67
1681739344,2023-04-17T13:49:04Z,WZZ1828,"52.371735,13.50206",0,67,67
1681739346,2023-04-17T13:49:06Z,WZZ1828,"52.372047,13.503374",0,82,67
1681739347,2023-04-17T13:49:07Z,WZZ1828,"52.372158,13.503895",0,82,67
1681739352,2023-04-17T13:49:12Z,WZZ1828,"52.372803,13.506592",0,100,69
1681739357,2023-04-17T13:49:17Z,WZZ1828,"52.37392,13.511378",0,67,67
1681739362,2023-04-17T13:49:22Z,WZZ1828,"52.375031,13.516083",0,143,69
1681739370,2023-04-17T13:49:30Z,WZZ1828,"52.377178,13.525347",25,152,69
1681739378,2023-04-17T13:49:38Z,WZZ1828,"52.379135,13.533666",475,142,69
1681739386,2023-04-17T13:49:46Z,WZZ1828,"52.381042,13.542062",925,140,70
1681739395,2023-04-17T13:49:55Z,WZZ1828,"52.382999,13.550929",1225,147,69
1681739401,2023-04-17T13:50:01Z,WZZ1828,"52.38446,13.557358",1400,151,69
1681739409,2023-04-17T13:50:09Z,WZZ1828,"52.386475,13.565826",1650,160,68
