ICAO;YEAR;TRAFFIC
EBAW;2016;7910
EBAW;2017;6968
EBAW;2018;7569
EBAW;2019;6586
EBAW;2020;4051
EBAW;2021;6669
EBAW;2022;6547
EBAW;2023;814
EBBR;2016;109057
EBBR;2017;116354
EBBR;2018;114961
EBBR;2019;114642
EBBR;2020;45668
EBBR;2021;57074
EBBR;2022;87105
EBBR;2023;12495
EBCI;2016;24880
EBCI;2017;25562
EBCI;2018;26738
EBCI;2019;27399
EBCI;2020;12412
EBCI;2021;16605
EBCI;2022;28796
EBCI;2023;4144
EBLG;2016;16362
EBLG;2017;16251
EBLG;2018;17280
EBLG;2019;17432
EBLG;2020;18356
EBLG;2021;20937
EBLG;2022;16584
EBLG;2023;2087
EBOS;2016;3337
EBOS;2017;3236
EBOS;2018;3313
EBOS;2019;3537
EBOS;2020;2603
EBOS;2021;3389
EBOS;2022;3922
EBOS;2023;631
EDDB;2016;47392
EDDB;2017;49907
EDDB;2018;50393
EDDB;2019;45008
EDDB;2020;21449
EDDB;2021;51892
EDDB;2022;80968
EDDB;2023;11087
EDDC;2016;11360
EDDC;2017;10744
EDDC;2018;11061
EDDC;2019;10233
EDDC;2020;4184
EDDC;2021;3620
EDDC;2022;6123
EDDC;2023;789
EDDE;2016;2521
EDDE;2017;2882
EDDE;2018;2804
EDDE;2019;2249
EDDE;2020;1646
EDDE;2021;1750
EDDE;2022;1537
EDDE;2023;163
EDDF;2016;231422
EDDF;2017;237747
EDDF;2018;256008
EDDF;2019;256927
EDDF;2020;106180
EDDF;2021;130952
EDDF;2022;191041
EDDF;2023;28469
EDDG;2016;8402
EDDG;2017;9240
EDDG;2018;9655
EDDG;2019;9079
EDDG;2020;5012
EDDG;2021;5720
EDDG;2022;8418
EDDG;2023;966
EDDH;2016;76116
EDDH;2017;77171
EDDH;2018;74601
EDDH;2019;74560
EDDH;2020;29893
EDDH;2021;31465
EDDH;2022;51376
EDDH;2023;6951
EDDK;2016;66990
EDDK;2017;69175
EDDK;2018;70721
EDDK;2019;70194
EDDK;2020;38856
EDDK;2021;44681
EDDK;2022;59165
EDDK;2023;7149
EDDL;2016;108488
EDDL;2017;110488
EDDL;2018;109163
EDDL;2019;112762
EDDL;2020;39323
EDDL;2021;40984
EDDL;2022;70095
EDDL;2023;8582
EDDM;2016;195885
EDDM;2017;200953
EDDM;2018;205274
EDDM;2019;207110
EDDM;2020;72145
EDDM;2021;75244
EDDM;2022;141037
EDDM;2023;19874
EDDN;2016;24763
EDDN;2017;26550
EDDN;2018;27006
EDDN;2019;24458
EDDN;2020;9797
EDDN;2021;10162
EDDN;2022;18024
EDDN;2023;2187
EDDP;2016;30813
EDDP;2017;33022
EDDP;2018;37330
EDDP;2019;37690
EDDP;2020;30857
EDDP;2021;36933
EDDP;2022;39117
EDDP;2023;5748
EDDR;2016;4678
EDDR;2017;4417
EDDR;2018;4541
EDDR;2019;3950
EDDR;2020;1963
EDDR;2021;2025
EDDR;2022;2655
EDDR;2023;260
EDDS;2016;59534
EDDS;2017;59009
EDDS;2018;64127
EDDS;2019;66298
EDDS;2020;24949
EDDS;2021;25637
EDDS;2022;38435
EDDS;2023;4747
EDDT;2016;91931
EDDT;2017;85890
EDDT;2018;92600
EDDT;2019;95858
EDDT;2020;29802
EDDV;2016;30914
EDDV;2017;31172
EDDV;2018;32914
EDDV;2019;32236
EDDV;2020;13454
EDDV;2021;15694
EDDV;2022;22325
EDDV;2023;2676
EDDW;2016;16324
EDDW;2017;14973
EDDW;2018;15471
EDDW;2019;14620
EDDW;2020;7083
EDDW;2021;6798
EDDW;2022;10010
EDDW;2023;1376
EETN;2016;18575
EETN;2017;20848
EETN;2018;22553
EETN;2019;21955
EETN;2020;9585
EETN;2021;11448
EETN;2022;17069
EETN;2023;2447
EETU;2016;732
EETU;2017;840
EETU;2018;713
EETU;2019;819
EETU;2020;455
EETU;2021;463
EETU;2022;677
EETU;2023;39
EFHK;2016;84285
EFHK;2017;88305
EFHK;2018;96245
EFHK;2019;97320
EFHK;2020;36386
EFHK;2021;36134
EFHK;2022;66355
EFHK;2023;11018
EGAA;2016;22772
EGAA;2017;24135
EGAA;2018;25448
EGAA;2019;25740
EGAA;2020;11485
EGAA;2021;14092
EGAA;2022;21591
EGAA;2023;3000
EGAC;2016;21232
EGAC;2017;18787
EGAC;2018;18072
EGAC;2019;17571
EGAC;2020;5179
EGAC;2021;6355
EGAC;2022;12654
EGAC;2023;2208
EGAE;2016;1072
EGAE;2017;1133
EGAE;2018;1363
EGAE;2019;1733
EGAE;2020;921
EGAE;2021;1231
EGAE;2022;1885
EGAE;2023;246
EGBB;2016;55328
EGBB;2017;59579
EGBB;2018;55093
EGBB;2019;53899
EGBB;2020;17433
EGBB;2021;17265
EGBB;2022;39769
EGBB;2023;5557
EGCC;2016;96071
EGCC;2017;101814
EGCC;2018;100634
EGCC;2019;101468
EGCC;2020;33277
EGCC;2021;33326
EGCC;2022;79253
EGCC;2023;10991
EGGD;2016;32317
EGGD;2017;33743
EGGD;2018;34969
EGGD;2019;33211
EGGD;2020;12124
EGGD;2021;12255
EGGD;2022;30114
EGGD;2023;3966
EGGW;2016;65452
EGGW;2017;67544
EGGW;2018;67866
EGGW;2019;70474
EGGW;2020;31681
EGGW;2021;30710
EGGW;2022;58895
EGGW;2023;8623
EGHI;2016;20774
EGHI;2017;21703
EGHI;2018;19315
EGHI;2019;17778
EGHI;2020;5260
EGHI;2021;5536
EGHI;2022;9954
EGHI;2023;1466
EGKB;2016;6677
EGKB;2017;7773
EGKB;2018;8703
EGKB;2019;8576
EGKB;2020;7487
EGKB;2021;9485
EGKB;2022;13097
EGKB;2023;1588
EGKK;2016;140031
EGKK;2017;142981
EGKK;2018;141952
EGKK;2019;142450
EGKK;2020;40143
EGKK;2021;27925
EGKK;2022;108836
EGKK;2023;15845
EGLC;2016;42504
EGLC;2017;40180
EGLC;2018;40356
EGLC;2019;42077
EGLC;2020;9764
EGLC;2021;7240
EGLC;2022;23436
EGLC;2023;3951
EGLF;2016;11944
EGLF;2017;12897
EGLF;2018;14788
EGLF;2019;15435
EGLF;2020;9659
EGLF;2021;12621
EGLF;2022;16095
EGLF;2023;2106
EGLL;2016;237524
EGLL;2017;237957
EGLL;2018;238881
EGLL;2019;239021
EGLL;2020;102352
EGLL;2021;97677
EGLL;2022;190172
EGLL;2023;33943
EGNX;2016;32589
EGNX;2017;33713
EGNX;2018;34521
EGNX;2019;33853
EGNX;2020;21796
EGNX;2021;23418
EGNX;2022;29393
EGNX;2023;3729
EGPD;2016;30900
EGPD;2017;31324
EGPD;2018;28221
EGPD;2019;25664
EGPD;2020;12242
